000000021a8a0e50 (__DATA,__data) non-external _.compoundliteral
00000001e5083dc8 (__TEXT,__text) non-external _glpCGContinueStatement
00000001e5083cf4 (__TEXT,__text) non-external _glpCGDefaultStatement
00000001e5083578 (__TEXT,__text) non-external _glpCGFunctionDefinition
00000001e5083420 (__TEXT,__text) non-external _glpCGFunctionPrototype
00000001e5083798 (__TEXT,__text) non-external _glpCGIfStatement
00000001e50836bc (__TEXT,__text) non-external _glpCGInterfaceBlock
00000001e50840cc (__TEXT,__text) non-external _glpCGLValue
00000001e50829cc (__TEXT,__text) non-external _glpCGLogicalNot
00000001e5083924 (__TEXT,__text) non-external _glpCGLoopStatement
00000001e5082984 (__TEXT,__text) non-external _glpCGNegate
00000001e5081c7c (__TEXT,__text) non-external _glpCGNode
00000001e5082500 (__TEXT,__text) non-external _glpCGPPStreamOpNode
00000001e508336c (__TEXT,__text) non-external _glpCGParameterDeclaration
00000001e5084174 (__TEXT,__text) non-external _glpCGRValue
00000001e5083eb0 (__TEXT,__text) non-external _glpCGRawCallNode
00000001e5083e48 (__TEXT,__text) non-external _glpCGReturnStatement
00000001e5083f34 (__TEXT,__text) non-external _glpCGSubroutineRawCallNode
00000001e508281c (__TEXT,__text) non-external _glpCGSubroutineUniformNode
00000001e5083ae8 (__TEXT,__text) non-external _glpCGSwitchStatement
00000001e509df0c (__TEXT,__text) non-external _glpCGSwizzle
00000001e5081960 (__TEXT,__text) non-external (was a private external) _glpCGTopLevel
00000001e5082334 (__TEXT,__text) non-external _glpCGTypeConversion
00000001e50834b0 (__TEXT,__text) non-external _glpCGVariableDeclaration
00000001e5083508 (__TEXT,__text) non-external _glpCGVariableDeclarationGroup
00000001e51122c4 (__TEXT,__text) non-external (was a private external) _glpCPPErrorToInfoLog
00000001e51121f4 (__TEXT,__text) non-external (was a private external) _glpCPPShInfoLogMsg
00000001e511212c (__TEXT,__text) non-external (was a private external) _glpCPPWarningToInfoLog
00000001e50bdc38 (__TEXT,__text) non-external (was a private external) _glpCalculateCallPrecision
00000001e5145bf8 (__TEXT,__text) external _glpCallFragmentStateToLLVMIR
00000001e50d9500 (__TEXT,__text) non-external (was a private external) _glpCallNodeAddArg
00000001e50d94e8 (__TEXT,__text) non-external (was a private external) _glpCallNodeGetArg
00000001e50d94e0 (__TEXT,__text) non-external (was a private external) _glpCallNodeGetArgCount
00000001e50d9508 (__TEXT,__text) non-external (was a private external) _glpCallNodeInsertArg
00000001e50d94f4 (__TEXT,__text) non-external (was a private external) _glpCallNodeSetArg
00000001e51319c8 (__TEXT,__text) external _glpCallVertexStateToLLVMIR
00000001e50c3c84 (__TEXT,__text) non-external (was a private external) _glpCanConvert
00000001e50dcc90 (__TEXT,__text) non-external (was a private external) _glpCaseStatementNodeGetConstValue
00000001e50dcc80 (__TEXT,__text) non-external (was a private external) _glpCaseStatementNodeGetIsStray
00000001e50dcc9c (__TEXT,__text) non-external (was a private external) _glpCaseStatementNodeSetConstValue
00000001e50dcc88 (__TEXT,__text) non-external (was a private external) _glpCaseStatementNodeSetIsStray
00000001e50cf454 (__TEXT,__text) non-external (was a private external) _glpCheckAndSanitizeConstructorCall
00000001e50c23f4 (__TEXT,__text) non-external (was a private external) _glpCheckArrayIndex
00000001e50fd938 (__TEXT,__text) non-external (was a private external) _glpCheckBarrier
00000001e50c14f8 (__TEXT,__text) non-external (was a private external) _glpCheckIBDeref
00000001e50c4e74 (__TEXT,__text) non-external (was a private external) _glpCheckName
00000001e50afafc (__TEXT,__text) non-external (was a private external) _glpCleanUpLinkedProgram
00000001e50dae90 (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeAddExpr
00000001e50dae24 (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeClearExprs
00000001e50dae78 (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeGetExpr
00000001e50dae70 (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeGetExprCount
00000001e50dae1c (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeGetIsFromSource
00000001e50dae98 (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeInsertExpr
00000001e50dae84 (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeSetExpr
00000001e50c5a8c (__TEXT,__text) non-external (was a private external) _glpCommaResult
00000001e50d2974 (__TEXT,__text) non-external (was a private external) _glpCompareValues
00000001e50ac4cc (__TEXT,__text) non-external (was a private external) _glpCompileShader
00000001e50a6ddc (__TEXT,__text) non-external (was a private external) _glpCompilerAllOutputsAreInvariant
00000001e50a6fd4 (__TEXT,__text) non-external (was a private external) _glpCompilerApplyImplictRulesForGlobalTypeQualifier
00000001e50a74a4 (__TEXT,__text) non-external (was a private external) _glpCompilerDoesTrackPrecision
00000001e50a74cc (__TEXT,__text) non-external (was a private external) _glpCompilerDoesTypeRequirePrecision
00000001e50a72c0 (__TEXT,__text) non-external (was a private external) _glpCompilerForceAllOutputsToBeInvariant
00000001e50a6b3c (__TEXT,__text) non-external (was a private external) _glpCompilerGetAllocator
00000001e50a6288 (__TEXT,__text) non-external (was a private external) _glpCompilerGetGLProfile
00000001e50a7658 (__TEXT,__text) non-external (was a private external) _glpCompilerGetImmediateSAContext
00000001e50a741c (__TEXT,__text) non-external (was a private external) _glpCompilerGetImplicitConversionPolicy
00000001e50a7170 (__TEXT,__text) non-external (was a private external) _glpCompilerGetImpliedBankSize
00000001e50a6298 (__TEXT,__text) non-external (was a private external) _glpCompilerGetInfoLog
00000001e50a7250 (__TEXT,__text) non-external (was a private external) _glpCompilerGetIntConstant
00000001e50a6fc4 (__TEXT,__text) non-external (was a private external) _glpCompilerGetLanguage
00000001e50a6fbc (__TEXT,__text) non-external (was a private external) _glpCompilerGetNameTable
00000001e50a6290 (__TEXT,__text) non-external (was a private external) _glpCompilerGetOSXVersion
00000001e50a6280 (__TEXT,__text) non-external (was a private external) _glpCompilerGetOptions
00000001e50a72d4 (__TEXT,__text) non-external (was a private external) _glpCompilerGetSubroutineType
00000001e50a6fcc (__TEXT,__text) non-external (was a private external) _glpCompilerGetTopLevelNode
00000001e50a7248 (__TEXT,__text) non-external (was a private external) _glpCompilerGetValueHash
00000001e50a6dc4 (__TEXT,__text) non-external (was a private external) _glpCompilerInsertDef
00000001e50a6ecc (__TEXT,__text) non-external (was a private external) _glpCompilerNewTempName
00000001e50a6b34 (__TEXT,__text) non-external (was a private external) _glpCompilerPoolAlloc
00000001e50a7648 (__TEXT,__text) non-external (was a private external) _glpCompilerPopSAContext
00000001e50a7574 (__TEXT,__text) non-external (was a private external) _glpCompilerPushSAContext
00000001e50a62a0 (__TEXT,__text) non-external (was a private external) _glpCompilerRemapObject
00000001e50a6ec4 (__TEXT,__text) non-external (was a private external) _glpCompilerRemapValue
00000001e50a756c (__TEXT,__text) non-external (was a private external) _glpCompilerRequiresOutputPoints
00000001e50a7564 (__TEXT,__text) non-external (was a private external) _glpCompilerSetRequiresOutputPoints
00000001e50a72cc (__TEXT,__text) non-external (was a private external) _glpCompilerUsingStyleGuide
00000001e50fde84 (__TEXT,__text) non-external (was a private external) _glpConstantFold
00000001e50d99ac (__TEXT,__text) non-external (was a private external) _glpConstantNodeGetType
00000001e50d99b4 (__TEXT,__text) non-external (was a private external) _glpConstantNodeGetValue
00000001e50d99bc (__TEXT,__text) non-external (was a private external) _glpConstantNodeSetValue
00000001e50fdbd4 (__TEXT,__text) non-external (was a private external) _glpConstantValueFromDecomposedInitializer
00000001e50d9ed4 (__TEXT,__text) non-external (was a private external) _glpConstructorCallNodeGetType
00000001e50d9ee4 (__TEXT,__text) non-external (was a private external) _glpConstructorCallNodeSetType
00000001e50c2730 (__TEXT,__text) non-external (was a private external) _glpConvert
00000001e50af498 (__TEXT,__text) non-external _glpCopyContextState
00000001e50aa384 (__TEXT,__text) non-external (was a private external) _glpCopyLayoutObject
00000001e50ccb80 (__TEXT,__text) non-external (was a private external) _glpCopyString
00000001e50d28d4 (__TEXT,__text) non-external (was a private external) _glpCopyValue
00000001e50d291c (__TEXT,__text) non-external (was a private external) _glpCopyValueInto
00000001e5101990 (__TEXT,__text) non-external _glpCopyValueIntoWithSwizzle
00000001e507da50 (__TEXT,__text) non-external (was a private external) _glpCreateDoublesTelemetry
000000021a8a54e0 (__DATA,__bss) non-external _glpCreateDoublesTelemetry.onceToken
00000001e507dba4 (__TEXT,__text) non-external (was a private external) _glpCreateNVFragment2Telemetry
000000021a8a5500 (__DATA,__bss) non-external _glpCreateNVFragment2Telemetry.onceToken
00000001e507db70 (__TEXT,__text) non-external (was a private external) _glpCreateNVFragmentProgramTelemetry
000000021a8a54f8 (__DATA,__bss) non-external _glpCreateNVFragmentProgramTelemetry.onceToken
00000001e507db08 (__TEXT,__text) non-external (was a private external) _glpCreateNVVertex2Telemetry
000000021a8a54e8 (__DATA,__bss) non-external _glpCreateNVVertex2Telemetry.onceToken
00000001e507db3c (__TEXT,__text) non-external (was a private external) _glpCreateNVVertex3Telemetry
000000021a8a54f0 (__DATA,__bss) non-external _glpCreateNVVertex3Telemetry.onceToken
00000001e50afb3c (__TEXT,__text) non-external _glpCreateShaderByteCode
00000001e507da84 (__TEXT,__text) non-external _glpCreateTelemetry
00000001e507f2c8 (__TEXT,__text) non-external (was a private external) _glpDataHashGet
00000001e507f0cc (__TEXT,__text) non-external (was a private external) _glpDataHashPut
00000001e50cd138 (__TEXT,__text) non-external (was a private external) _glpDatasEqual
00000001e510e4c0 (__TEXT,__text) non-external (was a private external) _glpDecLineNumber
00000001e50d9280 (__TEXT,__text) non-external (was a private external) _glpDeepCopyASTNode
00000001e50cd1ac (__TEXT,__text) non-external (was a private external) _glpDeepCopyType
00000001e50dcd34 (__TEXT,__text) non-external (was a private external) _glpDefaultStatementNodeGetIsStray
00000001e50dcd3c (__TEXT,__text) non-external (was a private external) _glpDefaultStatementNodeSetIsStray
00000001e50dd430 (__TEXT,__text) non-external (was a private external) _glpDerefNodeGetOffset
00000001e50dd43c (__TEXT,__text) non-external (was a private external) _glpDerefNodeSetOffset
00000001e50c8770 (__TEXT,__text) non-external (was a private external) _glpDeserialError
00000001e50dfafc (__TEXT,__text) non-external (was a private external) _glpDeserializeAST
00000001e50dff54 (__TEXT,__text) non-external (was a private external) _glpDeserializeNames
00000001e50822e0 (__TEXT,__text) non-external (was a private external) _glpDestroyCodeGenContext
00000001e50afac0 (__TEXT,__text) non-external (was a private external) _glpDestroyCompiledShader
00000001e50a6214 (__TEXT,__text) non-external (was a private external) _glpDestroyCompiler
00000001e50c8250 (__TEXT,__text) non-external (was a private external) _glpDestroyDeserialContext
00000001e507e8c8 (__TEXT,__text) non-external (was a private external) _glpDestroyIntHash
00000001e5087038 (__TEXT,__text) non-external (was a private external) _glpDestroyLLVMCodeGenContext
00000001e50aa444 (__TEXT,__text) non-external (was a private external) _glpDestroyLayoutObject
00000001e50af514 (__TEXT,__text) non-external (was a private external) _glpDestroyLinkedProgram
00000001e50ac868 (__TEXT,__text) non-external (was a private external) _glpDestroyLinker
00000001e50b98dc (__TEXT,__text) non-external (was a private external) _glpDestroyLog
00000001e50b9d70 (__TEXT,__text) non-external (was a private external) _glpDestroyNameTable
00000001e507e4c0 (__TEXT,__text) non-external (was a private external) _glpDestroyPointerHash
00000001e5080114 (__TEXT,__text) non-external (was a private external) _glpDestroyPoolAllocator
00000001e50c773c (__TEXT,__text) non-external (was a private external) _glpDestroySerialContext
00000001e50ccd54 (__TEXT,__text) non-external (was a private external) _glpDestroyStringBuffer
00000001e507e02c (__TEXT,__text) non-external (was a private external) _glpDestroyStringHash
00000001e50cd8dc (__TEXT,__text) non-external (was a private external) _glpDestroyType
00000001e507ecf4 (__TEXT,__text) non-external (was a private external) _glpDestroyTypedValueHash
00000001e512058c (__TEXT,__text) non-external (was a private external) _glpDisassemble1Op
00000001e50f8a64 (__TEXT,__text) non-external (was a private external) _glpDumpASTNodeToStringBuffer
00000001e50ceb60 (__TEXT,__text) non-external (was a private external) _glpDumpTypeToStringBuffer
00000001e50d04e4 (__TEXT,__text) non-external (was a private external) _glpDuplicateDerefOrConstant
00000001e50cdd00 (__TEXT,__text) non-external (was a private external) _glpEachPrimitiveComponentOfType
00000001e50c201c (__TEXT,__text) non-external (was a private external) _glpEnsureDeref
00000001e50c1450 (__TEXT,__text) non-external (was a private external) _glpEnsureOffsetsExist
00000001e50da7c4 (__TEXT,__text) non-external (was a private external) _glpEqualNodeGetIsFromSource
00000001e50c3e10 (__TEXT,__text) non-external (was a private external) _glpEvaluateArraySize
00000001e50c3ff0 (__TEXT,__text) non-external (was a private external) _glpEvaluateTypeNode
00000001e50dc788 (__TEXT,__text) non-external (was a private external) _glpExpressionStatementNodeGetExpr
00000001e50dc794 (__TEXT,__text) non-external (was a private external) _glpExpressionStatementNodeSetExpr
00000001e50a976c (__TEXT,__text) non-external (was a private external) _glpExtensionAllowed
00000001e50a98d4 (__TEXT,__text) non-external (was a private external) _glpExtensionAllowedAndDefault
00000001e50a9300 (__TEXT,__text) non-external (was a private external) _glpExtensionFromString
00000001e50a9740 (__TEXT,__text) non-external (was a private external) _glpExtensionToString
00000001e50d9b3c (__TEXT,__text) non-external (was a private external) _glpFieldAccessNodeGetField
00000001e50d9b48 (__TEXT,__text) non-external (was a private external) _glpFieldAccessNodeGetStructure
00000001e50d9b54 (__TEXT,__text) non-external (was a private external) _glpFieldAccessNodeSetStructure
00000001e50dbc3c (__TEXT,__text) non-external (was a private external) _glpFieldDeclarationNodeGetName
00000001e50dbc48 (__TEXT,__text) non-external (was a private external) _glpFieldDeclarationNodeGetType
00000001e50dbc54 (__TEXT,__text) non-external (was a private external) _glpFieldDeclarationNodeSetType
00000001e50aa304 (__TEXT,__text) non-external (was a private external) _glpFinalizeParseContext
00000001e50d6190 (__TEXT,__text) non-external (was a private external) _glpFinalizePreprocessor
00000001e509ef1c (__TEXT,__text) non-external _glpFindGep
00000001e50a9a84 (__TEXT,__text) non-external (was a private external) _glpFixInterpolateAt
