00000001dc21220c (__TEXT,__text) non-external +[Cube initialize]
00000001dc051bb4 (__TEXT,__text) non-external -[MPCluster removeAllSlides]
00000001dc051efc (__TEXT,__text) non-external -[MPCluster resetAllUsageCounters]
00000001dc05235c (__TEXT,__text) non-external -[MPCluster setItems:]
00000001dc052370 (__TEXT,__text) non-external -[MPCluster setName:]
00000001dc052380 (__TEXT,__text) non-external -[MPCluster setRating:]
00000001dc051c30 (__TEXT,__text) non-external -[MPCluster setUsageCountForLayer:to:]
00000001dc052394 (__TEXT,__text) non-external -[MPCluster setUsageCounterPerLayer:]
00000001dc051bbc (__TEXT,__text) non-external -[MPCluster slideCount]
00000001dc051fec (__TEXT,__text) non-external -[MPCluster usageCountDescription]
00000001dc051db0 (__TEXT,__text) non-external -[MPCluster usageCountForLayer:]
00000001dc052388 (__TEXT,__text) non-external -[MPCluster usageCounterPerLayer]
00000001dc052c84 (__TEXT,__text) non-external -[MPClusterController addKeywords:forSlide:]
00000001dc054ac4 (__TEXT,__text) non-external -[MPClusterController addPaths:toUserDefinedCluster:]
00000001dc052a44 (__TEXT,__text) non-external -[MPClusterController addSlideForPath:withIndex:]
00000001dc052e74 (__TEXT,__text) non-external -[MPClusterController allSlidesSortedByPaths:]
00000001dc052e34 (__TEXT,__text) non-external -[MPClusterController allSlidesSortedByUsage]
00000001dc0530e4 (__TEXT,__text) non-external -[MPClusterController allSlidesSortedChronologically]
00000001dc052e24 (__TEXT,__text) non-external -[MPClusterController allSlides]
00000001dc053168 (__TEXT,__text) non-external -[MPClusterController clusterSlidesSortedByUserDefinedSortOrder:userDefinedSlideOrder:]
00000001dc053124 (__TEXT,__text) non-external -[MPClusterController clusterSlidesSortedChronologically:]
00000001dc0532d0 (__TEXT,__text) non-external -[MPClusterController clustersBasedOnOrderedPaths:]
00000001dc054c88 (__TEXT,__text) non-external -[MPClusterController createLocationClustersForPaths:]
00000001dc05488c (__TEXT,__text) non-external -[MPClusterController dayOfYearClusterForAssetAtPath:]
00000001dc05459c (__TEXT,__text) non-external -[MPClusterController dayOfYearClusters]
00000001dc0527c4 (__TEXT,__text) non-external -[MPClusterController dealloc]
00000001dc05704c (__TEXT,__text) non-external -[MPClusterController dumpClustersStatistics]
00000001dc058070 (__TEXT,__text) non-external -[MPClusterController dumpSlidesStatistics]
00000001dc053a98 (__TEXT,__text) non-external -[MPClusterController findBestChronologicalCluster:startingWithSlide:]
00000001dc053804 (__TEXT,__text) non-external -[MPClusterController findBestCluster:]
00000001dc053920 (__TEXT,__text) non-external -[MPClusterController findBestCluster:withMaxEffectSize:idealEffectSize:]
00000001dc053bf8 (__TEXT,__text) non-external -[MPClusterController findBestClusterBasedOnUserDefinedSlideOrder:startingWithSlide:]
00000001dc0536d4 (__TEXT,__text) non-external -[MPClusterController flushClusters]
00000001dc05290c (__TEXT,__text) non-external -[MPClusterController flush]
00000001dc0548fc (__TEXT,__text) non-external -[MPClusterController hourOfYearClusterForAssetAtPath:]
00000001dc0545d0 (__TEXT,__text) non-external -[MPClusterController hourOfYearClusters]
00000001dc052704 (__TEXT,__text) non-external -[MPClusterController init]
00000001dc0546a0 (__TEXT,__text) non-external -[MPClusterController keywordClusters]
00000001dc0546d4 (__TEXT,__text) non-external -[MPClusterController locationClusters]
00000001dc05496c (__TEXT,__text) non-external -[MPClusterController minuteOfYearClusterForAssetAtPath:]
00000001dc054604 (__TEXT,__text) non-external -[MPClusterController minuteOfYearClusters]
00000001dc0547ac (__TEXT,__text) non-external -[MPClusterController monthClusterForAssetAtPath:]
00000001dc054534 (__TEXT,__text) non-external -[MPClusterController monthClusters]
00000001dc05481c (__TEXT,__text) non-external -[MPClusterController monthOfYearClusterForAssetAtPath:]
00000001dc054568 (__TEXT,__text) non-external -[MPClusterController monthOfYearClusters]
00000001dc052f8c (__TEXT,__text) non-external -[MPClusterController nextLeastUsedSlides:forLayer:markAsUsed:]
00000001dc054f30 (__TEXT,__text) non-external -[MPClusterController orderedAndPrioritizedSlideClusters]
00000001dc055100 (__TEXT,__text) non-external -[MPClusterController prioritizedSlideClustersDictionary]
00000001dc053d70 (__TEXT,__text) non-external -[MPClusterController removeAllSingleSlideClusters]
00000001dc0535f0 (__TEXT,__text) non-external -[MPClusterController resetAllUsageCounters]
00000001dc054a50 (__TEXT,__text) non-external -[MPClusterController roundedFifteenMinuteOfYearClusterForAssetAtPath:]
00000001dc05466c (__TEXT,__text) non-external -[MPClusterController roundedFifteenMinuteOfYearClusters]
00000001dc0549dc (__TEXT,__text) non-external -[MPClusterController roundedFiveMinuteOfYearClusterForAssetAtPath:]
00000001dc054638 (__TEXT,__text) non-external -[MPClusterController roundedFiveMinuteOfYearClusters]
00000001dc052a3c (__TEXT,__text) non-external -[MPClusterController setAuthoredDocument:]
00000001dc052e2c (__TEXT,__text) non-external -[MPClusterController slideForPath:]
00000001dc0531b4 (__TEXT,__text) non-external -[MPClusterController sortClusterSlidesChronologically:]
00000001dc0544f8 (__TEXT,__text) non-external -[MPClusterController updateAllSlidesClusterWithSlide:]
00000001dc055c18 (__TEXT,__text) non-external -[MPClusterController updateClusterRatings]
00000001dc0540c0 (__TEXT,__text) non-external -[MPClusterController updateDayOfYearClustersWithDate:ofSlide:]
00000001dc054198 (__TEXT,__text) non-external -[MPClusterController updateHourOfYearClustersWithDate:ofSlide:]
00000001dc054270 (__TEXT,__text) non-external -[MPClusterController updateMinuteOfYearClustersWithDate:ofSlide:]
00000001dc053f10 (__TEXT,__text) non-external -[MPClusterController updateMonthClustersWithDate:ofSlide:]
00000001dc053fe8 (__TEXT,__text) non-external -[MPClusterController updateMonthOfYearClustersWithDate:ofSlide:]
00000001dc0562e0 (__TEXT,__text) non-external -[MPClusterController updateRatingsForDayOfYearClusters]
00000001dc0564f4 (__TEXT,__text) non-external -[MPClusterController updateRatingsForHourOfYearClusters]
00000001dc056d50 (__TEXT,__text) non-external -[MPClusterController updateRatingsForKeywordClusters]
00000001dc056e38 (__TEXT,__text) non-external -[MPClusterController updateRatingsForLocationClusters]
00000001dc056714 (__TEXT,__text) non-external -[MPClusterController updateRatingsForMinuteOfYearClusters]
00000001dc055eb8 (__TEXT,__text) non-external -[MPClusterController updateRatingsForMonthClusters]
00000001dc0560cc (__TEXT,__text) non-external -[MPClusterController updateRatingsForMonthOfYearClusters]
00000001dc056b3c (__TEXT,__text) non-external -[MPClusterController updateRatingsForRoundedFifteenMinuteOfYearClusters]
00000001dc056928 (__TEXT,__text) non-external -[MPClusterController updateRatingsForRoundedFiveMinuteOfYearClusters]
00000001dc055c98 (__TEXT,__text) non-external -[MPClusterController updateRatingsForYearClusters]
00000001dc054420 (__TEXT,__text) non-external -[MPClusterController updateRoundedFifteenMinuteOfYearClustersWithDate:ofSlide:]
00000001dc054348 (__TEXT,__text) non-external -[MPClusterController updateRoundedFiveMinuteOfYearClustersWithDate:ofSlide:]
00000001dc053e38 (__TEXT,__text) non-external -[MPClusterController updateYearClustersWithDate:ofSlide:]
00000001dc054708 (__TEXT,__text) non-external -[MPClusterController userProvidedClusters]
00000001dc05473c (__TEXT,__text) non-external -[MPClusterController yearClusterForAssetAtPath:]
00000001dc054500 (__TEXT,__text) non-external -[MPClusterController yearClusters]
00000001dc0581d0 (__TEXT,__text) non-external -[MPClusterController(Private) _removeAllSingleSlideClustersForClusterCategory:]
00000001dc058a68 (__TEXT,__text) non-external -[MPClusterSlide captureDate]
00000001dc0583f4 (__TEXT,__text) non-external -[MPClusterSlide copyWithZone:]
00000001dc058380 (__TEXT,__text) non-external -[MPClusterSlide dealloc]
00000001dc058a00 (__TEXT,__text) non-external -[MPClusterSlide description]
00000001dc058474 (__TEXT,__text) non-external -[MPClusterSlide increaseUsageCounterForLayer:]
00000001dc058a8c (__TEXT,__text) non-external -[MPClusterSlide index]
00000001dc05831c (__TEXT,__text) non-external -[MPClusterSlide init]
00000001dc0586b0 (__TEXT,__text) non-external -[MPClusterSlide overallUsageCounter]
00000001dc058a54 (__TEXT,__text) non-external -[MPClusterSlide path]
00000001dc058a7c (__TEXT,__text) non-external -[MPClusterSlide referenceCounter]
00000001dc0587ac (__TEXT,__text) non-external -[MPClusterSlide resetAllUsageCounters]
00000001dc058a74 (__TEXT,__text) non-external -[MPClusterSlide setCaptureDate:]
00000001dc058a94 (__TEXT,__text) non-external -[MPClusterSlide setIndex:]
00000001dc058a60 (__TEXT,__text) non-external -[MPClusterSlide setPath:]
00000001dc058a84 (__TEXT,__text) non-external -[MPClusterSlide setReferenceCounter:]
00000001dc058abc (__TEXT,__text) non-external -[MPClusterSlide setUsableSlideClusters:]
00000001dc058530 (__TEXT,__text) non-external -[MPClusterSlide setUsageCounterForLayer:to:]
00000001dc058aa8 (__TEXT,__text) non-external -[MPClusterSlide setUsageCounterPerLayer:]
00000001dc058ab0 (__TEXT,__text) non-external -[MPClusterSlide usableSlideClusters]
00000001dc05889c (__TEXT,__text) non-external -[MPClusterSlide usageCountDescription]
00000001dc05850c (__TEXT,__text) non-external -[MPClusterSlide usageCounterForLayer:]
00000001dc058a9c (__TEXT,__text) non-external -[MPClusterSlide usageCounterPerLayer]
00000001dc01a5a4 (__TEXT,__text) non-external -[MPConditionalAction actionIfFalse]
00000001dc01a594 (__TEXT,__text) non-external -[MPConditionalAction actionIfTrue]
00000001dc01a30c (__TEXT,__text) non-external -[MPConditionalAction configureActions]
00000001dc01a520 (__TEXT,__text) non-external -[MPConditionalAction configureTarget]
00000001dc01a098 (__TEXT,__text) non-external -[MPConditionalAction copyWithZone:]
00000001dc019f7c (__TEXT,__text) non-external -[MPConditionalAction dealloc]
00000001dc019ff0 (__TEXT,__text) non-external -[MPConditionalAction encodeWithCoder:]
00000001dc019e58 (__TEXT,__text) non-external -[MPConditionalAction initWithCoder:]
00000001dc019df8 (__TEXT,__text) non-external -[MPConditionalAction init]
00000001dc01a584 (__TEXT,__text) non-external -[MPConditionalAction predicate]
00000001dc01a2a8 (__TEXT,__text) non-external -[MPConditionalAction setAction:]
00000001dc01a1d0 (__TEXT,__text) non-external -[MPConditionalAction setAction:forCondition:]
00000001dc01a154 (__TEXT,__text) non-external -[MPConditionalAction setPredicate:]
00000001dc0594ac (__TEXT,__text) non-external -[MPCropController _applyCropToSlidesInEffectContainersWithArguments:]
00000001dc059878 (__TEXT,__text) non-external -[MPCropController applyCropToSlide:inDocument:withOptions:]
00000001dc059548 (__TEXT,__text) non-external -[MPCropController applyCropToSlidesInEffectContainers:inDocument:withOptions:]
00000001dc058c60 (__TEXT,__text) non-external -[MPCropController batchCrop:]
00000001dc058f64 (__TEXT,__text) non-external -[MPCropController cropSlidesForLayerGroup:inDocument:withOptions:]
00000001dc058f0c (__TEXT,__text) non-external -[MPCropController cropSlidesInDocument:withOptions:]
00000001dc058c00 (__TEXT,__text) non-external -[MPCropController dealloc]
00000001dc058c50 (__TEXT,__text) non-external -[MPCropController delegate]
00000001dc058ba0 (__TEXT,__text) non-external -[MPCropController init]
00000001dc058c58 (__TEXT,__text) non-external -[MPCropController setDelegate:]
00000001dc05ba2c (__TEXT,__text) non-external -[MPCropController(Private) applyAnimatedCropToBreakSlide:withOptions:]
00000001dc059e00 (__TEXT,__text) non-external -[MPCropController(Private) applyAnimatedCropToSlide:withOptions:]
00000001dc05c1f0 (__TEXT,__text) non-external -[MPCropController(Private) applyAnimatedCropToSlide:withOptions:centeredAt:alwaysZoomIn:]
00000001dc059e10 (__TEXT,__text) non-external -[MPCropController(Private) applyAnimatedCropWithROIsToSlide:withOptions:]
00000001dc0599c0 (__TEXT,__text) non-external -[MPCropController(Private) applyCropToSlide:withOptions:]
00000001dc05c91c (__TEXT,__text) non-external -[MPCropController(Private) applyMultiFaceAnimatedCropToSlide:withOptions:]
00000001dc05a210 (__TEXT,__text) non-external -[MPCropController(Private) applyStationaryCropToSlide:withOptions:]
00000001dc05abc8 (__TEXT,__text) non-external -[MPCropController(Private) checkFarApartROIs:withImageSize:visibleAspectRatio:roiCenter:]
00000001dc059994 (__TEXT,__text) non-external -[MPCropController(Private) cleanup]
00000001dc05d2f8 (__TEXT,__text) non-external -[MPCropController(Private) durationOfSlide:]
00000001dc059954 (__TEXT,__text) non-external -[MPCropController(Private) setupWithDocument:andOptions:]
00000001dc05e4bc (__TEXT,__text) non-external -[MPDesktopAssetManager absolutePathFromPath:]
00000001dc05e410 (__TEXT,__text) non-external -[MPDesktopAssetManager altitudeForAssetAtPath:]
00000001dc05e260 (__TEXT,__text) non-external -[MPDesktopAssetManager creationDateForAssetAtPath:]
00000001dc05d558 (__TEXT,__text) non-external -[MPDesktopAssetManager dealloc]
00000001dc05df08 (__TEXT,__text) non-external -[MPDesktopAssetManager durationForAssetAtPath:]
00000001dc05d348 (__TEXT,__text) non-external -[MPDesktopAssetManager initWithMediaSources:]
00000001dc05d520 (__TEXT,__text) non-external -[MPDesktopAssetManager init]
00000001dc05e308 (__TEXT,__text) non-external -[MPDesktopAssetManager keywordsForAssetAtPath:]
00000001dc05e360 (__TEXT,__text) non-external -[MPDesktopAssetManager latitudeForAssetAtPath:]
00000001dc05e468 (__TEXT,__text) non-external -[MPDesktopAssetManager locationHierarchyForAssetAtPath:]
00000001dc05e3b8 (__TEXT,__text) non-external -[MPDesktopAssetManager longitudeForAssetAtPath:]
00000001dc05de8c (__TEXT,__text) non-external -[MPDesktopAssetManager mediaTypeForAssetAtPath:]
00000001dc05d7c8 (__TEXT,__text) non-external -[MPDesktopAssetManager observeValueForKeyPath:ofObject:change:context:]
00000001dc05e0c0 (__TEXT,__text) non-external -[MPDesktopAssetManager resolutionForAssetAtPath:]
00000001dc05dfe4 (__TEXT,__text) non-external -[MPDesktopAssetManager startTimeForAssetAtPath:]
00000001dc05e038 (__TEXT,__text) non-external -[MPDesktopAssetManager stopTimeForAssetAtPath:]
00000001dc05e6d4 (__TEXT,__text) non-external -[MPDesktopAssetManager(VeryInternal) contentCreationDateForImageAtPath:]
00000001dc05e56c (__TEXT,__text) non-external -[MPDesktopAssetManager(VeryInternal) exifPropertiesForImageAtPath:]
00000001dc05e820 (__TEXT,__text) non-external -[MPDesktopAssetManager(VeryInternal) findMediaObjectWithPathInILMB:]
00000001dc06108c (__TEXT,__text) non-external -[MPDocument allElements]
00000001dc060ef4 (__TEXT,__text) non-external -[MPDocument allSlides:]
00000001dc060eec (__TEXT,__text) non-external -[MPDocument allSlides]
00000001dc05fd40 (__TEXT,__text) non-external -[MPDocument applyStyle:]
00000001dc060534 (__TEXT,__text) non-external -[MPDocument assetKeyDelegate]
00000001dc0603b4 (__TEXT,__text) non-external -[MPDocument authoringOptionForKey:]
00000001dc060dcc (__TEXT,__text) non-external -[MPDocument beginBatchModify]
00000001dc061394 (__TEXT,__text) non-external -[MPDocument cleanup]
00000001dc05fd0c (__TEXT,__text) non-external -[MPDocument currentStyle]
00000001dc05fbc4 (__TEXT,__text) non-external -[MPDocument dealloc]
00000001dc05fae8 (__TEXT,__text) non-external -[MPDocument description]
00000001dc05fcb4 (__TEXT,__text) non-external -[MPDocument displayName]
00000001dc05fd94 (__TEXT,__text) non-external -[MPDocument documentAttributeForKey:]
00000001dc061384 (__TEXT,__text) non-external -[MPDocument documentAttributes]
00000001dc05f0f8 (__TEXT,__text) non-external -[MPDocument encodeWithCoder:]
00000001dc060e40 (__TEXT,__text) non-external -[MPDocument endBatchModify]
00000001dc0614e8 (__TEXT,__text) non-external -[MPDocument fadeInDuration]
00000001dc0614c8 (__TEXT,__text) non-external -[MPDocument fadeOutDuration]
00000001dc05f25c (__TEXT,__text) non-external -[MPDocument initWithCoder:]
00000001dc05edf8 (__TEXT,__text) non-external -[MPDocument init]
00000001dc060444 (__TEXT,__text) non-external -[MPDocument loopingMode]
00000001dc05ff40 (__TEXT,__text) non-external -[MPDocument mediaProperties]
00000001dc060a7c (__TEXT,__text) non-external -[MPDocument moveExternalPathsFromDirectory:toDirectory:remap:options:]
00000001dc0604bc (__TEXT,__text) non-external -[MPDocument numberOfLoops]
00000001dc061508 (__TEXT,__text) non-external -[MPDocument posterTime]
00000001dc05ff20 (__TEXT,__text) non-external -[MPDocument preserveMedia]
00000001dc0600b4 (__TEXT,__text) non-external -[MPDocument propertiesForMediaPath:]
00000001dc05fb64 (__TEXT,__text) non-external -[MPDocument readFromFileWrapper:ofType:error:]
