00007ffb43609d98 (__DATA,__data) non-external _.compoundliteral
00007ffb08416f70 (__TEXT,__text) non-external (was a private external) _glpCheckBarrier
00007ffb083deb8b (__TEXT,__text) non-external (was a private external) _glpCheckIBDeref
00007ffb083e2764 (__TEXT,__text) non-external (was a private external) _glpCheckName
00007ffb083cb8b0 (__TEXT,__text) non-external (was a private external) _glpCleanUpLinkedProgram
00007ffb083f78be (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeAddExpr
00007ffb083f7860 (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeClearExprs
00007ffb083f789e (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeGetExpr
00007ffb083f7895 (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeGetExprCount
00007ffb083f7856 (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeGetIsFromSource
00007ffb083f78cb (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeInsertExpr
00007ffb083f78ae (__TEXT,__text) non-external (was a private external) _glpCommaExprNodeSetExpr
00007ffb083e326b (__TEXT,__text) non-external (was a private external) _glpCommaResult
00007ffb083f005f (__TEXT,__text) non-external (was a private external) _glpCompareValues
00007ffb083c7014 (__TEXT,__text) non-external (was a private external) _glpCompileShader
00007ffb083c1c3a (__TEXT,__text) non-external (was a private external) _glpCompilerAllOutputsAreInvariant
00007ffb083c1dc3 (__TEXT,__text) non-external (was a private external) _glpCompilerApplyImplictRulesForGlobalTypeQualifier
00007ffb083c226c (__TEXT,__text) non-external (was a private external) _glpCompilerDoesTrackPrecision
00007ffb083c228b (__TEXT,__text) non-external (was a private external) _glpCompilerDoesTypeRequirePrecision
00007ffb083c2098 (__TEXT,__text) non-external (was a private external) _glpCompilerForceAllOutputsToBeInvariant
00007ffb083c19d1 (__TEXT,__text) non-external (was a private external) _glpCompilerGetAllocator
00007ffb083c0fbd (__TEXT,__text) non-external (was a private external) _glpCompilerGetGLProfile
00007ffb083c23ef (__TEXT,__text) non-external (was a private external) _glpCompilerGetImmediateSAContext
00007ffb083c21f9 (__TEXT,__text) non-external (was a private external) _glpCompilerGetImplicitConversionPolicy
00007ffb083c1f7c (__TEXT,__text) non-external (was a private external) _glpCompilerGetImpliedBankSize
00007ffb083c0fcf (__TEXT,__text) non-external (was a private external) _glpCompilerGetInfoLog
00007ffb083c204e (__TEXT,__text) non-external (was a private external) _glpCompilerGetIntConstant
00007ffb083c1dab (__TEXT,__text) non-external (was a private external) _glpCompilerGetLanguage
00007ffb083c1da1 (__TEXT,__text) non-external (was a private external) _glpCompilerGetNameTable
00007ffb083c0fc6 (__TEXT,__text) non-external (was a private external) _glpCompilerGetOSXVersion
00007ffb083c0fb4 (__TEXT,__text) non-external (was a private external) _glpCompilerGetOptions
00007ffb083c20ac (__TEXT,__text) non-external (was a private external) _glpCompilerGetSubroutineType
00007ffb083c1db9 (__TEXT,__text) non-external (was a private external) _glpCompilerGetTopLevelNode
00007ffb083c2044 (__TEXT,__text) non-external (was a private external) _glpCompilerGetValueHash
00007ffb083c1c20 (__TEXT,__text) non-external (was a private external) _glpCompilerInsertDef
00007ffb083c1ce2 (__TEXT,__text) non-external (was a private external) _glpCompilerNewTempName
00007ffb083c19c0 (__TEXT,__text) non-external (was a private external) _glpCompilerPoolAlloc
00007ffb083c23e6 (__TEXT,__text) non-external (was a private external) _glpCompilerPopSAContext
00007ffb083c2321 (__TEXT,__text) non-external (was a private external) _glpCompilerPushSAContext
00007ffb083c0fdc (__TEXT,__text) non-external (was a private external) _glpCompilerRemapObject
00007ffb083c1cd4 (__TEXT,__text) non-external (was a private external) _glpCompilerRemapValue
00007ffb083c2317 (__TEXT,__text) non-external (was a private external) _glpCompilerRequiresOutputPoints
00007ffb083c230d (__TEXT,__text) non-external (was a private external) _glpCompilerSetRequiresOutputPoints
00007ffb083c20a2 (__TEXT,__text) non-external (was a private external) _glpCompilerUsingStyleGuide
00007ffb084174f5 (__TEXT,__text) non-external (was a private external) _glpConstantFold
00007ffb083f67cf (__TEXT,__text) non-external (was a private external) _glpConstantNodeGetType
00007ffb083f67d9 (__TEXT,__text) non-external (was a private external) _glpConstantNodeGetValue
00007ffb083f67e3 (__TEXT,__text) non-external (was a private external) _glpConstantNodeSetValue
00007ffb084171f0 (__TEXT,__text) non-external (was a private external) _glpConstantValueFromDecomposedInitializer
00007ffb083f6bdc (__TEXT,__text) non-external (was a private external) _glpConstructorCallNodeGetType
00007ffb083f6bed (__TEXT,__text) non-external (was a private external) _glpConstructorCallNodeSetType
00007ffb083dffe3 (__TEXT,__text) non-external (was a private external) _glpConvert
00007ffb083cb1e7 (__TEXT,__text) non-external _glpCopyContextState
00007ffb083c51af (__TEXT,__text) non-external (was a private external) _glpCopyLayoutObject
00007ffb083ea700 (__TEXT,__text) non-external (was a private external) _glpCopyString
00007ffb083efff5 (__TEXT,__text) non-external (was a private external) _glpCopyValue
00007ffb083f002d (__TEXT,__text) non-external (was a private external) _glpCopyValueInto
00007ffb08419f44 (__TEXT,__text) non-external _glpCopyValueIntoWithSwizzle
00007ffb083931f2 (__TEXT,__text) non-external (was a private external) _glpCreateDoublesTelemetry
00007ffb084697c8 (__TEXT,__text) non-external _glpCreateDoublesTelemetry.cold.1
00007ffb4360e530 (__DATA,__bss) non-external _glpCreateDoublesTelemetry.onceToken
00007ffb083932e5 (__TEXT,__text) non-external (was a private external) _glpCreateNVFragment2Telemetry
00007ffb08469828 (__TEXT,__text) non-external _glpCreateNVFragment2Telemetry.cold.1
00007ffb4360e550 (__DATA,__bss) non-external _glpCreateNVFragment2Telemetry.onceToken
00007ffb083932be (__TEXT,__text) non-external (was a private external) _glpCreateNVFragmentProgramTelemetry
00007ffb08469810 (__TEXT,__text) non-external _glpCreateNVFragmentProgramTelemetry.cold.1
00007ffb4360e548 (__DATA,__bss) non-external _glpCreateNVFragmentProgramTelemetry.onceToken
00007ffb08393270 (__TEXT,__text) non-external (was a private external) _glpCreateNVVertex2Telemetry
00007ffb084697e0 (__TEXT,__text) non-external _glpCreateNVVertex2Telemetry.cold.1
00007ffb4360e538 (__DATA,__bss) non-external _glpCreateNVVertex2Telemetry.onceToken
00007ffb08393297 (__TEXT,__text) non-external (was a private external) _glpCreateNVVertex3Telemetry
00007ffb084697f8 (__TEXT,__text) non-external _glpCreateNVVertex3Telemetry.cold.1
00007ffb4360e540 (__DATA,__bss) non-external _glpCreateNVVertex3Telemetry.onceToken
00007ffb083cb8e1 (__TEXT,__text) non-external _glpCreateShaderByteCode
00007ffb08393219 (__TEXT,__text) non-external _glpCreateTelemetry
00007ffb0839453e (__TEXT,__text) non-external (was a private external) _glpDataHashGet
00007ffb083943af (__TEXT,__text) non-external (was a private external) _glpDataHashPut
00007ffb083eac4f (__TEXT,__text) non-external (was a private external) _glpDatasEqual
00007ffb084269ee (__TEXT,__text) non-external (was a private external) _glpDecLineNumber
00007ffb083f6162 (__TEXT,__text) non-external (was a private external) _glpDeepCopyASTNode
00007ffb083eaca4 (__TEXT,__text) non-external (was a private external) _glpDeepCopyType
00007ffb083f9209 (__TEXT,__text) non-external (was a private external) _glpDefaultStatementNodeGetIsStray
00007ffb083f9213 (__TEXT,__text) non-external (was a private external) _glpDefaultStatementNodeSetIsStray
00007ffb083f97b2 (__TEXT,__text) non-external (was a private external) _glpDerefNodeGetOffset
00007ffb083f97bf (__TEXT,__text) non-external (was a private external) _glpDerefNodeSetOffset
00007ffb083e6040 (__TEXT,__text) non-external (was a private external) _glpDeserialError
00007ffb083fbc34 (__TEXT,__text) non-external (was a private external) _glpDeserializeAST
00007ffb083fbfdc (__TEXT,__text) non-external (was a private external) _glpDeserializeNames
00007ffb083974f4 (__TEXT,__text) non-external (was a private external) _glpDestroyCodeGenContext
00007ffb083cb890 (__TEXT,__text) non-external (was a private external) _glpDestroyCompiledShader
00007ffb083c0f64 (__TEXT,__text) non-external (was a private external) _glpDestroyCompiler
00007ffb083e5af7 (__TEXT,__text) non-external (was a private external) _glpDestroyDeserialContext
00007ffb08393d7a (__TEXT,__text) non-external (was a private external) _glpDestroyIntHash
00007ffb0839cfb5 (__TEXT,__text) non-external (was a private external) _glpDestroyLLVMCodeGenContext
00007ffb083c524b (__TEXT,__text) non-external (was a private external) _glpDestroyLayoutObject
00007ffb083cb265 (__TEXT,__text) non-external (was a private external) _glpDestroyLinkedProgram
00007ffb083c73de (__TEXT,__text) non-external (was a private external) _glpDestroyLinker
00007ffb083d68c2 (__TEXT,__text) non-external (was a private external) _glpDestroyLog
00007ffb083d6dbc (__TEXT,__text) non-external (was a private external) _glpDestroyNameTable
00007ffb08393a6b (__TEXT,__text) non-external (was a private external) _glpDestroyPointerHash
00007ffb08395267 (__TEXT,__text) non-external (was a private external) _glpDestroyPoolAllocator
00007ffb083e5076 (__TEXT,__text) non-external (was a private external) _glpDestroySerialContext
00007ffb083ea866 (__TEXT,__text) non-external (was a private external) _glpDestroyStringBuffer
00007ffb08393691 (__TEXT,__text) non-external (was a private external) _glpDestroyStringHash
00007ffb083eb351 (__TEXT,__text) non-external (was a private external) _glpDestroyType
00007ffb0839407e (__TEXT,__text) non-external (was a private external) _glpDestroyTypedValueHash
00007ffb0843a1e8 (__TEXT,__text) non-external (was a private external) _glpDisassemble1Op
00007ffb08412dc0 (__TEXT,__text) non-external (was a private external) _glpDumpASTNodeToStringBuffer
00007ffb083ec358 (__TEXT,__text) non-external (was a private external) _glpDumpTypeToStringBuffer
00007ffb083edaf9 (__TEXT,__text) non-external (was a private external) _glpDuplicateDerefOrConstant
00007ffb083eb6cf (__TEXT,__text) non-external (was a private external) _glpEachPrimitiveComponentOfType
00007ffb083df8e9 (__TEXT,__text) non-external (was a private external) _glpEnsureDeref
00007ffb083deae9 (__TEXT,__text) non-external (was a private external) _glpEnsureOffsetsExist
00007ffb083f730a (__TEXT,__text) non-external (was a private external) _glpEqualNodeGetIsFromSource
00007ffb083e1688 (__TEXT,__text) non-external (was a private external) _glpEvaluateArraySize
00007ffb083e1883 (__TEXT,__text) non-external (was a private external) _glpEvaluateTypeNode
00007ffb083f8d95 (__TEXT,__text) non-external (was a private external) _glpExpressionStatementNodeGetExpr
00007ffb083f8da2 (__TEXT,__text) non-external (was a private external) _glpExpressionStatementNodeSetExpr
00007ffb083c465e (__TEXT,__text) non-external (was a private external) _glpExtensionAllowed
00007ffb083c478c (__TEXT,__text) non-external (was a private external) _glpExtensionAllowedAndDefault
00007ffb083c4189 (__TEXT,__text) non-external (was a private external) _glpExtensionFromString
00007ffb083c463f (__TEXT,__text) non-external (was a private external) _glpExtensionToString
00007ffb083f6906 (__TEXT,__text) non-external (was a private external) _glpFieldAccessNodeGetField
00007ffb083f6914 (__TEXT,__text) non-external (was a private external) _glpFieldAccessNodeGetStructure
00007ffb083f6921 (__TEXT,__text) non-external (was a private external) _glpFieldAccessNodeSetStructure
00007ffb083f8410 (__TEXT,__text) non-external (was a private external) _glpFieldDeclarationNodeGetName
00007ffb083f841e (__TEXT,__text) non-external (was a private external) _glpFieldDeclarationNodeGetType
00007ffb083f842b (__TEXT,__text) non-external (was a private external) _glpFieldDeclarationNodeSetType
00007ffb083c5156 (__TEXT,__text) non-external (was a private external) _glpFinalizeParseContext
00007ffb083f357d (__TEXT,__text) non-external (was a private external) _glpFinalizePreprocessor
00007ffb083b912f (__TEXT,__text) non-external _glpFindGep
00007ffb083c48f7 (__TEXT,__text) non-external (was a private external) _glpFixInterpolateAt
00007ffb083e318b (__TEXT,__text) non-external (was a private external) _glpFlattenCommaTree
00007ffb08462f32 (__TEXT,__text) external _glpFragmentStateToPPStream
00007ffb0844becf (__TEXT,__text) external _glpFreePPShaderLinearize
00007ffb083f6a32 (__TEXT,__text) non-external (was a private external) _glpFunctionCallNodeGetExtra
00007ffb083f6a24 (__TEXT,__text) non-external (was a private external) _glpFunctionCallNodeGetName
00007ffb083f6a3c (__TEXT,__text) non-external (was a private external) _glpFunctionCallNodeSetExtra
00007ffb083f81db (__TEXT,__text) non-external (was a private external) _glpFunctionDefinitionNodeGetBody
00007ffb083f81c1 (__TEXT,__text) non-external (was a private external) _glpFunctionDefinitionNodeGetPrototype
00007ffb083f81e9 (__TEXT,__text) non-external (was a private external) _glpFunctionDefinitionNodeSetBody
00007ffb083f81ce (__TEXT,__text) non-external (was a private external) _glpFunctionDefinitionNodeSetPrototype
00007ffb083f7b83 (__TEXT,__text) non-external (was a private external) _glpFunctionPrototypeNodeAddParameter
00007ffb083f7b1c (__TEXT,__text) non-external (was a private external) _glpFunctionPrototypeNodeClearParameters
00007ffb083f7ad2 (__TEXT,__text) non-external (was a private external) _glpFunctionPrototypeNodeGetExtra
00007ffb083f7ac4 (__TEXT,__text) non-external (was a private external) _glpFunctionPrototypeNodeGetName
00007ffb083f7b61 (__TEXT,__text) non-external (was a private external) _glpFunctionPrototypeNodeGetParameter
00007ffb083f7b58 (__TEXT,__text) non-external (was a private external) _glpFunctionPrototypeNodeGetParameterCount
00007ffb083f7b00 (__TEXT,__text) non-external (was a private external) _glpFunctionPrototypeNodeGetReturnOutParam
00007ffb083f7ae6 (__TEXT,__text) non-external (was a private external) _glpFunctionPrototypeNodeGetReturnType
00007ffb083f7b90 (__TEXT,__text) non-external (was a private external) _glpFunctionPrototypeNodeInsertParameter
00007ffb083f7adc (__TEXT,__text) non-external (was a private external) _glpFunctionPrototypeNodeSetExtra
00007ffb083f7b72 (__TEXT,__text) non-external (was a private external) _glpFunctionPrototypeNodeSetParameter
00007ffb083f7b0e (__TEXT,__text) non-external (was a private external) _glpFunctionPrototypeNodeSetReturnOutParam
00007ffb083f7af3 (__TEXT,__text) non-external (was a private external) _glpFunctionPrototypeNodeSetReturnType
00007ffb083eb2ea (__TEXT,__text) non-external (was a private external) _glpFunctionTypeGetReturnType
00007ffb084184b8 (__TEXT,__text) non-external _glpGLPTypeGetGLVMType
00007ffb083c40b7 (__TEXT,__text) non-external (was a private external) _glpGLSLVersionAllowed
00007ffb083c3fc0 (__TEXT,__text) non-external (was a private external) _glpGLSLVersionFromInt
00007ffb083c4083 (__TEXT,__text) non-external (was a private external) _glpGLSLVersionGetDefault
00007ffb083c4138 (__TEXT,__text) non-external (was a private external) _glpGLSLVersionRequired
00007ffb083c4068 (__TEXT,__text) non-external (was a private external) _glpGLSLVersionToInt
00007ffb083cb920 (__TEXT,__text) non-external (was a private external) _glpGenerateCopyInOut
00007ffb083ed625 (__TEXT,__text) non-external (was a private external) _glpGetAccessorCount
00007ffb083c4dc9 (__TEXT,__text) non-external (was a private external) _glpGetBIArchiveData
00007ffb4360e980 (__DATA,__bss) non-external _glpGetBIArchiveData._anchor
