00007ffb0fc58a24 (__TEXT,__text) non-external +[GKBrush brush]
00007ffb0fc474f0 (__TEXT,__text) non-external -[GKTextStyle settingsBoldButton]
00007ffb0fc47448 (__TEXT,__text) non-external -[GKTextStyle settingsButton]
00007ffb0fc476f1 (__TEXT,__text) non-external -[GKTextStyle settingsFooter]
00007ffb0fc4765b (__TEXT,__text) non-external -[GKTextStyle settingsHeader]
00007ffb0fc47598 (__TEXT,__text) non-external -[GKTextStyle settingsLabel]
00007ffb0fc473b7 (__TEXT,__text) non-external -[GKTextStyle settingsLinkText]
00007ffb0fc4493a (__TEXT,__text) non-external -[GKTextStyle smallInfo]
00007ffb0fc4480c (__TEXT,__text) non-external -[GKTextStyle small]
00007ffb0fc44ee3 (__TEXT,__text) non-external -[GKTextStyle strong]
00007ffb0fc47787 (__TEXT,__text) non-external -[GKTextStyle styleWithName:fallback:layoutMode:]
00007ffb0fc463f5 (__TEXT,__text) non-external -[GKTextStyle tabIconCaption]
00007ffb0fc46233 (__TEXT,__text) non-external -[GKTextStyle tableCellSubtitle]
00007ffb0fc4612e (__TEXT,__text) non-external -[GKTextStyle tableCellTitle]
00007ffb0fc46338 (__TEXT,__text) non-external -[GKTextStyle tableFooterStyle]
00007ffb0fc47938 (__TEXT,__text) non-external -[GKTextStyle textAlignment]
00007ffb0fc455fa (__TEXT,__text) non-external -[GKTextStyle thinNumberText]
00007ffb0fc44f2d (__TEXT,__text) non-external -[GKTextStyle thin]
00007ffb0fc44a56 (__TEXT,__text) non-external -[GKTextStyle viewBackground]
00007ffb0fc479c9 (__TEXT,__text) non-external -[GKTextStyle zPosition]
00007ffb0fc47f67 (__TEXT,__text) non-external -[GKTextStyleFocus bannerTitle]
00007ffb0fc484b3 (__TEXT,__text) non-external -[GKTextStyleMac detailSecondaryHeaderText]
00007ffb0fc485dc (__TEXT,__text) non-external -[GKTextStyleMac emphasized]
00007ffb0fc4841c (__TEXT,__text) non-external -[GKTextStyleMac gameDetailNameText]
00007ffb0fc48577 (__TEXT,__text) non-external -[GKTextStyleMac info]
00007ffb0fc482d0 (__TEXT,__text) non-external -[GKTextStyleMac sectionCaption]
00007ffb0fc4823f (__TEXT,__text) non-external -[GKTextStyleMac sectionHeader]
00007ffb0fc48105 (__TEXT,__text) non-external -[GKTextStyleMac tableCellSubtitle]
00007ffb0fc4805c (__TEXT,__text) non-external -[GKTextStyleMac tableCellTitle]
00007ffb0fc481ae (__TEXT,__text) non-external -[GKTextStyleMac tableFooterStyle]
00007ffb0fc48366 (__TEXT,__text) non-external -[GKTextStyleMac thinNumberText]
00007ffb0fc47eaa (__TEXT,__text) non-external -[GKTextStylePad cellActionItem]
00007ffb0fc47a79 (__TEXT,__text) non-external -[GKTextStylePad header1]
00007ffb0fc47b3c (__TEXT,__text) non-external -[GKTextStylePad header2]
00007ffb0fc47bff (__TEXT,__text) non-external -[GKTextStylePad header3]
00007ffb0fc47cc2 (__TEXT,__text) non-external -[GKTextStylePad header4]
00007ffb0fc47e48 (__TEXT,__text) non-external -[GKTextStylePad sectionCaptionSmall]
00007ffb0fc47d85 (__TEXT,__text) non-external -[GKTextStylePad smallInfo]
00007ffb0fc489bd (__TEXT,__text) non-external -[GKTextStylePhone cellActionItem]
00007ffb0fc4864f (__TEXT,__text) non-external -[GKTextStylePhone header1]
00007ffb0fc48712 (__TEXT,__text) non-external -[GKTextStylePhone header2]
00007ffb0fc487d5 (__TEXT,__text) non-external -[GKTextStylePhone header4]
00007ffb0fc4895b (__TEXT,__text) non-external -[GKTextStylePhone sectionCaptionSmall]
00007ffb0fc48898 (__TEXT,__text) non-external -[GKTextStylePhone smallInfo]
00007ffb0fc58d98 (__TEXT,__text) non-external -[GKThemeBrush .cxx_destruct]
00007ffb0fc58c94 (__TEXT,__text) non-external -[GKThemeBrush copyWithZone:]
00007ffb0fc58d0b (__TEXT,__text) non-external -[GKThemeBrush initWithTheme:]
00007ffb0fc58d84 (__TEXT,__text) non-external -[GKThemeBrush setTheme:]
00007ffb0fc58d73 (__TEXT,__text) non-external -[GKThemeBrush theme]
00007ffb0fc5f28f (__TEXT,__text) non-external -[GKUIActivityIndicatorView initWithActivityIndicatorStyle:]
00007ffb0fc5f204 (__TEXT,__text) non-external -[GKUIActivityIndicatorView initWithFrame:]
00007ffb0fc5f1d2 (__TEXT,__text) non-external -[GKUIActivityIndicatorView init]
00007ffb0fc5f2c1 (__TEXT,__text) non-external -[GKUIActivityIndicatorView startAnimating]
00007ffb0fc5f2d6 (__TEXT,__text) non-external -[GKUIActivityIndicatorView stopAnimating]
00007ffb0fc62a26 (__TEXT,__text) non-external -[GKUITheme .cxx_destruct]
00007ffb0fc60a7c (__TEXT,__text) non-external -[GKUITheme _catalogImageWithName:bundle:]
00007ffb0fc61176 (__TEXT,__text) non-external -[GKUITheme achievementsDefaultIcon]
00007ffb0fc611c5 (__TEXT,__text) non-external -[GKUITheme achievementsNotStartedIcon]
00007ffb0fc614ca (__TEXT,__text) non-external -[GKUITheme avatarSourceWithDimension:]
00007ffb0fc60836 (__TEXT,__text) non-external -[GKUITheme clearResourceCache]
00007ffb0fc62646 (__TEXT,__text) non-external -[GKUITheme contactsCircleImage]
00007ffb0fc62044 (__TEXT,__text) non-external -[GKUITheme defaultLeaderboardIcon]
00007ffb0fc62186 (__TEXT,__text) non-external -[GKUITheme defaultPlayerPhoto]
00007ffb0fc627c6 (__TEXT,__text) non-external -[GKUITheme eventIconImage]
00007ffb0fc61a28 (__TEXT,__text) non-external -[GKUITheme groupImageSourceWithDimension:]
00007ffb0fc61dd2 (__TEXT,__text) non-external -[GKUITheme iconLeaderboardListSource]
00007ffb0fc61f0b (__TEXT,__text) non-external -[GKUITheme iconLeaderboardSetListSource]
00007ffb0fc60dee (__TEXT,__text) non-external -[GKUITheme imageNamed:]
00007ffb0fc609e3 (__TEXT,__text) non-external -[GKUITheme init]
00007ffb0fc6115d (__TEXT,__text) non-external -[GKUITheme interactiveRatingStarsBackground]
00007ffb0fc61144 (__TEXT,__text) non-external -[GKUITheme interactiveRatingStarsForeground]
00007ffb0fc61286 (__TEXT,__text) non-external -[GKUITheme localImageSourceWithName:imageBrush:]
00007ffb0fc612f8 (__TEXT,__text) non-external -[GKUITheme macGameIconSource]
00007ffb0fc610f9 (__TEXT,__text) non-external -[GKUITheme messagesInviteBackgroundImage]
00007ffb0fc61630 (__TEXT,__text) non-external -[GKUITheme monogramSourceWithDimension:]
00007ffb0fc61214 (__TEXT,__text) non-external -[GKUITheme networkImageSourceWithName:imageBrush:]
00007ffb0fc61ca4 (__TEXT,__text) non-external -[GKUITheme photoDetailSource]
00007ffb0fc61b8e (__TEXT,__text) non-external -[GKUITheme photoListSource]
00007ffb0fc6182c (__TEXT,__text) non-external -[GKUITheme placeholderSourceWithDimension:]
00007ffb0fc62491 (__TEXT,__text) non-external -[GKUITheme playerPickerSelectedImage]
00007ffb0fc62471 (__TEXT,__text) non-external -[GKUITheme playerPickerUnselectedImage]
00007ffb0fc61112 (__TEXT,__text) non-external -[GKUITheme ratingStarsBackgroundImage]
00007ffb0fc6112b (__TEXT,__text) non-external -[GKUITheme ratingStarsForegroundImage]
00007ffb0fc624b1 (__TEXT,__text) non-external -[GKUITheme removePlayerButtonImage]
00007ffb0fc62858 (__TEXT,__text) non-external -[GKUITheme resourceCache]
00007ffb0fc62872 (__TEXT,__text) non-external -[GKUITheme resourceForSelector:missingHandler:]
00007ffb0fc6295c (__TEXT,__text) non-external -[GKUITheme resourceWithName:missingHandler:]
00007ffb0fc627df (__TEXT,__text) non-external -[GKUITheme secondaryLabelCompositingFilter]
00007ffb0fc607ea (__TEXT,__text) non-external -[GKUITheme setResourceCache:]
00007ffb0fc624ca (__TEXT,__text) non-external -[GKUITheme statusDotImage]
00007ffb0fc614b8 (__TEXT,__text) non-external -[GKUITheme untreatedAchievementImageDetailSource]
00007ffb0fc613da (__TEXT,__text) non-external -[GKUITheme untreatedAchievementImageSource]
00007ffb0fc6082e (__TEXT,__text) non-external -[GKUITheme useStandardControls]
00007ffb0fc60793 (__TEXT,__text) non-external -[GKUITheme utilityService]
00007ffb0fc664b1 (__TEXT,__text) non-external -[GKWelcomeBannerVisibility .cxx_destruct]
00007ffb0fc6644d (__TEXT,__text) non-external -[GKWelcomeBannerVisibility applicationDidHide:]
00007ffb0fc66477 (__TEXT,__text) non-external -[GKWelcomeBannerVisibility canShowBanner]
00007ffb0fc66299 (__TEXT,__text) non-external -[GKWelcomeBannerVisibility init]
00007ffb0fc66464 (__TEXT,__text) non-external -[GKWelcomeBannerVisibility isShowingRemoteUI]
00007ffb0fc6648a (__TEXT,__text) non-external -[GKWelcomeBannerVisibility mainWindow]
00007ffb0fc66481 (__TEXT,__text) non-external -[GKWelcomeBannerVisibility setCanShowBanner:]
00007ffb0fc6646e (__TEXT,__text) non-external -[GKWelcomeBannerVisibility setIsShowingRemoteUI:]
00007ffb0fc664a0 (__TEXT,__text) non-external -[GKWelcomeBannerVisibility setMainWindow:]
00007ffb0fc6636a (__TEXT,__text) non-external -[GKWelcomeBannerVisibility windowDidMiniaturize:]
00007ffb0fc5bd8d (__TEXT,__text) non-external -[NSApplication(GKAdditions) _gkSendAction:viaResponder:withObject:]
00007ffb0fc5bc9d (__TEXT,__text) non-external -[NSApplication(GKAdditions) _gkTargetForAction:viaResponder:]
00007ffb0fc5be34 (__TEXT,__text) non-external -[NSApplication(GKAdditions_UIKit) _gkOpenURL:]
00007ffb0fc4998c (__TEXT,__text) non-external -[NSAttributedString(GKTextStyle) _gkAttributedStringWithStyle:selected:]
00007ffb0fc5fd45 (__TEXT,__text) non-external -[NSBezierPath(GKAdditions) CGPath]
00007ffb0fc5fcec (__TEXT,__text) non-external -[NSButton(GKAdditions) setImage:forState:]
00007ffb0fc5fc2f (__TEXT,__text) non-external -[NSButton(GKAdditions) setTitle:forState:]
00007ffb0fc5fcda (__TEXT,__text) non-external -[NSButton(GKAdditions) setUserInteractionEnabled:]
00007ffb0fc5fc88 (__TEXT,__text) non-external -[NSButton(GKAdditions) titleForState:]
00007ffb0fc5fcc8 (__TEXT,__text) non-external -[NSButton(GKAdditions) userInteractionEnabled]
00007ffb0fc80dc1 (__TEXT,__text) non-external -[NSButton(GKConfigForNavbar) _gkConfigForNavbar]
00007ffb0fc81732 (__TEXT,__text) non-external -[NSButton(GKMButtonHack) initWithButtonKind:]
00007ffb0fc81764 (__TEXT,__text) non-external -[NSButton(GKMButtonHack) initWithButtonKind:theme:]
00007ffb0fc81796 (__TEXT,__text) non-external -[NSButton(GKMButtonHack) setButtonKind:]
00007ffb0fc582f4 (__TEXT,__text) non-external -[NSColor(GKColorAdditions) _gkLuminance]
00007ffb0fc5f938 (__TEXT,__text) non-external -[NSControl(GKAdditions_UIKit) isSelected]
00007ffb0fc5f992 (__TEXT,__text) non-external -[NSControl(GKAdditions_UIKit) removeTarget]
00007ffb0fc5f91c (__TEXT,__text) non-external -[NSControl(GKAdditions_UIKit) setSelected:]
00007ffb0fc5f955 (__TEXT,__text) non-external -[NSControl(GKAdditions_UIKit) setTarget:action:]
00007ffb0fc6d5c7 (__TEXT,__text) non-external -[NSImage(DrawStretched) _gkDrawStretchedInRect:alpha:]
00007ffb0fc49f88 (__TEXT,__text) non-external -[NSImage(GKAdditions) _gkImageByScalingToSize:]
00007ffb0fc49f74 (__TEXT,__text) non-external -[NSImage(GKAdditions) _gkImageByScalingToSize:scale:]
00007ffb0fc49cd1 (__TEXT,__text) non-external -[NSImage(GKAdditions) _gkImageByScalingToSize:scale:padColor:]
00007ffb0fc4a1d3 (__TEXT,__text) non-external -[NSImage(GKAdditions) _gkImageByTintingWithColor:]
00007ffb0fc5eaa9 (__TEXT,__text) non-external -[NSImage(GKAdditions_UIKit) CGImage]
00007ffb0fc5f11c (__TEXT,__text) non-external -[NSImage(GKAdditions_UIKit) _gkContentStretchInPixels]
00007ffb0fc5f0dd (__TEXT,__text) non-external -[NSImage(GKAdditions_UIKit) _gkDrawAtPoint:]
00007ffb0fc5f049 (__TEXT,__text) non-external -[NSImage(GKAdditions_UIKit) _gkResizableImageWithCapInsets:]
00007ffb0fc5f093 (__TEXT,__text) non-external -[NSImage(GKAdditions_UIKit) _gkStretchableImageWithLeftCapWidth:topCapHeight:]
00007ffb0fc5ebce (__TEXT,__text) non-external -[NSImage(GKAdditions_UIKit) imageOrientation]
00007ffb0fc5eba9 (__TEXT,__text) non-external -[NSImage(GKAdditions_UIKit) imageWithRenderingMode:]
00007ffb0fc5eac2 (__TEXT,__text) non-external -[NSImage(GKAdditions_UIKit) initWithCGImage:scale:orientation:]
00007ffb0fc5ea37 (__TEXT,__text) non-external -[NSImage(GKAdditions_UIKit) scale]
00007ffb0fc4b4de (__TEXT,__text) non-external -[NSImage(GKTransferFunction) _gkReadAtSize:ARGBHostEndianBytes:]
00007ffb0fc8179c (__TEXT,__text) non-external -[NSImage(MinorAdditions) alignmentRectInsets]
00007ffb0fc8180a (__TEXT,__text) non-external -[NSImage(MinorAdditions) setAlignmentRectInsets:]
00007ffb0fc5f159 (__TEXT,__text) non-external -[NSImageView(GKAdditions_UIKit) initWithImage:]
00007ffb0fc5f90b (__TEXT,__text) non-external -[NSResponder(GKAdditions_UIKit) _gkCanPerformAction:withSender:]
00007ffb0fc5e9cf (__TEXT,__text) non-external -[NSScreen(GKAdditions_UIKit) bounds]
00007ffb0fc5e9bd (__TEXT,__text) non-external -[NSScreen(GKAdditions_UIKit) scale]
00007ffb0fc5d448 (__TEXT,__text) non-external -[NSString(GKAdditions_UIKit) _gkDrawAtPoint:withFont:]
00007ffb0fc5d50d (__TEXT,__text) non-external -[NSString(GKAdditions_UIKit) _gkIsNaturallyRTL]
00007ffb0fc5d3ce (__TEXT,__text) non-external -[NSString(GKAdditions_UIKit) _gkSizeWithFont:]
00007ffb0fc48a7a (__TEXT,__text) non-external -[NSString(GKTextStyle) _gkAttributedStringByApplyingStyle:]
00007ffb0fc48b09 (__TEXT,__text) non-external -[NSString(GKTextStyle) _gkAttributedStringByApplyingStylesForTags:untaggedStyle:]
00007ffb0fc87cab (__TEXT,__text) non-external -[NSString(GKTextStyle) _gkAttributedStringByApplyingStylesForTags:untaggedStyle:].cold.1
00007ffb0fc87cf0 (__TEXT,__text) non-external -[NSString(GKTextStyle) _gkAttributedStringByApplyingStylesForTags:untaggedStyle:].cold.2
00007ffb0fc87d35 (__TEXT,__text) non-external -[NSString(GKTextStyle) _gkAttributedStringByApplyingStylesForTags:untaggedStyle:].cold.3
00007ffb0fc87d7a (__TEXT,__text) non-external -[NSString(GKTextStyle) _gkAttributedStringByApplyingStylesForTags:untaggedStyle:].cold.4
00007ffb0fc5f9e8 (__TEXT,__text) non-external -[NSTextField(GKAdditions) attributedText]
00007ffb0fc5fa62 (__TEXT,__text) non-external -[NSTextField(GKAdditions) numberOfLines]
00007ffb0fc5fbc3 (__TEXT,__text) non-external -[NSTextField(GKAdditions) placeholder]
00007ffb0fc5f9fa (__TEXT,__text) non-external -[NSTextField(GKAdditions) setAttributedText:]
00007ffb0fc5fb11 (__TEXT,__text) non-external -[NSTextField(GKAdditions) setNumberOfLines:]
00007ffb0fc5fbd5 (__TEXT,__text) non-external -[NSTextField(GKAdditions) setPlaceholder:]
00007ffb0fc5fa1e (__TEXT,__text) non-external -[NSTextField(GKAdditions) setText:]
00007ffb0fc5fa50 (__TEXT,__text) non-external -[NSTextField(GKAdditions) setTextAlignment:]
00007ffb0fc5fa3e (__TEXT,__text) non-external -[NSTextField(GKAdditions) textAlignment]
00007ffb0fc5fa0c (__TEXT,__text) non-external -[NSTextField(GKAdditions) text]
00007ffb0fc5f9d6 (__TEXT,__text) non-external -[NSTextView(GKAdditions) setText:]
00007ffb0fc5f9c4 (__TEXT,__text) non-external -[NSTextView(GKAdditions) text]
00007ffb0fc5f4c9 (__TEXT,__text) non-external -[NSValue(GKAdditions_UIKit) _gkCGPointValue]
00007ffb0fc5f49e (__TEXT,__text) non-external -[NSValue(GKAdditions_UIKit) _gkCGSizeValue]
00007ffb0fc5bfa2 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) _autoresizingDescription]
00007ffb0fc5c38a (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) _gkDescriptionCuzNSViewDescriptionIzLame]
00007ffb0fc5ccbe (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) _gkDescriptionWithChildren:]
00007ffb0fc5cefb (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) _gkRecursiveDescription]
00007ffb0fc5c10b (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) _gkValueDescription]
00007ffb0fc5cf59 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) alpha]
00007ffb0fc5cf7d (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) center]
00007ffb0fc5d333 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) contentCompressionResistancePriorityForAxis:]
00007ffb0fc5d30f (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) contentHuggingPriorityForAxis:]
00007ffb0fc5d0a5 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) insertSubview:atIndex:]
00007ffb0fc5d357 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) isFocused]
00007ffb0fc5d27a (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) layoutIfNeeded]
00007ffb0fc5d274 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) layoutSubviews]
00007ffb0fc5d35f (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) preferredFocusEnvironments]
00007ffb0fc5d3bf (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) preferredFocusedView]
00007ffb0fc5cf6b (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setAlpha:]
00007ffb0fc5cffe (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setCenter:]
00007ffb0fc5d345 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setContentCompressionResistancePriority:forAxis:]
00007ffb0fc5d321 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setContentHuggingPriority:forAxis:]
00007ffb0fc5d25d (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setNeedsDisplay]
00007ffb0fc5d3c8 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setNeedsFocusUpdate]
00007ffb0fc5d28c (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setNeedsLayout]
00007ffb0fc5d08e (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setNeedsUpdateConstraints]
00007ffb0fc5cf0f (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setOpaque:]
00007ffb0fc5d2fd (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setSize:]
00007ffb0fc5d080 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setTintColor:]
00007ffb0fc5d29e (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) sizeThatFits:]
00007ffb0fc5d2cd (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) size]
00007ffb0fc5d086 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) tintColor]
00007ffb0fc681fc (__TEXT,__text) non-external -[NSView(UXViewController) _uxAttachToViewController:]
00007ffb0fc67e65 (__TEXT,__text) non-external -[NSView(UXViewController) _uxAttachToViewController:withDropShadow:]
00007ffb0fc68b85 (__TEXT,__text) non-external -[NSViewController(GKAdditions) _gkForceNextContentUpdate]
00007ffb0fc696a4 (__TEXT,__text) non-external -[NSViewController(GKAdditions) _gkRefreshContentsForDataType:userInfo:]
00007ffb0fc68b73 (__TEXT,__text) non-external -[NSViewController(GKAdditions) _gkResetContents]
00007ffb0fc68d5a (__TEXT,__text) non-external -[NSViewController(GKAdditions) _gkSetContentsNeedUpdateWithHandler:]
00007ffb0fc696aa (__TEXT,__text) non-external -[NSViewController(GKAdditions) _gkShouldRefreshContentsForDataType:userInfo:]
00007ffb0fc68b5d (__TEXT,__text) non-external -[NSViewController(GKAdditions) _gkUpdateContentsWithCompletionHandlerAndError:]
00007ffb0fc5be4d (__TEXT,__text) non-external -[NSViewController(GKAdditions_UIKit) preferredFocusEnvironments]
00007ffb0fc5bf14 (__TEXT,__text) non-external -[NSViewController(GKAdditions_UIKit) preferredFocusedView]
