00000001a41b7d90 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001a41c4e60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unlock
00000001a41c4e80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unsignedIntegerValue
00000001a41c4ea0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$updateLastUsedTimes:withReply:
00000001a41c4ec0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$updatePolicyItems:withContext:withReply:
00000001a41c4ee0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$url
00000001a41c4f00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$urlHasGatekeeperException:withReply:
00000001a41c4f20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$valueForEntitlement:
00000001a41c4f40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$version
00000001a41c4f60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$volumeRequiresGatekeeperMigration:
00000001a41c4f80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$volumeRequiresKernelExtensionMigration:
00000001a41c4fa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$volumeUUID
00000001a41c4fc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$wrappedAppURL:
00000001a41c4fe0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$writeToURL:error:
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_retainBlock (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
00000001a41b74e0 (__TEXT,__text) external _opaqueSignCode
00000001a41baca8 (__TEXT,__text) non-external _opaqueSignCode.cold.1
00000001a41bad04 (__TEXT,__text) non-external _opaqueSignCode.cold.2
00000001a41bad48 (__TEXT,__text) non-external _opaqueSignCode.cold.3
00000001a41bada4 (__TEXT,__text) non-external _opaqueSignCode.cold.4
00000001a41bae00 (__TEXT,__text) non-external _opaqueSignCode.cold.5
                 (undefined) external _open (from libSystem)
                 (undefined) external _os_log_create (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_signpost_id_generate (from libSystem)
                 (undefined) external _os_variant_is_darwinos (from libSystem)
                 (undefined) external _read (from libSystem)
00000001d6a97318 (__DATA,__data) external _sSystemPolicySubsystem
00000001d6a97508 (__DATA,__bss) non-external _sVerboseLogging
00000001a41aa48c (__TEXT,__text) external _scanForBundledKernelExtensions
00000001a41a9fc0 (__TEXT,__text) external _scanForBundles
00000001a41aa3e8 (__TEXT,__text) external _scanForKernelExtensions
00000001a41b09d4 (__TEXT,__text) external _shouldFilterOutScanTarget
00000001d6a974f8 (__DATA,__bss) non-external _signposts.sLog
00000001d6a974f0 (__DATA,__bss) non-external _signposts.sLogInit
                 (undefined) external _stat (from libSystem)
                 (undefined) external _statfs (from libSystem)
                 (undefined) external _strerror (from libSystem)
00000001a41a7214 (__TEXT,__text) non-external _stringHasAnyPrefix
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00000001a41a9b74 (__TEXT,__text) external _systemUptime
00000001a41b94bc (__TEXT,__text) non-external _systemUptime.cold.1
                 (undefined) external _time (from libSystem)
00000001a41aba78 (__TEXT,__text) non-external _timestampForURL
00000001a41b9ab4 (__TEXT,__text) non-external _timestampForURL.cold.1
00000001a41b0438 (__TEXT,__text) external _urlLooksLikeBundle
00000001d6a97500 (__DATA,__bss) non-external _verboseLoggingEnabled.sOnceToken
