00000001d5486d78 (__DATA,__data) non-external _C
00000001802f5b68 (__TEXT,__text) external _wctomb
00000001803296b8 (__TEXT,__text) external _wctomb_l
0000000180329830 (__TEXT,__text) external _wctrans
00000001803298ac (__TEXT,__text) external _wctrans_l
0000000180329994 (__TEXT,__text) external _wctype
00000001803298b0 (__TEXT,__text) external _wctype_l
00000001d3301d58 (__DATA_CONST,__const) non-external _wctype_l.props
00000001803299b8 (__TEXT,__text) external _wcwidth
0000000180329a30 (__TEXT,__text) external _wcwidth_l
0000000180338424 (__TEXT,__text) non-external _we_read_fully
000000018034bc18 (__TEXT,__const) non-external _wildabbr
0000000180339020 (__TEXT,__text) external _wmemchr
0000000180339044 (__TEXT,__text) external _wmemcmp
000000018033907c (__TEXT,__text) external _wmemcpy
0000000180339084 (__TEXT,__text) external _wmemmove
000000018033908c (__TEXT,__text) external _wmemset
000000018033660c (__TEXT,__text) non-external _wmemstream_close
0000000180336558 (__TEXT,__text) non-external _wmemstream_seek
00000001803487d0 (__TEXT,__text) non-external _wmemstream_seek.cold.1
00000001803487fc (__TEXT,__text) non-external _wmemstream_seek.cold.2
0000000180336334 (__TEXT,__text) non-external _wmemstream_update
00000001803487a4 (__TEXT,__text) non-external _wmemstream_update.cold.1
000000018033636c (__TEXT,__text) non-external _wmemstream_write
0000000180337a28 (__TEXT,__text) external _wordexp
00000001803383dc (__TEXT,__text) external _wordfree
00000001803360c8 (__TEXT,__text) external _wprintf
0000000180336124 (__TEXT,__text) external _wprintf_l
                 (undefined) external _write$NOCANCEL (from libsystem_kernel)
                 (undefined) external _writev$NOCANCEL (from libsystem_kernel)
0000000180336164 (__TEXT,__text) external _wscanf
00000001803361c0 (__TEXT,__text) external _wscanf_l
00000001d54880f8 (__DATA,__bss) non-external _wtmp_asl.0
00000001d5488100 (__DATA,__bss) non-external _wtmp_asl.1
00000001d5488108 (__DATA,__bss) non-external _wtmp_asl.2
00000001d5488110 (__DATA,__bss) non-external _wtmp_asl.3
00000001d5488118 (__DATA,__bss) non-external _wtmp_asl.4
00000001d5486d70 (__DATA,__data) non-external _wtmp_file.0
00000001d54880b8 (__DATA,__bss) non-external _wtmp_file.1
00000001d54880c0 (__DATA,__bss) non-external _wtmp_file.2
00000001d54880c8 (__DATA,__bss) non-external _wtmp_file.3
00000001d54880d0 (__DATA,__bss) non-external _wtmp_file.4
00000001d54880d8 (__DATA,__bss) non-external _wtmp_file.5
00000001d54880e0 (__DATA,__bss) non-external _wtmp_file.6
00000001d54880e8 (__DATA,__bss) non-external _wtmp_file.7
00000001d54880b0 (__DATA,__bss) non-external _wtmp_func.0
00000001d6a8d3a8 (__AUTH,__data) non-external _wtmp_func.1
00000001d6a8d3b0 (__AUTH,__data) non-external _wtmp_func.2
00000001d6a8d3b8 (__AUTH,__data) non-external _wtmp_func.3
000000018030b6c8 (__TEXT,__text) external _wtmpxname
0000000180310b48 (__TEXT,__text) external _xprintf
00000001803002b0 (__TEXT,__text) non-external (was a private external) _xprintf_calloc
00000001d5488660 (__DATA,__bss) non-external _xprintf_domain_default
00000001803112a0 (__TEXT,__text) external _xprintf_exec
00000001802ffa4c (__TEXT,__text) non-external (was a private external) _xprintf_malloc
000000018034bc3c (__TEXT,__const) non-external _year_lengths
00000001d5488020 (__DATA,__bss) non-external _zapchar
000000018034ba7f (__TEXT,__const) non-external _zeroes
000000018034bb70 (__TEXT,__const) non-external _zeroes
00000001d54871b4 (__DATA,__data) non-external _zeroes
