00000001a512cd78 (__TEXT,__text) non-external +[AMFI isAvailable]
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_retainBlock (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
00000001a512c4c8 (__TEXT,__text) external _opaqueSignCode
00000001a512fc90 (__TEXT,__text) non-external _opaqueSignCode.cold.1
00000001a512fcec (__TEXT,__text) non-external _opaqueSignCode.cold.2
00000001a512fd30 (__TEXT,__text) non-external _opaqueSignCode.cold.3
00000001a512fd8c (__TEXT,__text) non-external _opaqueSignCode.cold.4
00000001a512fde8 (__TEXT,__text) non-external _opaqueSignCode.cold.5
                 (undefined) external _open (from libSystem)
                 (undefined) external _os_log_create (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_signpost_id_generate (from libSystem)
                 (undefined) external _os_variant_is_darwinos (from libSystem)
                 (undefined) external _read (from libSystem)
00000001e7436740 (__DATA,__data) external _sSystemPolicySubsystem
00000001e7436930 (__DATA,__bss) non-external _sVerboseLogging
00000001a511f420 (__TEXT,__text) external _scanForBundledKernelExtensions
00000001a511ef54 (__TEXT,__text) external _scanForBundles
00000001a511f37c (__TEXT,__text) external _scanForKernelExtensions
00000001a512596c (__TEXT,__text) external _shouldFilterOutScanTarget
00000001e7436920 (__DATA,__bss) non-external _signposts.sLog
00000001e7436918 (__DATA,__bss) non-external _signposts.sLogInit
                 (undefined) external _stat (from libSystem)
                 (undefined) external _statfs (from libSystem)
                 (undefined) external _strerror (from libSystem)
00000001a511c1a8 (__TEXT,__text) non-external _stringHasAnyPrefix
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00000001a511eb08 (__TEXT,__text) external _systemUptime
00000001a512e4a4 (__TEXT,__text) non-external _systemUptime.cold.1
                 (undefined) external _time (from libSystem)
00000001a5120a0c (__TEXT,__text) non-external _timestampForURL
00000001a512ea9c (__TEXT,__text) non-external _timestampForURL.cold.1
00000001a51253d0 (__TEXT,__text) external _urlLooksLikeBundle
00000001e7436928 (__DATA,__bss) non-external _verboseLoggingEnabled.sOnceToken
