00000001d35f95b4 (__TEXT,__text) non-external +[Cube initialize]
00000001d34981b0 (__TEXT,__text) non-external -[MRCroppingSpriteVBO spriteCoordinatesFactor]
00000001d34981c0 (__TEXT,__text) non-external -[MRCroppingSpriteVBO spriteCoordinatesOffset]
00000001d3497340 (__TEXT,__text) non-external -[MRCroppingSpriteVBO updateVBOsInContext:]
00000001d3498664 (__TEXT,__text) non-external -[MREffect _cleanup]
00000001d3498534 (__TEXT,__text) non-external -[MREffect _computePhaseTimeForTime:]
00000001d34985cc (__TEXT,__text) non-external -[MREffect _computeTimeForPhaseTime:]
00000001d34990e0 (__TEXT,__text) non-external -[MREffect _maxLinesForTextElement:]
00000001d34990d0 (__TEXT,__text) non-external -[MREffect _maxSizeForTextElement:]
00000001d34990f0 (__TEXT,__text) non-external -[MREffect attributes]
00000001d34987bc (__TEXT,__text) non-external -[MREffect beginMorphingToAspectRatio:withDuration:]
00000001d3498d38 (__TEXT,__text) non-external -[MREffect cancelLoading]
00000001d349838c (__TEXT,__text) non-external -[MREffect cleanup]
00000001d3498344 (__TEXT,__text) non-external -[MREffect dealloc]
00000001d34990e8 (__TEXT,__text) non-external -[MREffect effectID]
00000001d34987c4 (__TEXT,__text) non-external -[MREffect elementHitAtPoint:withInverseMatrix:localPoint:]
00000001d34987c0 (__TEXT,__text) non-external -[MREffect endMorphing]
00000001d34989fc (__TEXT,__text) non-external -[MREffect endPanoramaPanning]
00000001d3498844 (__TEXT,__text) non-external -[MREffect enterInteractiveModeAtTime:]
00000001d3498850 (__TEXT,__text) non-external -[MREffect exitInteractiveMode]
00000001d34987d4 (__TEXT,__text) non-external -[MREffect getCurrentCenter:scale:rotation:isMain:forElement:]
00000001d3498868 (__TEXT,__text) non-external -[MREffect getLazyDuration:lazyFactor:animationDuration:fromInterestingTime:]
00000001d34987dc (__TEXT,__text) non-external -[MREffect getStartTime:andDuration:forMovingToElementID:backwards:]
00000001d34987cc (__TEXT,__text) non-external -[MREffect getVerticesCoordinates:withMatrix:forElement:]
00000001d34987e4 (__TEXT,__text) non-external -[MREffect hasMoreSlidesFromTime:backwards:startTime:duration:]
00000001d3498230 (__TEXT,__text) non-external -[MREffect initWithEffectID:]
00000001d3498860 (__TEXT,__text) non-external -[MREffect interestingTimeForElement:]
00000001d3498858 (__TEXT,__text) non-external -[MREffect interestingTimeForTime:]
00000001d3498db4 (__TEXT,__text) non-external -[MREffect isAlphaFriendly]
00000001d349914c (__TEXT,__text) non-external -[MREffect isInInteractiveMode]
00000001d3498dbc (__TEXT,__text) non-external -[MREffect isInfinite]
00000001d3498a08 (__TEXT,__text) non-external -[MREffect isLoadedForTime:]
00000001d3498da4 (__TEXT,__text) non-external -[MREffect isNative3D]
00000001d3498dac (__TEXT,__text) non-external -[MREffect isOpaque]
00000001d3498518 (__TEXT,__text) non-external -[MREffect isRetainedByEffectLayer]
00000001d3498a10 (__TEXT,__text) non-external -[MREffect loadForTime:inContext:withArguments:now:]
00000001d3498ba8 (__TEXT,__text) non-external -[MREffect loadWithArguments:]
00000001d349913c (__TEXT,__text) non-external -[MREffect mainDuration]
00000001d3499120 (__TEXT,__text) non-external -[MREffect multiImageSlideRange]
00000001d3499100 (__TEXT,__text) non-external -[MREffect needsToUpdateSlides]
00000001d3499110 (__TEXT,__text) non-external -[MREffect needsToUpdateTexts]
00000001d3498fd0 (__TEXT,__text) non-external -[MREffect patchworkAtTime:inContext:withArguments:]
00000001d3499134 (__TEXT,__text) non-external -[MREffect phaseInDuration]
00000001d3499144 (__TEXT,__text) non-external -[MREffect phaseOutDuration]
00000001d34990f8 (__TEXT,__text) non-external -[MREffect pixelSize]
00000001d3498dc4 (__TEXT,__text) non-external -[MREffect prerenderForTime:inContext:withArguments:]
00000001d34984a0 (__TEXT,__text) non-external -[MREffect releaseByEffectLayer:]
00000001d3498ed4 (__TEXT,__text) non-external -[MREffect renderAtTime:inContext:withArguments:]
00000001d349844c (__TEXT,__text) non-external -[MREffect retainByEffectLayer:]
00000001d3498f2c (__TEXT,__text) non-external -[MREffect retainedByUserRenderedImageAtTime:inContext:withArguments:]
00000001d34986cc (__TEXT,__text) non-external -[MREffect setAttributes:]
00000001d34987b8 (__TEXT,__text) non-external -[MREffect setLiveAttributes:]
00000001d349912c (__TEXT,__text) non-external -[MREffect setMultiImageSlideRange:]
00000001d3499108 (__TEXT,__text) non-external -[MREffect setNeedsToUpdateSlides:]
00000001d3499118 (__TEXT,__text) non-external -[MREffect setNeedsToUpdateTexts:]
00000001d3498528 (__TEXT,__text) non-external -[MREffect setPhaseInDuration:mainDuration:phaseOutDuration:]
00000001d34986ac (__TEXT,__text) non-external -[MREffect setPixelSize:]
00000001d3498898 (__TEXT,__text) non-external -[MREffect startPanoramaPanningForElementID:isLandscape:]
00000001d3498880 (__TEXT,__text) non-external -[MREffect supportsChapters]
00000001d3498888 (__TEXT,__text) non-external -[MREffect timeForNextChapterAfterTime:]
00000001d3498890 (__TEXT,__text) non-external -[MREffect timeForPreviousChapterBeforeTime:]
00000001d3498ca8 (__TEXT,__text) non-external -[MREffect unload]
00000001d34988e0 (__TEXT,__text) non-external -[MREffect updatePanoramaPanningForElementID:withDelta:]
00000001d3498954 (__TEXT,__text) non-external -[MREffect valueForPanoramaPanningForElementID:value:minValue:maxValue:]
00000001d3499178 (__TEXT,__text) non-external -[MREffect(DynamicExpansionSupport) firstSlideIndexStillNeededAtTime:]
00000001d3499180 (__TEXT,__text) non-external -[MREffect(DynamicExpansionSupport) needsMoreSlidesAtTime:]
00000001d3499168 (__TEXT,__text) non-external -[MREffect(DynamicExpansionSupport) supportsDynamicExpansion]
00000001d3499170 (__TEXT,__text) non-external -[MREffect(DynamicExpansionSupport) typicalSlideBatchSize]
00000001d3499198 (__TEXT,__text) non-external -[MREffect(MRLoadable) _loadForTime:inContext:withArguments:]
00000001d349919c (__TEXT,__text) non-external -[MREffect(MRLoadable) _unload]
00000001d3499408 (__TEXT,__text) non-external -[MREffectBackgroundImage _cleanup]
00000001d3499b50 (__TEXT,__text) non-external -[MREffectBackgroundImage assetPath]
00000001d34991a0 (__TEXT,__text) non-external -[MREffectBackgroundImage initWithEffectID:]
00000001d34994fc (__TEXT,__text) non-external -[MREffectBackgroundImage prerenderForTime:inContext:withArguments:]
00000001d3499588 (__TEXT,__text) non-external -[MREffectBackgroundImage renderAtTime:inContext:withArguments:]
00000001d3499b68 (__TEXT,__text) non-external -[MREffectBackgroundImage setAssetPath:]
00000001d3499460 (__TEXT,__text) non-external -[MREffectBackgroundImage setPixelSize:]
00000001d3499b80 (__TEXT,__text) non-external -[MREffectBackgroundImage(MRLoadable) _unload]
00000001d3600188 (__TEXT,__text) non-external -[MREffectCAML _addValue:toKeyframe:inDict:forKey:]
00000001d3600230 (__TEXT,__text) non-external -[MREffectCAML _animationsForTransformAnimation:inContext:]
00000001d35fe9c4 (__TEXT,__text) non-external -[MREffectCAML _cleanup]
00000001d35fed6c (__TEXT,__text) non-external -[MREffectCAML createLayer:inArray:parentSize:parentOrigin:inContext:]
00000001d35fe8e0 (__TEXT,__text) non-external -[MREffectCAML initWithEffectID:]
00000001d35feb10 (__TEXT,__text) non-external -[MREffectCAML isLoadedForTime:]
00000001d35fec34 (__TEXT,__text) non-external -[MREffectCAML prerenderForTime:inContext:withArguments:]
00000001d3600c18 (__TEXT,__text) non-external -[MREffectCAML renderAtTime:inContext:withArguments:]
00000001d3600cec (__TEXT,__text) non-external -[MREffectCAML renderLayer:atTime:inContext:arguments:offset:aspectRatio:withCurrentState:]
00000001d3601a94 (__TEXT,__text) non-external -[MREffectCAML(MRLoadable) _loadForTime:inContext:withArguments:]
00000001d3601d88 (__TEXT,__text) non-external -[MREffectCAML(MRLoadable) _unload]
00000001d35ce80c (__TEXT,__text) non-external -[MREffectCalendar init]
00000001d35cefb4 (__TEXT,__text) non-external -[MREffectCalendar isLoadedForTime:]
00000001d35cf030 (__TEXT,__text) non-external -[MREffectCalendar prerenderForTime:inContext:withArguments:]
00000001d35cf080 (__TEXT,__text) non-external -[MREffectCalendar renderAtTime:inContext:withArguments:]
00000001d35ce844 (__TEXT,__text) non-external -[MREffectCalendar setAttributes:]
00000001d35cf2a0 (__TEXT,__text) non-external -[MREffectCalendar(MRLoadable) _loadForTime:inContext:withArguments:]
00000001d35cf40c (__TEXT,__text) non-external -[MREffectCalendar(MRLoadable) _unload]
00000001d35b6fbc (__TEXT,__text) non-external -[MREffectCoverCascade _applyTimingToSlideProviders]
00000001d35b7c24 (__TEXT,__text) non-external -[MREffectCoverCascade _buildNumberOfSlideStories:withSlideRange:]
00000001d35b9cec (__TEXT,__text) non-external -[MREffectCoverCascade _cleanup]
00000001d35b9cb8 (__TEXT,__text) non-external -[MREffectCoverCascade _unload]
00000001d35b6ef8 (__TEXT,__text) non-external -[MREffectCoverCascade appendSlideInformation:andTextInformation:]
00000001d35b6e78 (__TEXT,__text) non-external -[MREffectCoverCascade displayTimeForSlideAtIndex:]
00000001d35b6ee8 (__TEXT,__text) non-external -[MREffectCoverCascade displayTimeForTextAtIndex:]
00000001d35b6ef0 (__TEXT,__text) non-external -[MREffectCoverCascade lowestDisplayTime]
00000001d35b869c (__TEXT,__text) non-external -[MREffectCoverCascade prerenderForTime:inContext:withArguments:]
00000001d35b878c (__TEXT,__text) non-external -[MREffectCoverCascade renderAtTime:inContext:withArguments:]
00000001d35b7228 (__TEXT,__text) non-external -[MREffectCoverCascade setPhaseInDuration:mainDuration:phaseOutDuration:]
00000001d35b6e10 (__TEXT,__text) non-external -[MREffectCoverCascade showDurationForSlideAtIndex:]
00000001d35b6db4 (__TEXT,__text) non-external -[MREffectCoverCascade showTimeForSlideAtIndex:]
00000001d35b9d7c (__TEXT,__text) non-external -[MREffectCoverCascade(DynamicExpansionSupport) firstSlideIndexStillNeededAtTime:]
00000001d35b9ed4 (__TEXT,__text) non-external -[MREffectCoverCascade(DynamicExpansionSupport) setMultiImageSlideRange:]
00000001d35b9d30 (__TEXT,__text) non-external -[MREffectCoverCascade(DynamicExpansionSupport) supportsDynamicExpansion]
00000001d35b9d38 (__TEXT,__text) non-external -[MREffectCoverCascade(DynamicExpansionSupport) typicalSlideBatchSize]
00000001d35b6c38 (__TEXT,__text) non-external -[MREffectCoverCascadeEvent initWithRelativeX:relativeY:type:relativeStartTime:andDuration:]
00000001d35b6be8 (__TEXT,__text) non-external -[MREffectCoverCascadeSlideStory dealloc]
00000001d35b6b3c (__TEXT,__text) non-external -[MREffectCoverCascadeSlideStory initWithSlideIndex:x:y:birthType:birthStart:birthDuration:]
00000001d35e8ecc (__TEXT,__text) non-external -[MREffectDateline _addTextImage:forKey:inDictionary:]
00000001d35e0558 (__TEXT,__text) non-external -[MREffectDateline _aspectRatioForSlideIndex:]
00000001d35e0078 (__TEXT,__text) non-external -[MREffectDateline _calculateDurations:slideInformation:aspectRatio:]
00000001d35def78 (__TEXT,__text) non-external -[MREffectDateline _calculateMainDurationWithAttributes:]
00000001d35e1bac (__TEXT,__text) non-external -[MREffectDateline _chapterIndexForTime:]
00000001d35dff04 (__TEXT,__text) non-external -[MREffectDateline _chapterRangeForSlide:startIndex:endIndex:]
00000001d35e887c (__TEXT,__text) non-external -[MREffectDateline _cleanUpDictionary:]
00000001d35ddd30 (__TEXT,__text) non-external -[MREffectDateline _cleanup]
00000001d35e2090 (__TEXT,__text) non-external -[MREffectDateline _currentItemForChapter:atTime:forDuration:fromTime:]
00000001d35e7974 (__TEXT,__text) non-external -[MREffectDateline _drawChapterDateSwitch:to:progress:time:arguments:context:]
00000001d35e4778 (__TEXT,__text) non-external -[MREffectDateline _drawGrayChapters:time:arguments:showInfo:startProgress:titleEnd:titleToChapter:drawPhotos:startIndex:exit:isExiting:chapterIntro:chapterProgress:]
00000001d35e0418 (__TEXT,__text) non-external -[MREffectDateline _isMovieForSlideAtIndex:]
00000001d35e9bd0 (__TEXT,__text) non-external -[MREffectDateline _loadDateForChapter:context:]
00000001d35e9468 (__TEXT,__text) non-external -[MREffectDateline _loadTextForChapter:context:]
00000001d35e04b8 (__TEXT,__text) non-external -[MREffectDateline _movieDurationForSlideAtIndex:]
00000001d35e19f0 (__TEXT,__text) non-external -[MREffectDateline _offsetForChapterIndex:layoutIndex:aspectRatio:]
00000001d35e8a14 (__TEXT,__text) non-external -[MREffectDateline _retainedByUserTextImageForString:string2:type:inContext:firstLine:lastLine:]
00000001d35e89d4 (__TEXT,__text) non-external -[MREffectDateline _retainedByUserTextImageForString:type:inContext:]
00000001d35dfef8 (__TEXT,__text) non-external -[MREffectDateline _sizeForBreakAspectRatio:size:inContext:]
00000001d35e1d18 (__TEXT,__text) non-external -[MREffectDateline _startTimeForChapter:]
00000001d35e1e48 (__TEXT,__text) non-external -[MREffectDateline _startTimeForSlideIndex:inChapter:]
00000001d35e9310 (__TEXT,__text) non-external -[MREffectDateline _unloadTextForChapter:]
00000001d35decf4 (__TEXT,__text) non-external -[MREffectDateline _updateIndiciesWithAttributes:]
00000001d35df81c (__TEXT,__text) non-external -[MREffectDateline _updateSlideProviders:context:renderArguments:]
00000001d35e19cc (__TEXT,__text) non-external -[MREffectDateline _weatherStringForCondition:]
00000001d35e8f20 (__TEXT,__text) non-external -[MREffectDateline beginMorphingToAspectRatio:withDuration:]
00000001d35df308 (__TEXT,__text) non-external -[MREffectDateline displayTimeForSlideAtIndex:]
00000001d35df4c8 (__TEXT,__text) non-external -[MREffectDateline displayTimeForTextAtIndex:]
00000001d35e8698 (__TEXT,__text) non-external -[MREffectDateline elementHitAtPoint:withInverseMatrix:localPoint:]
00000001d35e9120 (__TEXT,__text) non-external -[MREffectDateline endMorphing]
00000001d35ea7b4 (__TEXT,__text) non-external -[MREffectDateline getLazyDuration:lazyFactor:animationDuration:fromInterestingTime:]
00000001d35e881c (__TEXT,__text) non-external -[MREffectDateline getVerticesCoordinates:withMatrix:forElement:]
00000001d35ea204 (__TEXT,__text) non-external -[MREffectDateline hasMoreSlidesFromTime:backwards:startTime:duration:]
00000001d35dd9a4 (__TEXT,__text) non-external -[MREffectDateline initWithEffectID:]
00000001d35ea570 (__TEXT,__text) non-external -[MREffectDateline interestingTimeForElement:]
00000001d35ea354 (__TEXT,__text) non-external -[MREffectDateline interestingTimeForTime:]
00000001d35df4d0 (__TEXT,__text) non-external -[MREffectDateline isLoadedForTime:]
00000001d35df300 (__TEXT,__text) non-external -[MREffectDateline lowestDisplayTime]
00000001d35e062c (__TEXT,__text) non-external -[MREffectDateline prerenderForTime:inContext:withArguments:]
00000001d35e2300 (__TEXT,__text) non-external -[MREffectDateline renderAtTime:inContext:withArguments:]
00000001d35df780 (__TEXT,__text) non-external -[MREffectDateline setAttributes:]
00000001d35de358 (__TEXT,__text) non-external -[MREffectDateline setPixelSize:]
00000001d35df184 (__TEXT,__text) non-external -[MREffectDateline showDurationForSlideAtIndex:]
00000001d35df0a8 (__TEXT,__text) non-external -[MREffectDateline showTimeForSlideAtIndex:]
00000001d35ea9c0 (__TEXT,__text) non-external -[MREffectDateline supportsChapters]
00000001d35ea9c8 (__TEXT,__text) non-external -[MREffectDateline timeForNextChapterAfterTime:]
00000001d35eaa3c (__TEXT,__text) non-external -[MREffectDateline timeForPreviousChapterBeforeTime:]
00000001d35eaac4 (__TEXT,__text) non-external -[MREffectDateline(MRLoadable) _loadForTime:inContext:withArguments:]
00000001d35eadf0 (__TEXT,__text) non-external -[MREffectDateline(MRLoadable) _maxLinesForTextElement:]
00000001d35eadd8 (__TEXT,__text) non-external -[MREffectDateline(MRLoadable) _maxSizeForTextElement:]
00000001d35eadf8 (__TEXT,__text) non-external -[MREffectDateline(MRLoadable) _unload]
00000001d360d92c (__TEXT,__text) non-external -[MREffectDotProgress isNative3D]
00000001d360d934 (__TEXT,__text) non-external -[MREffectDotProgress prerenderForTime:inContext:withArguments:]
00000001d360d93c (__TEXT,__text) non-external -[MREffectDotProgress renderAtTime:inContext:withArguments:]
00000001d360d880 (__TEXT,__text) non-external -[MREffectDotProgress setAttributes:]
00000001d35c998c (__TEXT,__text) non-external -[MREffectFilmStrip _cleanup]
00000001d35c9b3c (__TEXT,__text) non-external -[MREffectFilmStrip elementHitAtPoint:withInverseMatrix:localPoint:]
00000001d35c9cc0 (__TEXT,__text) non-external -[MREffectFilmStrip getVerticesCoordinates:withMatrix:forElement:]
00000001d35c9928 (__TEXT,__text) non-external -[MREffectFilmStrip initWithEffectID:]
00000001d35c99c0 (__TEXT,__text) non-external -[MREffectFilmStrip renderAtTime:inContext:withArguments:]
00000001d35c9d20 (__TEXT,__text) non-external -[MREffectFilmStrip(MRLoadable) _unload]
00000001d35b33b8 (__TEXT,__text) non-external -[MREffectFlipup _applySizeScripts:]
00000001d35b2d44 (__TEXT,__text) non-external -[MREffectFlipup _applyTimingToSlideProviders]
00000001d35b306c (__TEXT,__text) non-external -[MREffectFlipup _aspectRatioForSlideIndex:]
00000001d35b25f4 (__TEXT,__text) non-external -[MREffectFlipup _cleanup]
00000001d35b28e4 (__TEXT,__text) non-external -[MREffectFlipup _durationForEffect:]
00000001d35b2b90 (__TEXT,__text) non-external -[MREffectFlipup _isMovieForSlideAtIndex:slideInformation:]
00000001d35b3a78 (__TEXT,__text) non-external -[MREffectFlipup _iterationForTime:]
00000001d35b2c44 (__TEXT,__text) non-external -[MREffectFlipup _movieDurationForSlideAtIndex:slideInformation:]
00000001d35b295c (__TEXT,__text) non-external -[MREffectFlipup _setupForSlideInformation:aspectRatio:]
00000001d35b3a44 (__TEXT,__text) non-external -[MREffectFlipup _startTimeForIteration:]
00000001d35b2fa4 (__TEXT,__text) non-external -[MREffectFlipup displayTimeForSlideAtIndex:]
00000001d35b3044 (__TEXT,__text) non-external -[MREffectFlipup displayTimeForTextAtIndex:]
00000001d35b4f74 (__TEXT,__text) non-external -[MREffectFlipup elementHitAtPoint:withInverseMatrix:localPoint:]
00000001d35b5158 (__TEXT,__text) non-external -[MREffectFlipup getCurrentCenter:scale:rotation:isMain:forElement:]
