00000001d5a96d78 (__DATA,__data) non-external _C
000000018032a694 (__TEXT,__text) external _wcstoumax
000000018032a450 (__TEXT,__text) external _wcstoumax_l
0000000180339e10 (__TEXT,__text) external _wcswidth
0000000180339d80 (__TEXT,__text) external _wcswidth_l
0000000180339ffc (__TEXT,__text) external _wcsxfrm
0000000180339e34 (__TEXT,__text) external _wcsxfrm_l
0000000180304ce4 (__TEXT,__text) external _wctob
0000000180304d08 (__TEXT,__text) external _wctob_l
00000001802f6b68 (__TEXT,__text) external _wctomb
000000018032a6b8 (__TEXT,__text) external _wctomb_l
000000018032a830 (__TEXT,__text) external _wctrans
000000018032a8ac (__TEXT,__text) external _wctrans_l
000000018032a994 (__TEXT,__text) external _wctype
000000018032a8b0 (__TEXT,__text) external _wctype_l
00000001d3911d58 (__DATA_CONST,__const) non-external _wctype_l.props
000000018032a9b8 (__TEXT,__text) external _wcwidth
000000018032aa30 (__TEXT,__text) external _wcwidth_l
0000000180339424 (__TEXT,__text) non-external _we_read_fully
000000018034cc18 (__TEXT,__const) non-external _wildabbr
000000018033a020 (__TEXT,__text) external _wmemchr
000000018033a044 (__TEXT,__text) external _wmemcmp
000000018033a07c (__TEXT,__text) external _wmemcpy
000000018033a084 (__TEXT,__text) external _wmemmove
000000018033a08c (__TEXT,__text) external _wmemset
000000018033760c (__TEXT,__text) non-external _wmemstream_close
0000000180337558 (__TEXT,__text) non-external _wmemstream_seek
00000001803497d0 (__TEXT,__text) non-external _wmemstream_seek.cold.1
00000001803497fc (__TEXT,__text) non-external _wmemstream_seek.cold.2
0000000180337334 (__TEXT,__text) non-external _wmemstream_update
00000001803497a4 (__TEXT,__text) non-external _wmemstream_update.cold.1
000000018033736c (__TEXT,__text) non-external _wmemstream_write
0000000180338a28 (__TEXT,__text) external _wordexp
00000001803393dc (__TEXT,__text) external _wordfree
00000001803370c8 (__TEXT,__text) external _wprintf
0000000180337124 (__TEXT,__text) external _wprintf_l
                 (undefined) external _write$NOCANCEL (from libsystem_kernel)
                 (undefined) external _writev$NOCANCEL (from libsystem_kernel)
0000000180337164 (__TEXT,__text) external _wscanf
00000001803371c0 (__TEXT,__text) external _wscanf_l
00000001d5a980f8 (__DATA,__bss) non-external _wtmp_asl.0
00000001d5a98100 (__DATA,__bss) non-external _wtmp_asl.1
00000001d5a98108 (__DATA,__bss) non-external _wtmp_asl.2
00000001d5a98110 (__DATA,__bss) non-external _wtmp_asl.3
00000001d5a98118 (__DATA,__bss) non-external _wtmp_asl.4
00000001d5a96d70 (__DATA,__data) non-external _wtmp_file.0
00000001d5a980b8 (__DATA,__bss) non-external _wtmp_file.1
00000001d5a980c0 (__DATA,__bss) non-external _wtmp_file.2
00000001d5a980c8 (__DATA,__bss) non-external _wtmp_file.3
00000001d5a980d0 (__DATA,__bss) non-external _wtmp_file.4
00000001d5a980d8 (__DATA,__bss) non-external _wtmp_file.5
00000001d5a980e0 (__DATA,__bss) non-external _wtmp_file.6
00000001d5a980e8 (__DATA,__bss) non-external _wtmp_file.7
00000001d5a980b0 (__DATA,__bss) non-external _wtmp_func.0
00000001d70bd3a8 (__AUTH,__data) non-external _wtmp_func.1
00000001d70bd3b0 (__AUTH,__data) non-external _wtmp_func.2
00000001d70bd3b8 (__AUTH,__data) non-external _wtmp_func.3
000000018030c6c8 (__TEXT,__text) external _wtmpxname
0000000180311b48 (__TEXT,__text) external _xprintf
00000001803012b0 (__TEXT,__text) non-external (was a private external) _xprintf_calloc
00000001d5a98660 (__DATA,__bss) non-external _xprintf_domain_default
00000001803122a0 (__TEXT,__text) external _xprintf_exec
0000000180300a4c (__TEXT,__text) non-external (was a private external) _xprintf_malloc
000000018034cc3c (__TEXT,__const) non-external _year_lengths
00000001d5a98020 (__DATA,__bss) non-external _zapchar
000000018034ca7f (__TEXT,__const) non-external _zeroes
000000018034cb70 (__TEXT,__const) non-external _zeroes
00000001d5a971b4 (__DATA,__data) non-external _zeroes
