00000001a2464f30 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001a2467f6c (__TEXT,__text) non-external _opaqueSignCode.cold.4
00000001a2467fc8 (__TEXT,__text) non-external _opaqueSignCode.cold.5
                 (undefined) external _open (from libSystem)
                 (undefined) external _os_log_create (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_signpost_id_generate (from libSystem)
                 (undefined) external _os_variant_is_darwinos (from libSystem)
                 (undefined) external _read (from libSystem)
00000001d9218330 (__DATA,__data) external _sSystemPolicySubsystem
00000001d9218520 (__DATA,__bss) non-external _sVerboseLogging
00000001a24576a0 (__TEXT,__text) external _scanForBundledKernelExtensions
00000001a24571d4 (__TEXT,__text) external _scanForBundles
00000001a24575fc (__TEXT,__text) external _scanForKernelExtensions
00000001a245db04 (__TEXT,__text) external _shouldFilterOutScanTarget
00000001d9218510 (__DATA,__bss) non-external _signposts.sLog
00000001d9218508 (__DATA,__bss) non-external _signposts.sLogInit
                 (undefined) external _stat (from libSystem)
                 (undefined) external _statfs (from libSystem)
                 (undefined) external _strerror (from libSystem)
00000001a2454458 (__TEXT,__text) non-external _stringHasAnyPrefix
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00000001a2456d3c (__TEXT,__text) external _systemUptime
00000001a2466674 (__TEXT,__text) non-external _systemUptime.cold.1
                 (undefined) external _time (from libSystem)
00000001a2458c80 (__TEXT,__text) non-external _timestampForURL
00000001a2466c84 (__TEXT,__text) non-external _timestampForURL.cold.1
00000001a245d568 (__TEXT,__text) external _urlLooksLikeBundle
00000001d9218518 (__DATA,__bss) non-external _verboseLoggingEnabled.sOnceToken
