000000021a99ce50 (__DATA,__data) non-external _.compoundliteral
000000021a9a14e0 (__DATA,__bss) non-external _glpCreateDoublesTelemetry.onceToken
00000001e5101ba4 (__TEXT,__text) non-external (was a private external) _glpCreateNVFragment2Telemetry
000000021a9a1500 (__DATA,__bss) non-external _glpCreateNVFragment2Telemetry.onceToken
00000001e5101b70 (__TEXT,__text) non-external (was a private external) _glpCreateNVFragmentProgramTelemetry
000000021a9a14f8 (__DATA,__bss) non-external _glpCreateNVFragmentProgramTelemetry.onceToken
00000001e5101b08 (__TEXT,__text) non-external (was a private external) _glpCreateNVVertex2Telemetry
000000021a9a14e8 (__DATA,__bss) non-external _glpCreateNVVertex2Telemetry.onceToken
00000001e5101b3c (__TEXT,__text) non-external (was a private external) _glpCreateNVVertex3Telemetry
000000021a9a14f0 (__DATA,__bss) non-external _glpCreateNVVertex3Telemetry.onceToken
00000001e5133b3c (__TEXT,__text) non-external _glpCreateShaderByteCode
00000001e5101a84 (__TEXT,__text) non-external _glpCreateTelemetry
00000001e51032c8 (__TEXT,__text) non-external (was a private external) _glpDataHashGet
00000001e51030cc (__TEXT,__text) non-external (was a private external) _glpDataHashPut
00000001e5151138 (__TEXT,__text) non-external (was a private external) _glpDatasEqual
00000001e51924c0 (__TEXT,__text) non-external (was a private external) _glpDecLineNumber
00000001e515d280 (__TEXT,__text) non-external (was a private external) _glpDeepCopyASTNode
00000001e51511ac (__TEXT,__text) non-external (was a private external) _glpDeepCopyType
00000001e5160d34 (__TEXT,__text) non-external (was a private external) _glpDefaultStatementNodeGetIsStray
00000001e5160d3c (__TEXT,__text) non-external (was a private external) _glpDefaultStatementNodeSetIsStray
00000001e5161430 (__TEXT,__text) non-external (was a private external) _glpDerefNodeGetOffset
00000001e516143c (__TEXT,__text) non-external (was a private external) _glpDerefNodeSetOffset
00000001e514c770 (__TEXT,__text) non-external (was a private external) _glpDeserialError
00000001e5163afc (__TEXT,__text) non-external (was a private external) _glpDeserializeAST
00000001e5163f54 (__TEXT,__text) non-external (was a private external) _glpDeserializeNames
00000001e51062e0 (__TEXT,__text) non-external (was a private external) _glpDestroyCodeGenContext
00000001e5133ac0 (__TEXT,__text) non-external (was a private external) _glpDestroyCompiledShader
00000001e512a214 (__TEXT,__text) non-external (was a private external) _glpDestroyCompiler
00000001e514c250 (__TEXT,__text) non-external (was a private external) _glpDestroyDeserialContext
00000001e51028c8 (__TEXT,__text) non-external (was a private external) _glpDestroyIntHash
00000001e510b038 (__TEXT,__text) non-external (was a private external) _glpDestroyLLVMCodeGenContext
00000001e512e444 (__TEXT,__text) non-external (was a private external) _glpDestroyLayoutObject
00000001e5133514 (__TEXT,__text) non-external (was a private external) _glpDestroyLinkedProgram
00000001e5130868 (__TEXT,__text) non-external (was a private external) _glpDestroyLinker
00000001e513d8dc (__TEXT,__text) non-external (was a private external) _glpDestroyLog
00000001e513dd70 (__TEXT,__text) non-external (was a private external) _glpDestroyNameTable
00000001e51024c0 (__TEXT,__text) non-external (was a private external) _glpDestroyPointerHash
00000001e5104114 (__TEXT,__text) non-external (was a private external) _glpDestroyPoolAllocator
00000001e514b73c (__TEXT,__text) non-external (was a private external) _glpDestroySerialContext
00000001e5150d54 (__TEXT,__text) non-external (was a private external) _glpDestroyStringBuffer
00000001e510202c (__TEXT,__text) non-external (was a private external) _glpDestroyStringHash
00000001e51518dc (__TEXT,__text) non-external (was a private external) _glpDestroyType
00000001e5102cf4 (__TEXT,__text) non-external (was a private external) _glpDestroyTypedValueHash
00000001e51a458c (__TEXT,__text) non-external (was a private external) _glpDisassemble1Op
00000001e517ca64 (__TEXT,__text) non-external (was a private external) _glpDumpASTNodeToStringBuffer
00000001e5152b60 (__TEXT,__text) non-external (was a private external) _glpDumpTypeToStringBuffer
00000001e51544e4 (__TEXT,__text) non-external (was a private external) _glpDuplicateDerefOrConstant
00000001e5151d00 (__TEXT,__text) non-external (was a private external) _glpEachPrimitiveComponentOfType
00000001e514601c (__TEXT,__text) non-external (was a private external) _glpEnsureDeref
00000001e5145450 (__TEXT,__text) non-external (was a private external) _glpEnsureOffsetsExist
00000001e515e7c4 (__TEXT,__text) non-external (was a private external) _glpEqualNodeGetIsFromSource
00000001e5147e10 (__TEXT,__text) non-external (was a private external) _glpEvaluateArraySize
00000001e5147ff0 (__TEXT,__text) non-external (was a private external) _glpEvaluateTypeNode
00000001e5160788 (__TEXT,__text) non-external (was a private external) _glpExpressionStatementNodeGetExpr
00000001e5160794 (__TEXT,__text) non-external (was a private external) _glpExpressionStatementNodeSetExpr
00000001e512d76c (__TEXT,__text) non-external (was a private external) _glpExtensionAllowed
00000001e512d8d4 (__TEXT,__text) non-external (was a private external) _glpExtensionAllowedAndDefault
00000001e512d300 (__TEXT,__text) non-external (was a private external) _glpExtensionFromString
00000001e512d740 (__TEXT,__text) non-external (was a private external) _glpExtensionToString
00000001e515db3c (__TEXT,__text) non-external (was a private external) _glpFieldAccessNodeGetField
00000001e515db48 (__TEXT,__text) non-external (was a private external) _glpFieldAccessNodeGetStructure
00000001e515db54 (__TEXT,__text) non-external (was a private external) _glpFieldAccessNodeSetStructure
00000001e515fc3c (__TEXT,__text) non-external (was a private external) _glpFieldDeclarationNodeGetName
00000001e515fc48 (__TEXT,__text) non-external (was a private external) _glpFieldDeclarationNodeGetType
00000001e515fc54 (__TEXT,__text) non-external (was a private external) _glpFieldDeclarationNodeSetType
00000001e512e304 (__TEXT,__text) non-external (was a private external) _glpFinalizeParseContext
00000001e515a190 (__TEXT,__text) non-external (was a private external) _glpFinalizePreprocessor
00000001e5122f1c (__TEXT,__text) non-external _glpFindGep
00000001e512da84 (__TEXT,__text) non-external (was a private external) _glpFixInterpolateAt
00000001e5149974 (__TEXT,__text) non-external (was a private external) _glpFlattenCommaTree
00000001e51c9f40 (__TEXT,__text) external _glpFragmentStateToPPStream
00000001e51b524c (__TEXT,__text) external _glpFreePPShaderLinearize
00000001e515dcac (__TEXT,__text) non-external (was a private external) _glpFunctionCallNodeGetExtra
00000001e515dca0 (__TEXT,__text) non-external (was a private external) _glpFunctionCallNodeGetName
00000001e515dcb4 (__TEXT,__text) non-external (was a private external) _glpFunctionCallNodeSetExtra
00000001e515f960 (__TEXT,__text) non-external (was a private external) _glpFunctionDefinitionNodeGetBody
00000001e515f948 (__TEXT,__text) non-external (was a private external) _glpFunctionDefinitionNodeGetPrototype
00000001e515f96c (__TEXT,__text) non-external (was a private external) _glpFunctionDefinitionNodeSetBody
00000001e515f954 (__TEXT,__text) non-external (was a private external) _glpFunctionDefinitionNodeSetPrototype
00000001e515f1d0 (__TEXT,__text) non-external (was a private external) _glpFunctionPrototypeNodeAddParameter
00000001e515f154 (__TEXT,__text) non-external (was a private external) _glpFunctionPrototypeNodeClearParameters
00000001e515f114 (__TEXT,__text) non-external (was a private external) _glpFunctionPrototypeNodeGetExtra
00000001e515f108 (__TEXT,__text) non-external (was a private external) _glpFunctionPrototypeNodeGetName
00000001e515f1b0 (__TEXT,__text) non-external (was a private external) _glpFunctionPrototypeNodeGetParameter
00000001e515f1a8 (__TEXT,__text) non-external (was a private external) _glpFunctionPrototypeNodeGetParameterCount
00000001e515f13c (__TEXT,__text) non-external (was a private external) _glpFunctionPrototypeNodeGetReturnOutParam
00000001e515f124 (__TEXT,__text) non-external (was a private external) _glpFunctionPrototypeNodeGetReturnType
00000001e515f1d8 (__TEXT,__text) non-external (was a private external) _glpFunctionPrototypeNodeInsertParameter
00000001e515f11c (__TEXT,__text) non-external (was a private external) _glpFunctionPrototypeNodeSetExtra
00000001e515f1c0 (__TEXT,__text) non-external (was a private external) _glpFunctionPrototypeNodeSetParameter
00000001e515f148 (__TEXT,__text) non-external (was a private external) _glpFunctionPrototypeNodeSetReturnOutParam
00000001e515f130 (__TEXT,__text) non-external (was a private external) _glpFunctionPrototypeNodeSetReturnType
00000001e515186c (__TEXT,__text) non-external (was a private external) _glpFunctionTypeGetReturnType
00000001e51841c0 (__TEXT,__text) non-external _glpGLPTypeGetGLVMType
00000001e512d1cc (__TEXT,__text) non-external (was a private external) _glpGLSLVersionAllowed
00000001e512d0a8 (__TEXT,__text) non-external (was a private external) _glpGLSLVersionFromInt
00000001e512d194 (__TEXT,__text) non-external (was a private external) _glpGLSLVersionGetDefault
00000001e512d27c (__TEXT,__text) non-external (was a private external) _glpGLSLVersionRequired
00000001e512d168 (__TEXT,__text) non-external (was a private external) _glpGLSLVersionToInt
00000001e5133b74 (__TEXT,__text) non-external (was a private external) _glpGenerateCopyInOut
00000001e5154054 (__TEXT,__text) non-external (was a private external) _glpGetAccessorCount
00000001e512df08 (__TEXT,__text) non-external (was a private external) _glpGetBIArchiveData
000000021a9a191c (__DATA,__bss) non-external _glpGetBIArchiveData._anchor
00000001e51306cc (__TEXT,__text) non-external (was a private external) _glpGetCompiledShaderVersion
00000001e511baec (__TEXT,__text) non-external _glpGetComponentCount
00000001e510d458 (__TEXT,__text) non-external _glpGetConstantInt32
00000001e5122b9c (__TEXT,__text) non-external _glpGetConstantOffset
00000001e514638c (__TEXT,__text) non-external (was a private external) _glpGetDefaultPrecisionForType
00000001e51966a0 (__TEXT,__text) non-external (was a private external) _glpGetErrMsg
00000001e51924a0 (__TEXT,__text) non-external (was a private external) _glpGetFilename
00000001e512ade4 (__TEXT,__text) non-external _glpGetFrameworkConstantByIndex
00000001e512c8dc (__TEXT,__text) non-external (was a private external) _glpGetIBVariableObjectCount
00000001e51924a8 (__TEXT,__text) non-external (was a private external) _glpGetLineNumber
00000001e5146304 (__TEXT,__text) non-external (was a private external) _glpGetMostBasicPrimitiveType
00000001e511bb3c (__TEXT,__text) non-external _glpGetPConst
00000001e5151fe4 (__TEXT,__text) external _glpGetPrimitiveType
00000001e51546bc (__TEXT,__text) non-external (was a private external) _glpGetScalarAccessorCount
00000001e512cf1c (__TEXT,__text) non-external (was a private external) _glpGetStructTypeFromIBType
00000001e5124448 (__TEXT,__text) non-external _glpGetTextureSize
00000001e5126f38 (__TEXT,__text) non-external _glpGetVectorSwizzle
00000001e5140298 (__TEXT,__text) non-external (was a private external) _glpGetVectorType
00000001e51605dc (__TEXT,__text) non-external (was a private external) _glpGlobalTypeQualifierNodeGetLayout
00000001e51605ec (__TEXT,__text) non-external (was a private external) _glpGlobalTypeQualifierNodeGetQualifierList
00000001e51605e4 (__TEXT,__text) non-external (was a private external) _glpGlobalTypeQualifierNodeSetLayout
00000001e51605f8 (__TEXT,__text) non-external (was a private external) _glpGlobalTypeQualifierNodeSetQualifierList
00000001e5141d58 (__TEXT,__text) non-external (was a private external) _glpHandleArgumentConversions
00000001e51460fc (__TEXT,__text) non-external (was a private external) _glpHandleGetterSetter
00000001e5196394 (__TEXT,__text) non-external (was a private external) _glpHandlePragma
00000001e5153a30 (__TEXT,__text) non-external (was a private external) _glpHandleSideEffectsForExpr
00000001e51424cc (__TEXT,__text) non-external (was a private external) _glpHandleSpecialOperatorFunction
00000001e5148f1c (__TEXT,__text) non-external (was a private external) _glpHandleVariableRedeclaration
00000001e5161660 (__TEXT,__text) non-external (was a private external) _glpIBPartialDerefNodeGetBankIndex
00000001e5161658 (__TEXT,__text) non-external (was a private external) _glpIBPartialDerefNodeGetIb
00000001e516166c (__TEXT,__text) non-external (was a private external) _glpIBPartialDerefNodeSetBankIndex
00000001e515eb9c (__TEXT,__text) non-external (was a private external) _glpIfExprNodeGetCondition
00000001e515ebcc (__TEXT,__text) non-external (was a private external) _glpIfExprNodeGetElseExpr
00000001e515ebb4 (__TEXT,__text) non-external (was a private external) _glpIfExprNodeGetIfExpr
00000001e515eba8 (__TEXT,__text) non-external (was a private external) _glpIfExprNodeSetCondition
00000001e515ebd8 (__TEXT,__text) non-external (was a private external) _glpIfExprNodeSetElseExpr
00000001e515ebc0 (__TEXT,__text) non-external (was a private external) _glpIfExprNodeSetIfExpr
00000001e51609f8 (__TEXT,__text) non-external (was a private external) _glpIfStatementNodeGetCond
00000001e5160a28 (__TEXT,__text) non-external (was a private external) _glpIfStatementNodeGetElseStatement
00000001e5160a10 (__TEXT,__text) non-external (was a private external) _glpIfStatementNodeGetIfStatement
00000001e5160a04 (__TEXT,__text) non-external (was a private external) _glpIfStatementNodeSetCond
00000001e5160a34 (__TEXT,__text) non-external (was a private external) _glpIfStatementNodeSetElseStatement
00000001e5160a1c (__TEXT,__text) non-external (was a private external) _glpIfStatementNodeSetIfStatement
00000001e51924b0 (__TEXT,__text) non-external (was a private external) _glpIncLineNumber
00000001e514690c (__TEXT,__text) non-external (was a private external) _glpIndirectArrayElement
00000001e51468c0 (__TEXT,__text) non-external (was a private external) _glpIndirectMatrixColumn
00000001e51467b4 (__TEXT,__text) non-external (was a private external) _glpIndirectVectorElement
00000001e514c1d0 (__TEXT,__text) non-external (was a private external) _glpInitDeserialContext
00000001e512e188 (__TEXT,__text) non-external (was a private external) _glpInitParseContext
00000001e5103ef4 (__TEXT,__text) non-external (was a private external) _glpInitPoolAllocator
00000001e515a124 (__TEXT,__text) non-external (was a private external) _glpInitPreprocessor
00000001e514b6d8 (__TEXT,__text) non-external (was a private external) _glpInitSerialContext
00000001e51040e4 (__TEXT,__text) non-external (was a private external) _glpInitTempPoolAllocator
00000001e512dfc0 (__TEXT,__text) non-external (was a private external) _glpInitializeExtensionBehavior
00000001e5142c7c (__TEXT,__text) non-external (was a private external) _glpInlineFunction
00000001e5102b30 (__TEXT,__text) non-external (was a private external) _glpIntHashCache_b
