00007ffb1014a958 (__TEXT,__text) non-external +[GKBrush brush]
00007ffb1015f326 (__TEXT,__text) non-external -[UXResizableImage setLeftEdgeFill:]
00007ffb1015f370 (__TEXT,__text) non-external -[UXResizableImage setRightEdgeFill:]
00007ffb1015f2dc (__TEXT,__text) non-external -[UXResizableImage setTopEdgeFill:]
00007ffb1015f2b7 (__TEXT,__text) non-external -[UXResizableImage setTopLeftCorner:]
00007ffb1015f301 (__TEXT,__text) non-external -[UXResizableImage setTopRightCorner:]
00007ffb1015f2cb (__TEXT,__text) non-external -[UXResizableImage topEdgeFill]
00007ffb1015f2a6 (__TEXT,__text) non-external -[UXResizableImage topLeftCorner]
00007ffb1015f2f0 (__TEXT,__text) non-external -[UXResizableImage topRightCorner]
00007ffb1015e810 (__TEXT,__text) non-external -[UXResizableImage updateNinePart]
00007ffb10163029 (__TEXT,__text) non-external -[UXResizableImageView .cxx_destruct]
00007ffb10162c7a (__TEXT,__text) non-external -[UXResizableImageView _setContentStretchInPixels:forContentSize:]
00007ffb10162f10 (__TEXT,__text) non-external -[UXResizableImageView contentScaleFactor]
00007ffb10163018 (__TEXT,__text) non-external -[UXResizableImageView image]
00007ffb10162b77 (__TEXT,__text) non-external -[UXResizableImageView initWithFrame:]
00007ffb10162f60 (__TEXT,__text) non-external -[UXResizableImageView setContentScaleFactor:]
00007ffb10162e08 (__TEXT,__text) non-external -[UXResizableImageView setImage:]
00007ffb10159cc8 (__TEXT,__text) non-external -[UXViewController .cxx_destruct]
00007ffb10159960 (__TEXT,__text) non-external -[UXViewController _didBeginSheet]
00007ffb1015996c (__TEXT,__text) non-external -[UXViewController _didEndSheet]
00007ffb1015995a (__TEXT,__text) non-external -[UXViewController _willBeginSheet]
00007ffb10159966 (__TEXT,__text) non-external -[UXViewController _willEndSheet]
00007ffb10159c82 (__TEXT,__text) non-external -[UXViewController automaticallyAdjustsScrollViewInsets]
00007ffb10159547 (__TEXT,__text) non-external -[UXViewController backButtonImage]
00007ffb1015953f (__TEXT,__text) non-external -[UXViewController backButtonTitle]
00007ffb10159ca3 (__TEXT,__text) non-external -[UXViewController backgroundView]
00007ffb10159c1d (__TEXT,__text) non-external -[UXViewController initialFirstResponder]
00007ffb10159bdc (__TEXT,__text) non-external -[UXViewController navigationController]
00007ffb101594a7 (__TEXT,__text) non-external -[UXViewController navigationItem]
00007ffb10159972 (__TEXT,__text) non-external -[UXViewController presentError:]
00007ffb10159a76 (__TEXT,__text) non-external -[UXViewController presentError:modalForWindow:delegate:didPresentSelector:contextInfo:]
00007ffb10159c5b (__TEXT,__text) non-external -[UXViewController presentedViewController]
00007ffb1015978c (__TEXT,__text) non-external -[UXViewController removeBackgroundVisualEffectView]
00007ffb10159c93 (__TEXT,__text) non-external -[UXViewController setAutomaticallyAdjustsScrollViewInsets:]
00007ffb10159cb4 (__TEXT,__text) non-external -[UXViewController setBackgroundView:]
00007ffb10159c36 (__TEXT,__text) non-external -[UXViewController setInitialFirstResponder:]
00007ffb10159bf5 (__TEXT,__text) non-external -[UXViewController setNavigationController:]
00007ffb10159c09 (__TEXT,__text) non-external -[UXViewController setNavigationItem:]
00007ffb10159c71 (__TEXT,__text) non-external -[UXViewController setPresentedViewController:]
00007ffb1015941f (__TEXT,__text) non-external -[UXViewController setSubtitle:]
00007ffb1015938f (__TEXT,__text) non-external -[UXViewController setTitle:]
00007ffb1015954f (__TEXT,__text) non-external -[UXViewController standardBackButtonImage]
00007ffb10159c4a (__TEXT,__text) non-external -[UXViewController subtitle]
00007ffb10159948 (__TEXT,__text) non-external -[UXViewController viewDidAppear:]
00007ffb10159906 (__TEXT,__text) non-external -[UXViewController viewDidAppear]
00007ffb10159954 (__TEXT,__text) non-external -[UXViewController viewDidDisappear:]
00007ffb1015991a (__TEXT,__text) non-external -[UXViewController viewDidDisappear]
00007ffb10159819 (__TEXT,__text) non-external -[UXViewController viewDidLayout]
00007ffb1015962e (__TEXT,__text) non-external -[UXViewController viewDidLoad]
00007ffb10159942 (__TEXT,__text) non-external -[UXViewController viewWillAppear:]
00007ffb101598f2 (__TEXT,__text) non-external -[UXViewController viewWillAppear]
00007ffb1015994e (__TEXT,__text) non-external -[UXViewController viewWillDisappear:]
00007ffb1015992e (__TEXT,__text) non-external -[UXViewController viewWillDisappear]
00007ffb10159146 (__TEXT,__text) non-external -[UXViewController(AlertPresentation) dismissViewControllerAnimated:completion:]
00007ffb1017ae90 (__TEXT,__text) non-external -[UXViewController(AlertPresentation) dismissViewControllerAnimated:completion:].cold.1
00007ffb101590c7 (__TEXT,__text) non-external -[UXViewController(AlertPresentation) presentViewController:animated:completion:]
00007ffb1014d3e2 (__TEXT,__text) non-external -[UXViewController(GKAlerts) _gkPresentAlertForError:title:defaultMessage:]
00007ffb1014d0ba (__TEXT,__text) non-external -[UXViewController(GKAlerts) _gkPresentAlertWithTitle:message:buttonTitle:]
00007ffb1014d0cf (__TEXT,__text) non-external -[UXViewController(GKAlerts) _gkPresentAlertWithTitle:message:buttonTitle:dismissHandler:]
00007ffb1014d0f2 (__TEXT,__text) non-external -[UXViewController(GKAlerts) _gkPresentAlertWithTitle:message:buttonTitle:dismissHandler:presentationCompletionHandler:]
00007ffb1014d262 (__TEXT,__text) non-external -[UXViewController(GKAlerts) _gkPresentConfirmationAlertWithTitle:message:buttonTitle:block:cancelAction:]
00007ffb1015a1aa (__TEXT,__text) non-external -[UXViewController(GKUIThemeExtension) attachTitleToViewWithSubtitle:]
00007ffb1015aa1a (__TEXT,__text) non-external -[UXViewController(GKUIThemeExtension) attachTitleToView]
00007ffb1015a108 (__TEXT,__text) non-external -[UXViewController(GKUIThemeExtension) theme]
00007ffb1014fe40 (__TEXT,__text) non-external -[_GKAlert _alertView:buttonIndex:]
00007ffb1014ff8f (__TEXT,__text) non-external -[_GKAlert beginDialogModalForWindow:modalDelegate:didEndSelector:contextInfo:]
00007ffb1014fb4f (__TEXT,__text) non-external -[_GKAlert cancelButtonIndex]
00007ffb1014f934 (__TEXT,__text) non-external -[_GKAlert dealloc]
00007ffb1014fb57 (__TEXT,__text) non-external -[_GKAlert dismiss]
00007ffb1014f4d2 (__TEXT,__text) non-external -[_GKAlert initWithTitle:message:delegate:cancelButtonTitle:otherButtonTitles:]
00007ffb1014f8a7 (__TEXT,__text) non-external -[_GKAlert setDelegate:]
00007ffb1014faa1 (__TEXT,__text) non-external -[_GKAlert setTag:]
00007ffb1014fc4a (__TEXT,__text) non-external -[_GKAlert showInWindow:]
00007ffb1015036d (__TEXT,__text) non-external -[_GKAlert showOnWindow:]
00007ffb101503ff (__TEXT,__text) non-external -[_GKAlert show]
00007ffb1014f9fd (__TEXT,__text) non-external -[_GKAlert tag]
00007ffb10180f08 (__TEXT,__gcc_except_tab) non-external GCC_except_table13
00007ffb101811e8 (__TEXT,__gcc_except_tab) non-external GCC_except_table14
00007ffb10180fb4 (__TEXT,__gcc_except_tab) non-external GCC_except_table15
00007ffb10180d34 (__TEXT,__gcc_except_tab) non-external GCC_except_table17
00007ffb10180d4c (__TEXT,__gcc_except_tab) non-external GCC_except_table176
00007ffb10180ec0 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00007ffb10180f34 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00007ffb10180e68 (__TEXT,__gcc_except_tab) non-external GCC_except_table20
00007ffb10180fd0 (__TEXT,__gcc_except_tab) non-external GCC_except_table23
00007ffb10180f78 (__TEXT,__gcc_except_tab) non-external GCC_except_table25
00007ffb10180fec (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00007ffb10181000 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00007ffb10180e50 (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00007ffb10180ee8 (__TEXT,__gcc_except_tab) non-external GCC_except_table57
00007ffb10181010 (__TEXT,__gcc_except_tab) non-external GCC_except_table6
00007ffb10180ed0 (__TEXT,__gcc_except_tab) non-external GCC_except_table61
00007ffb10181200 (__TEXT,__gcc_except_tab) non-external GCC_except_table66
00007ffb10180f60 (__TEXT,__gcc_except_tab) non-external GCC_except_table7
00007ffb1018116c (__TEXT,__gcc_except_tab) non-external GCC_except_table7
00007ffb10180eac (__TEXT,__gcc_except_tab) non-external GCC_except_table70
00007ffb1018117c (__TEXT,__gcc_except_tab) non-external GCC_except_table9
                 (undefined) external _AKAuthenticationAlternateDSIDKey (from AuthKit)
                 (undefined) external _AKAuthenticationPasswordKey (from AuthKit)
                 (undefined) external _AKAuthenticationUsernameKey (from AuthKit)
00007ffb41e56198 (__DATA,__bss) non-external _AuthKitUILibraryCore.frameworkLibrary
00007ffb41e56220 (__DATA,__bss) non-external _AuthKitUILibraryCore.frameworkLibrary
                 (undefined) external _CATransform3DGetAffineTransform (from QuartzCore)
                 (undefined) external _CATransform3DIsIdentity (from QuartzCore)
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFAutorelease (from CoreFoundation)
                 (undefined) external _CFPreferencesAppSynchronize (from CoreFoundation)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFRunLoopGetMain (from CoreFoundation)
                 (undefined) external _CFRunLoopPerformBlock (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFStringGetCStringPtr (from CoreFoundation)
                 (undefined) external _CFStringGetCharacters (from CoreFoundation)
                 (undefined) external _CFStringGetCharactersPtr (from CoreFoundation)
                 (undefined) external _CGAffineTransformMakeScale (from CoreGraphics)
                 (undefined) external _CGBitmapContextCreate (from CoreGraphics)
                 (undefined) external _CGBitmapContextCreateImage (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetBitmapInfo (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetBytesPerRow (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetData (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetHeight (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetWidth (from CoreGraphics)
                 (undefined) external _CGBitmapGetAlignedBytesPerRow (from CoreGraphics)
                 (undefined) external _CGColorGetColorSpace (from CoreGraphics)
                 (undefined) external _CGColorGetConstantColor (from CoreGraphics)
                 (undefined) external _CGColorSpaceCreateDeviceGray (from CoreGraphics)
                 (undefined) external _CGColorSpaceCreateDeviceRGB (from CoreGraphics)
                 (undefined) external _CGColorSpaceGetModel (from CoreGraphics)
                 (undefined) external _CGColorSpaceRelease (from CoreGraphics)
                 (undefined) external _CGContextAddPath (from CoreGraphics)
                 (undefined) external _CGContextClearRect (from CoreGraphics)
                 (undefined) external _CGContextClip (from CoreGraphics)
                 (undefined) external _CGContextClipToMask (from CoreGraphics)
                 (undefined) external _CGContextConvertSizeToDeviceSpace (from CoreGraphics)
                 (undefined) external _CGContextDrawImage (from CoreGraphics)
                 (undefined) external _CGContextFillRect (from CoreGraphics)
                 (undefined) external _CGContextRelease (from CoreGraphics)
                 (undefined) external _CGContextRestoreGState (from CoreGraphics)
                 (undefined) external _CGContextSaveGState (from CoreGraphics)
                 (undefined) external _CGContextScaleCTM (from CoreGraphics)
                 (undefined) external _CGContextSetAllowsFontSubpixelPositioning (from CoreGraphics)
                 (undefined) external _CGContextSetBaseCTM (from CoreGraphics)
                 (undefined) external _CGContextSetBlendMode (from CoreGraphics)
                 (undefined) external _CGContextSetFillColorWithColor (from CoreGraphics)
                 (undefined) external _CGContextSetInterpolationQuality (from CoreGraphics)
                 (undefined) external _CGContextSetStrokeColorWithColor (from CoreGraphics)
                 (undefined) external _CGCursorIsVisible (from CoreGraphics)
                 (undefined) external _CGDataProviderCreateWithCFData (from CoreGraphics)
                 (undefined) external _CGDataProviderCreateWithData (from CoreGraphics)
                 (undefined) external _CGDataProviderRelease (from CoreGraphics)
                 (undefined) external _CGGradientCreateWithColors (from CoreGraphics)
                 (undefined) external _CGImageCreate (from CoreGraphics)
                 (undefined) external _CGImageCreateWithImageInRect (from CoreGraphics)
                 (undefined) external _CGImageGetHeight (from CoreGraphics)
                 (undefined) external _CGImageGetWidth (from CoreGraphics)
                 (undefined) external _CGImageMaskCreate (from CoreGraphics)
                 (undefined) external _CGImageRelease (from CoreGraphics)
                 (undefined) external _CGImageSourceCreateImageAtIndex (from ImageIO)
                 (undefined) external _CGImageSourceCreateWithData (from ImageIO)
                 (undefined) external _CGPathAddCurveToPoint (from CoreGraphics)
                 (undefined) external _CGPathAddLineToPoint (from CoreGraphics)
                 (undefined) external _CGPathCloseSubpath (from CoreGraphics)
                 (undefined) external _CGPathCreateCopy (from CoreGraphics)
                 (undefined) external _CGPathCreateMutable (from CoreGraphics)
                 (undefined) external _CGPathMoveToPoint (from CoreGraphics)
                 (undefined) external _CGPathRelease (from CoreGraphics)
                 (undefined) external _CGPointZero (from CoreGraphics)
                 (undefined) external _CGRectGetHeight (from CoreGraphics)
                 (undefined) external _CGRectGetMaxY (from CoreGraphics)
                 (undefined) external _CGRectGetWidth (from CoreGraphics)
                 (undefined) external _CGRectInset (from CoreGraphics)
                 (undefined) external _CGRectZero (from CoreGraphics)
                 (undefined) external _CGSizeZero (from CoreGraphics)
                 (undefined) external _GKActiveLogBits (from GameCenterFoundation)
                 (undefined) external _GKAuthorizeAccountURLKey (from GameCenterFoundation)
                 (undefined) external _GKChangePasswordURLKey (from GameCenterFoundation)
00007ffb1013411c (__TEXT,__text) external _GKCurrentMedusaMode
                 (undefined) external _GKDefaultIForgotURL (from GameCenterFoundation)
                 (undefined) external _GKEditAccountURLKey (from GameCenterFoundation)
                 (undefined) weak external _GKErrorDomain (from GameCenterFoundation)
                 (undefined) external _GKGameCenterIdentifier (from GameCenterFoundation)
                 (undefined) external _GKGameCenterUICoreFrameworkBundle (from GameCenterFoundation)
                 (undefined) external _GKGameCenterUIFrameworkBundle (from GameCenterFoundation)
                 (undefined) external _GKGetLocalizedStringFromTableInBundle (from GameCenterFoundation)
                 (undefined) external _GKGetProtocolVersionString (from GameCenterFoundation)
                 (undefined) external _GKGroupActivityEligibilityChanges (from GameCenterFoundation)
00007ffb101340e7 (__TEXT,__text) external _GKHostUsesXRUIIdiom
                 (undefined) external _GKIForgotURLKey (from GameCenterFoundation)
                 (undefined) external _GKImageCacheRoot (from GameCenterFoundation)
00007ffb1013d408 (__TEXT,__text) non-external _GKImageContextCGDataProviderReleaseDataCallback
00007ffb101340ef (__TEXT,__text) external _GKIsAvatarEditingSupported
00007ffb41e561a0 (__DATA,__bss) non-external _GKIsAvatarEditingSupported.onceToken
00007ffb1015221d (__TEXT,__text) external _GKIsVoiceoverEnabled
00007ffb41e562e8 (__DATA,__bss) non-external _GKIsVoiceoverEnabled.onceToken
00007ffb41e562e0 (__DATA,__bss) non-external _GKIsVoiceoverEnabled.voiceOverOn
00007ffb101340d9 (__TEXT,__text) external _GKIsXRUIIdiom
                 (undefined) external _GKOSLogInit (from GameCenterFoundation)
                 (undefined) external _GKPlayerAuthenticationDidChangeNotificationName (from GameCenterFoundation)
                 (undefined) external _GKPlayerDidAuthenticateNewPlayerIDKey (from GameCenterFoundation)
                 (undefined) external _GKPlayerDidAuthenticateOldPlayerIDKey (from GameCenterFoundation)
                 (undefined) external _GKPlayerIDHashAddKey (from GameCenterFoundation)
                 (undefined) external _GKPlayerIDHashModKey (from GameCenterFoundation)
00007ffb10154ab7 (__TEXT,__text) external _GKRectDivideYIntoThreeConsumingMiddle
00007ffb10154a81 (__TEXT,__text) external _GKRectEnforceMinimumHeight
00007ffb101549ce (__TEXT,__text) external _GKRectsCenterXInRect
00007ffb1015490a (__TEXT,__text) external _GKRectsCenterYInRect
                 (undefined) external _GKReportProblemURLKey (from GameCenterFoundation)
00007ffb101340e1 (__TEXT,__text) external _GKSetHostUserInterfaceIdiom
