00000001a241afc8 (__TEXT,__text) non-external +[AMFI isAvailable]
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_retainBlock (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
00000001a241a728 (__TEXT,__text) external _opaqueSignCode
00000001a241de98 (__TEXT,__text) non-external _opaqueSignCode.cold.1
00000001a241def4 (__TEXT,__text) non-external _opaqueSignCode.cold.2
00000001a241df38 (__TEXT,__text) non-external _opaqueSignCode.cold.3
00000001a241df94 (__TEXT,__text) non-external _opaqueSignCode.cold.4
00000001a241dff0 (__TEXT,__text) non-external _opaqueSignCode.cold.5
                 (undefined) external _open (from libSystem)
                 (undefined) external _os_log_create (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_signpost_id_generate (from libSystem)
                 (undefined) external _os_variant_is_darwinos (from libSystem)
                 (undefined) external _read (from libSystem)
00000001d97480b0 (__DATA,__data) external _sSystemPolicySubsystem
00000001d97482a0 (__DATA,__bss) non-external _sVerboseLogging
00000001a240d808 (__TEXT,__text) external _scanForBundledKernelExtensions
00000001a240d33c (__TEXT,__text) external _scanForBundles
00000001a240d764 (__TEXT,__text) external _scanForKernelExtensions
00000001a2413c6c (__TEXT,__text) external _shouldFilterOutScanTarget
00000001d9748290 (__DATA,__bss) non-external _signposts.sLog
00000001d9748288 (__DATA,__bss) non-external _signposts.sLogInit
                 (undefined) external _stat (from libSystem)
                 (undefined) external _statfs (from libSystem)
                 (undefined) external _strerror (from libSystem)
00000001a240a5c0 (__TEXT,__text) non-external _stringHasAnyPrefix
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00000001a240cea4 (__TEXT,__text) external _systemUptime
00000001a241c70c (__TEXT,__text) non-external _systemUptime.cold.1
                 (undefined) external _time (from libSystem)
00000001a240ede8 (__TEXT,__text) non-external _timestampForURL
00000001a241cd1c (__TEXT,__text) non-external _timestampForURL.cold.1
00000001a24136d0 (__TEXT,__text) external _urlLooksLikeBundle
00000001d9748298 (__DATA,__bss) non-external _verboseLoggingEnabled.sOnceToken
