00007ffb0789f0c7 (__TEXT,__text) non-external +[GKBrush brush]
00007ffb078a245c (__TEXT,__text) non-external -[NSApplication(GKAdditions_UIKit) _gkOpenURL:]
00007ffb0788eb52 (__TEXT,__text) non-external -[NSAttributedString(GKTextStyle) _gkAttributedStringWithStyle:selected:]
00007ffb078a65ad (__TEXT,__text) non-external -[NSBezierPath(GKAdditions) CGPath]
00007ffb078a6554 (__TEXT,__text) non-external -[NSButton(GKAdditions) setImage:forState:]
00007ffb078a6497 (__TEXT,__text) non-external -[NSButton(GKAdditions) setTitle:forState:]
00007ffb078a6542 (__TEXT,__text) non-external -[NSButton(GKAdditions) setUserInteractionEnabled:]
00007ffb078a64f0 (__TEXT,__text) non-external -[NSButton(GKAdditions) titleForState:]
00007ffb078a6530 (__TEXT,__text) non-external -[NSButton(GKAdditions) userInteractionEnabled]
00007ffb078c8d87 (__TEXT,__text) non-external -[NSButton(GKConfigForNavbar) _gkConfigForNavbar]
00007ffb078c96ee (__TEXT,__text) non-external -[NSButton(GKMButtonHack) initWithButtonKind:]
00007ffb078c9720 (__TEXT,__text) non-external -[NSButton(GKMButtonHack) initWithButtonKind:theme:]
00007ffb078c9752 (__TEXT,__text) non-external -[NSButton(GKMButtonHack) setButtonKind:]
00007ffb0789e999 (__TEXT,__text) non-external -[NSColor(GKColorAdditions) _gkLuminance]
00007ffb078a61a0 (__TEXT,__text) non-external -[NSControl(GKAdditions_UIKit) isSelected]
00007ffb078a61fa (__TEXT,__text) non-external -[NSControl(GKAdditions_UIKit) removeTarget]
00007ffb078a6184 (__TEXT,__text) non-external -[NSControl(GKAdditions_UIKit) setSelected:]
00007ffb078a61bd (__TEXT,__text) non-external -[NSControl(GKAdditions_UIKit) setTarget:action:]
00007ffb078b545d (__TEXT,__text) non-external -[NSImage(DrawStretched) _gkDrawStretchedInRect:alpha:]
00007ffb0788fba2 (__TEXT,__text) non-external -[NSImage(GKAdditions) _gkImageByAddingAlpha]
00007ffb0788fee8 (__TEXT,__text) non-external -[NSImage(GKAdditions) _gkImageByAppyingCornerRadius:]
00007ffb0788f5d0 (__TEXT,__text) non-external -[NSImage(GKAdditions) _gkImageByScalingAndCroppingToSize:scale:]
00007ffb0788fb53 (__TEXT,__text) non-external -[NSImage(GKAdditions) _gkImageByScalingToSize:]
00007ffb0788fb3f (__TEXT,__text) non-external -[NSImage(GKAdditions) _gkImageByScalingToSize:scale:]
00007ffb0788f891 (__TEXT,__text) non-external -[NSImage(GKAdditions) _gkImageByScalingToSize:scale:padColor:]
00007ffb078900a9 (__TEXT,__text) non-external -[NSImage(GKAdditions) _gkImageByTintingWithColor:]
00007ffb078a5112 (__TEXT,__text) non-external -[NSImage(GKAdditions_UIKit) CGImage]
00007ffb078a597b (__TEXT,__text) non-external -[NSImage(GKAdditions_UIKit) _gkContentStretchInPixels]
00007ffb078a593c (__TEXT,__text) non-external -[NSImage(GKAdditions_UIKit) _gkDrawAtPoint:]
00007ffb078a58a8 (__TEXT,__text) non-external -[NSImage(GKAdditions_UIKit) _gkResizableImageWithCapInsets:]
00007ffb078a58f2 (__TEXT,__text) non-external -[NSImage(GKAdditions_UIKit) _gkStretchableImageWithLeftCapWidth:topCapHeight:]
00007ffb078a5439 (__TEXT,__text) non-external -[NSImage(GKAdditions_UIKit) imageOrientation]
00007ffb078a5414 (__TEXT,__text) non-external -[NSImage(GKAdditions_UIKit) imageWithRenderingMode:]
00007ffb078a532b (__TEXT,__text) non-external -[NSImage(GKAdditions_UIKit) initWithCGImage:scale:orientation:]
00007ffb078a50a0 (__TEXT,__text) non-external -[NSImage(GKAdditions_UIKit) scale]
00007ffb07891378 (__TEXT,__text) non-external -[NSImage(GKTransferFunction) _gkReadAtSize:ARGBHostEndianBytes:]
00007ffb078c9758 (__TEXT,__text) non-external -[NSImage(MinorAdditions) alignmentRectInsets]
00007ffb078c97c8 (__TEXT,__text) non-external -[NSImage(MinorAdditions) setAlignmentRectInsets:]
00007ffb078a59b8 (__TEXT,__text) non-external -[NSImageView(GKAdditions_UIKit) initWithImage:]
00007ffb078a6173 (__TEXT,__text) non-external -[NSResponder(GKAdditions_UIKit) _gkCanPerformAction:withSender:]
00007ffb078a5038 (__TEXT,__text) non-external -[NSScreen(GKAdditions_UIKit) bounds]
00007ffb078a5026 (__TEXT,__text) non-external -[NSScreen(GKAdditions_UIKit) scale]
00007ffb078a3a75 (__TEXT,__text) non-external -[NSString(GKAdditions_UIKit) _gkDrawAtPoint:withFont:]
00007ffb078a3b3c (__TEXT,__text) non-external -[NSString(GKAdditions_UIKit) _gkIsNaturallyRTL]
00007ffb078a39fb (__TEXT,__text) non-external -[NSString(GKAdditions_UIKit) _gkSizeWithFont:]
00007ffb0788dbce (__TEXT,__text) non-external -[NSString(GKTextStyle) _gkAttributedStringByApplyingStyle:]
00007ffb0788dc5d (__TEXT,__text) non-external -[NSString(GKTextStyle) _gkAttributedStringByApplyingStylesForTags:untaggedStyle:]
00007ffb078a6250 (__TEXT,__text) non-external -[NSTextField(GKAdditions) attributedText]
00007ffb078a62ca (__TEXT,__text) non-external -[NSTextField(GKAdditions) numberOfLines]
00007ffb078a642b (__TEXT,__text) non-external -[NSTextField(GKAdditions) placeholder]
00007ffb078a6262 (__TEXT,__text) non-external -[NSTextField(GKAdditions) setAttributedText:]
00007ffb078a6379 (__TEXT,__text) non-external -[NSTextField(GKAdditions) setNumberOfLines:]
00007ffb078a643d (__TEXT,__text) non-external -[NSTextField(GKAdditions) setPlaceholder:]
00007ffb078a6286 (__TEXT,__text) non-external -[NSTextField(GKAdditions) setText:]
00007ffb078a62b8 (__TEXT,__text) non-external -[NSTextField(GKAdditions) setTextAlignment:]
00007ffb078a62a6 (__TEXT,__text) non-external -[NSTextField(GKAdditions) textAlignment]
00007ffb078a6274 (__TEXT,__text) non-external -[NSTextField(GKAdditions) text]
00007ffb078a623e (__TEXT,__text) non-external -[NSTextView(GKAdditions) setText:]
00007ffb078a622c (__TEXT,__text) non-external -[NSTextView(GKAdditions) text]
00007ffb078a5d28 (__TEXT,__text) non-external -[NSValue(GKAdditions_UIKit) _gkCGPointValue]
00007ffb078a5cfd (__TEXT,__text) non-external -[NSValue(GKAdditions_UIKit) _gkCGSizeValue]
00007ffb078a25ca (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) _autoresizingDescription]
00007ffb078a29ae (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) _gkDescriptionCuzNSViewDescriptionIzLame]
00007ffb078a32e3 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) _gkDescriptionWithChildren:]
00007ffb078a3521 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) _gkRecursiveDescription]
00007ffb078a272e (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) _gkValueDescription]
00007ffb078a3581 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) alpha]
00007ffb078a35a5 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) center]
00007ffb078a3960 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) contentCompressionResistancePriorityForAxis:]
00007ffb078a393c (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) contentHuggingPriorityForAxis:]
00007ffb078a36cd (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) insertSubview:atIndex:]
00007ffb078a3984 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) isFocused]
00007ffb078a38a7 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) layoutIfNeeded]
00007ffb078a38a1 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) layoutSubviews]
00007ffb078a398c (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) preferredFocusEnvironments]
00007ffb078a39ec (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) preferredFocusedView]
00007ffb078a3593 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setAlpha:]
00007ffb078a3626 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setCenter:]
00007ffb078a3972 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setContentCompressionResistancePriority:forAxis:]
00007ffb078a394e (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setContentHuggingPriority:forAxis:]
00007ffb078a388a (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setNeedsDisplay]
00007ffb078a39f5 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setNeedsFocusUpdate]
00007ffb078a38b9 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setNeedsLayout]
00007ffb078a36b6 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setNeedsUpdateConstraints]
00007ffb078a3535 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setOpaque:]
00007ffb078a392a (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setSize:]
00007ffb078a36a8 (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) setTintColor:]
00007ffb078a38cb (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) sizeThatFits:]
00007ffb078a38fa (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) size]
00007ffb078a36ae (__TEXT,__text) non-external -[NSView(GKAdditions_UIKit) tintColor]
00007ffb078aff11 (__TEXT,__text) non-external -[NSView(UXViewController) _uxAttachToViewController:]
00007ffb078afb71 (__TEXT,__text) non-external -[NSView(UXViewController) _uxAttachToViewController:withDropShadow:]
00007ffb078b08d4 (__TEXT,__text) non-external -[NSViewController(GKAdditions) _gkForceNextContentUpdate]
00007ffb078b13e1 (__TEXT,__text) non-external -[NSViewController(GKAdditions) _gkRefreshContentsForDataType:userInfo:]
00007ffb078b08c2 (__TEXT,__text) non-external -[NSViewController(GKAdditions) _gkResetContents]
00007ffb078b0ab5 (__TEXT,__text) non-external -[NSViewController(GKAdditions) _gkSetContentsNeedUpdateWithHandler:]
00007ffb078b13e7 (__TEXT,__text) non-external -[NSViewController(GKAdditions) _gkShouldRefreshContentsForDataType:userInfo:]
00007ffb078b08ac (__TEXT,__text) non-external -[NSViewController(GKAdditions) _gkUpdateContentsWithCompletionHandlerAndError:]
00007ffb078a2475 (__TEXT,__text) non-external -[NSViewController(GKAdditions_UIKit) preferredFocusEnvironments]
00007ffb078a253c (__TEXT,__text) non-external -[NSViewController(GKAdditions_UIKit) preferredFocusedView]
00007ffb078a254e (__TEXT,__text) non-external -[NSViewController(GKAdditions_UIKit) setNeedsFocusUpdate]
00007ffb078a1f23 (__TEXT,__text) non-external -[NSViewController(GKRestrictionAlerts) _gkInGameUIUnavailableAlertWithRestrictionMode:dismissHandler:]
00007ffb07897cb5 (__TEXT,__text) non-external -[SortHueEntry count]
00007ffb07897c44 (__TEXT,__text) non-external -[SortHueEntry description]
00007ffb07897ca1 (__TEXT,__text) non-external -[SortHueEntry hue]
00007ffb07897bd3 (__TEXT,__text) non-external -[SortHueEntry initWithHue:count:]
00007ffb07897cbf (__TEXT,__text) non-external -[SortHueEntry setCount:]
00007ffb07897cab (__TEXT,__text) non-external -[SortHueEntry setHue:]
00007ffb078ae55c (__TEXT,__text) non-external -[UXAlertAction .cxx_destruct]
00007ffb078ae4fd (__TEXT,__text) non-external -[UXAlertAction copyWithZone:]
00007ffb078ae539 (__TEXT,__text) non-external -[UXAlertAction handler]
00007ffb078ae4c5 (__TEXT,__text) non-external -[UXAlertAction init]
00007ffb078ae526 (__TEXT,__text) non-external -[UXAlertAction isEnabled]
00007ffb078ae530 (__TEXT,__text) non-external -[UXAlertAction setEnabled:]
00007ffb078ae54d (__TEXT,__text) non-external -[UXAlertAction setHandler:]
00007ffb078ae51c (__TEXT,__text) non-external -[UXAlertAction style]
00007ffb078ae508 (__TEXT,__text) non-external -[UXAlertAction title]
00007ffb078aeeb4 (__TEXT,__text) non-external -[UXAlertController .cxx_destruct]
00007ffb078aeca9 (__TEXT,__text) non-external -[UXAlertController _gkExecuteActionForReturnCode:]
00007ffb078aebf1 (__TEXT,__text) non-external -[UXAlertController _gkPresentInWindow:]
00007ffb078aeada (__TEXT,__text) non-external -[UXAlertController _gkPresentYourself]
00007ffb078aee8d (__TEXT,__text) non-external -[UXAlertController accessoryView]
00007ffb078aee07 (__TEXT,__text) non-external -[UXAlertController actions]
00007ffb078ae623 (__TEXT,__text) non-external -[UXAlertController addAction:]
00007ffb078ae730 (__TEXT,__text) non-external -[UXAlertController addTextFieldWithConfigurationHandler:]
00007ffb078aee66 (__TEXT,__text) non-external -[UXAlertController alert]
00007ffb078ae7ad (__TEXT,__text) non-external -[UXAlertController createAlert]
00007ffb078aede0 (__TEXT,__text) non-external -[UXAlertController message]
00007ffb078aee55 (__TEXT,__text) non-external -[UXAlertController preferredStyle]
00007ffb078aeea3 (__TEXT,__text) non-external -[UXAlertController setAccessoryView:]
00007ffb078aee1d (__TEXT,__text) non-external -[UXAlertController setActions:]
00007ffb078aee7c (__TEXT,__text) non-external -[UXAlertController setAlert:]
00007ffb078aedf6 (__TEXT,__text) non-external -[UXAlertController setMessage:]
00007ffb078aee44 (__TEXT,__text) non-external -[UXAlertController setTextFields:]
00007ffb078aee2e (__TEXT,__text) non-external -[UXAlertController textFields]
00007ffb078a1e70 (__TEXT,__text) non-external -[UXAlertController(GKAlerts) _gkAddCancelButtonWithNoAction]
00007ffb078b8a77 (__TEXT,__text) non-external -[UXNavigationBar .cxx_destruct]
00007ffb078b82e2 (__TEXT,__text) non-external -[UXNavigationBar _invalidateConstraints]
00007ffb078b892a (__TEXT,__text) non-external -[UXNavigationBar backgroundView]
00007ffb078b6019 (__TEXT,__text) non-external -[UXNavigationBar currentInnerLeftBarButtonView]
00007ffb078b643a (__TEXT,__text) non-external -[UXNavigationBar currentInnerRightBarButtonView]
00007ffb078b5dfe (__TEXT,__text) non-external -[UXNavigationBar currentLeftBarButtonView]
00007ffb078b621f (__TEXT,__text) non-external -[UXNavigationBar currentRightBarButtonView]
00007ffb078b670a (__TEXT,__text) non-external -[UXNavigationBar currentSpinnerEnabled]
00007ffb078b6625 (__TEXT,__text) non-external -[UXNavigationBar currentTitleView]
00007ffb078b89a9 (__TEXT,__text) non-external -[UXNavigationBar customNavBarHeight]
00007ffb078b5626 (__TEXT,__text) non-external -[UXNavigationBar dealloc]
00007ffb078b581e (__TEXT,__text) non-external -[UXNavigationBar defaultItem]
00007ffb078b8a31 (__TEXT,__text) non-external -[UXNavigationBar didSetupObservers]
00007ffb078b8a52 (__TEXT,__text) non-external -[UXNavigationBar effectView]
00007ffb078b5cf2 (__TEXT,__text) non-external -[UXNavigationBar emptyCenterView]
00007ffb078b5aa3 (__TEXT,__text) non-external -[UXNavigationBar emptyInnerLeftView]
00007ffb078b5c2d (__TEXT,__text) non-external -[UXNavigationBar emptyInnerRightView]
00007ffb078b59de (__TEXT,__text) non-external -[UXNavigationBar emptyLeftView]
00007ffb078b5b68 (__TEXT,__text) non-external -[UXNavigationBar emptyRightView]
00007ffb078b88d4 (__TEXT,__text) non-external -[UXNavigationBar items]
00007ffb078b8588 (__TEXT,__text) non-external -[UXNavigationBar observeValueForKeyPath:ofObject:change:context:]
00007ffb078b7f7b (__TEXT,__text) non-external -[UXNavigationBar popNavigationItemAnimated:]
00007ffb078cf57a (__TEXT,__text) non-external -[UXNavigationBar popNavigationItemAnimated:].cold.1
00007ffb078b81ed (__TEXT,__text) non-external -[UXNavigationBar popToNavigationItem:animated:]
00007ffb078b8977 (__TEXT,__text) non-external -[UXNavigationBar prefersLargeTitles]
00007ffb078b7e62 (__TEXT,__text) non-external -[UXNavigationBar pushNavigationItem:animated:]
00007ffb078b893b (__TEXT,__text) non-external -[UXNavigationBar setBackgroundView:]
00007ffb078b89bb (__TEXT,__text) non-external -[UXNavigationBar setCustomNavBarHeight:]
00007ffb078b894f (__TEXT,__text) non-external -[UXNavigationBar setDefaultItem:]
00007ffb078b8a42 (__TEXT,__text) non-external -[UXNavigationBar setDidSetupObservers:]
00007ffb078b8a63 (__TEXT,__text) non-external -[UXNavigationBar setEffectView:]
00007ffb078b8a1d (__TEXT,__text) non-external -[UXNavigationBar setEmptyCenterView:]
00007ffb078b8a09 (__TEXT,__text) non-external -[UXNavigationBar setEmptyInnerLeftView:]
00007ffb078b89e1 (__TEXT,__text) non-external -[UXNavigationBar setEmptyInnerRightView:]
00007ffb078b89f5 (__TEXT,__text) non-external -[UXNavigationBar setEmptyLeftView:]
00007ffb078b89cd (__TEXT,__text) non-external -[UXNavigationBar setEmptyRightView:]
00007ffb078b88e5 (__TEXT,__text) non-external -[UXNavigationBar setItems:]
00007ffb078b8988 (__TEXT,__text) non-external -[UXNavigationBar setPrefersLargeTitles:]
00007ffb078b8963 (__TEXT,__text) non-external -[UXNavigationBar setSpinner:]
00007ffb078b891a (__TEXT,__text) non-external -[UXNavigationBar setStyle:]
00007ffb078b88f6 (__TEXT,__text) non-external -[UXNavigationBar setTopItem:]
00007ffb078b8463 (__TEXT,__text) non-external -[UXNavigationBar setTranslucent:]
00007ffb078b54d5 (__TEXT,__text) non-external -[UXNavigationBar setupObservers]
00007ffb078b585f (__TEXT,__text) non-external -[UXNavigationBar spinner]
00007ffb078b890a (__TEXT,__text) non-external -[UXNavigationBar style]
00007ffb078b5768 (__TEXT,__text) non-external -[UXNavigationBar topItem]
00007ffb078b8998 (__TEXT,__text) non-external -[UXNavigationBar translucent]
00007ffb078b674f (__TEXT,__text) non-external -[UXNavigationBar updateConstraints]
00007ffb078b8542 (__TEXT,__text) non-external -[UXNavigationBar viewDidMoveToSuperview]
00007ffb078bd509 (__TEXT,__text) non-external -[UXNavigationController .cxx_destruct]
00007ffb078bc7f6 (__TEXT,__text) non-external -[UXNavigationController _didBeginSheet]
00007ffb078bca82 (__TEXT,__text) non-external -[UXNavigationController _didEndSheet]
00007ffb078bd18b (__TEXT,__text) non-external -[UXNavigationController _gkForceNextContentUpdate]
00007ffb078bd2af (__TEXT,__text) non-external -[UXNavigationController _gkRefreshContentsForDataType:userInfo:]
00007ffb078bd07e (__TEXT,__text) non-external -[UXNavigationController _gkResetContents]
00007ffb078bcc78 (__TEXT,__text) non-external -[UXNavigationController _gkSetContentsNeedUpdateWithHandler:]
00007ffb078bd327 (__TEXT,__text) non-external -[UXNavigationController _gkShouldRefreshContentsForDataType:userInfo:]
00007ffb078bd15c (__TEXT,__text) non-external -[UXNavigationController _gkUpdateContentsWithCompletionHandlerAndError:]
00007ffb078bc6b0 (__TEXT,__text) non-external -[UXNavigationController _willBeginSheet]
00007ffb078bc93c (__TEXT,__text) non-external -[UXNavigationController _willEndSheet]
00007ffb078b9b50 (__TEXT,__text) non-external -[UXNavigationController addViewController:withHorizontalOffset:verticalOffset:]
00007ffb078cf5c7 (__TEXT,__text) non-external -[UXNavigationController addViewController:withHorizontalOffset:verticalOffset:].cold.1
00007ffb078bd400 (__TEXT,__text) non-external -[UXNavigationController animationCleanupBlock]
00007ffb078bd427 (__TEXT,__text) non-external -[UXNavigationController animationCleanupTimer]
00007ffb078b911c (__TEXT,__text) non-external -[UXNavigationController awakeFromNib]
00007ffb078bcbc8 (__TEXT,__text) non-external -[UXNavigationController backButtonPressed:]
00007ffb078bd482 (__TEXT,__text) non-external -[UXNavigationController backButton]
