00007ffa1ed925fc (__TEXT,__text) non-external +[Cube initialize]
00007ffa1eb4089a (__TEXT,__text) non-external -[MPAuthoringController(Beats) beatsForAudioPlaylist:withOptions:]
00007ffa1eb4100c (__TEXT,__text) non-external -[MPAuthoringController(Beats) createBeatsThreaded:]
00007ffa1eb40ced (__TEXT,__text) non-external -[MPAuthoringController(Beats) findClosestBeatForTime:inBeats:atIndex:]
00007ffa1eb40eff (__TEXT,__text) non-external -[MPAuthoringController(Beats) indexOfBeatWithTimestamp:inBeats:inRange:]
00007ffa1eb413b0 (__TEXT,__text) non-external -[MPAuthoringController(Clustering) cleanupClusters]
00007ffa1eb413c9 (__TEXT,__text) non-external -[MPAuthoringController(Clustering) findUsableClustersForUserDefinedSlideOrderPresentation:inClusters:]
00007ffa1eb41244 (__TEXT,__text) non-external -[MPAuthoringController(Clustering) setupClustersWithPaths:withOptions:]
00007ffa1eb28d1e (__TEXT,__text) non-external -[MPAuthoringController(Internal) _collectVersionInformationFromStyle:]
00007ffa1eb4069f (__TEXT,__text) non-external -[MPAuthoringController(Internal) _upgradedStringWithString:andOriginalDefaultAttributes:andCurrentEffectID:andCurrentPresetID:]
00007ffa1eb29c35 (__TEXT,__text) non-external -[MPAuthoringController(Internal) authorPlacesWithImages:forLayerGroup:inDocument:withOptions:]
00007ffa1eb28cd9 (__TEXT,__text) non-external -[MPAuthoringController(Internal) authoredDocument]
00007ffa1eb3423d (__TEXT,__text) non-external -[MPAuthoringController(Internal) beatAlignEffectContainers:toBeats:withOptions:]
00007ffa1eb31623 (__TEXT,__text) non-external -[MPAuthoringController(Internal) beatAlignLayer:toBeats:withOptions:]
00007ffa1eb2d03b (__TEXT,__text) non-external -[MPAuthoringController(Internal) bestCountFromClusterForEffectWithImages:atStartIndex:withWeighter:usedIndex:]
00007ffa1eb29e52 (__TEXT,__text) non-external -[MPAuthoringController(Internal) cacheROIInformationForImages:withOptions:]
00007ffa1eb31530 (__TEXT,__text) non-external -[MPAuthoringController(Internal) checkForOffsetsForLayers:withOptions:]
00007ffa1eb282cb (__TEXT,__text) non-external -[MPAuthoringController(Internal) cleanup:]
00007ffa1eb282b4 (__TEXT,__text) non-external -[MPAuthoringController(Internal) cleanup]
00007ffa1eb28366 (__TEXT,__text) non-external -[MPAuthoringController(Internal) clearROICache]
00007ffa1eb35bc9 (__TEXT,__text) non-external -[MPAuthoringController(Internal) configureFiltersInDocument:withOptions:]
00007ffa1eb2838d (__TEXT,__text) non-external -[MPAuthoringController(Internal) configureIntroInDocument:withOptions:]
00007ffa1eb28760 (__TEXT,__text) non-external -[MPAuthoringController(Internal) configureOutroInDocument:withOptions:]
00007ffa1eb3fc27 (__TEXT,__text) non-external -[MPAuthoringController(Internal) configurePanoramaInformationToEffect:inDocument:startingIndex:count:removeOldIndex:]
00007ffa1eb362c2 (__TEXT,__text) non-external -[MPAuthoringController(Internal) configureTransitionsInDocument:withOptions:]
00007ffa1eb3d907 (__TEXT,__text) non-external -[MPAuthoringController(Internal) createAudioPlayListFromAudioPaths:andOptions:]
00007ffa1eb3b073 (__TEXT,__text) non-external -[MPAuthoringController(Internal) createEffectToTransitionMapWithOptions:]
00007ffa1eb368d3 (__TEXT,__text) non-external -[MPAuthoringController(Internal) createLayerWithImages:effects:andOptions:]
00007ffa1eb2f22d (__TEXT,__text) non-external -[MPAuthoringController(Internal) determineIfSlideDisplayesForTheWholeDurationForEffect:presetID:atIndex:inStyleID:]
00007ffa1eb36f1e (__TEXT,__text) non-external -[MPAuthoringController(Internal) dynamicLayerWithImages:withOptions:]
00007ffa1eb377c5 (__TEXT,__text) non-external -[MPAuthoringController(Internal) effectAuthoredLayerWithImages:withOptions:]
00007ffa1eb388a3 (__TEXT,__text) non-external -[MPAuthoringController(Internal) effectContainersWithImages:effects:andOptions:]
00007ffa1eb2a8d4 (__TEXT,__text) non-external -[MPAuthoringController(Internal) effectsForImages:withOptions:]
00007ffa1eb3b37b (__TEXT,__text) non-external -[MPAuthoringController(Internal) exportTransitionFromOptions:]
00007ffa1eb3120f (__TEXT,__text) non-external -[MPAuthoringController(Internal) fillDurationsForLayers:withOptions:]
00007ffa1eb3d4f2 (__TEXT,__text) non-external -[MPAuthoringController(Internal) filtersForEffectFromOptions:]
00007ffa1eb3d2c7 (__TEXT,__text) non-external -[MPAuthoringController(Internal) filtersForLayerFromOptions:]
00007ffa1eb3d6e6 (__TEXT,__text) non-external -[MPAuthoringController(Internal) filtersForSlideFromOptions:]
00007ffa1eb2d229 (__TEXT,__text) non-external -[MPAuthoringController(Internal) findEffectIDInPresetArray:forImages:withOptions:]
00007ffa1eb2ed13 (__TEXT,__text) non-external -[MPAuthoringController(Internal) findEffectIDInWeighter:images:startingIndex:count:triesToFind:constraints:previousTags:]
00007ffa1eb3d827 (__TEXT,__text) non-external -[MPAuthoringController(Internal) frameFromOptions:]
00007ffa1eb2cf7b (__TEXT,__text) non-external -[MPAuthoringController(Internal) imagesHaveMovie:start:count:]
00007ffa1eb28ccf (__TEXT,__text) non-external -[MPAuthoringController(Internal) isAuthoring]
00007ffa1eb3b2b1 (__TEXT,__text) non-external -[MPAuthoringController(Internal) loopTransitionFromOptions:]
00007ffa1eb30d82 (__TEXT,__text) non-external -[MPAuthoringController(Internal) matchDurationsForLayers:withOptions:]
00007ffa1eb3543c (__TEXT,__text) non-external -[MPAuthoringController(Internal) maximumDurationForLayer:inDocument:withOptions:]
00007ffa1eb34e21 (__TEXT,__text) non-external -[MPAuthoringController(Internal) minimumDurationForLayer:inDocument:withOptions:]
00007ffa1eb295a0 (__TEXT,__text) non-external -[MPAuthoringController(Internal) orderImages:withOptions:]
00007ffa1eb3f4c2 (__TEXT,__text) non-external -[MPAuthoringController(Internal) performInitialFaceDetectionInGroup:withOptions:]
00007ffa1eb3dae6 (__TEXT,__text) non-external -[MPAuthoringController(Internal) pickRandomPathsInArray:excludingPaths:count:]
00007ffa1eb2d5bd (__TEXT,__text) non-external -[MPAuthoringController(Internal) populateWeighter:withEffects:andOptions:]
00007ffa1eb2e8cc (__TEXT,__text) non-external -[MPAuthoringController(Internal) populateWeighter:withTransitions:andOptions:]
00007ffa1eb2f9af (__TEXT,__text) non-external -[MPAuthoringController(Internal) scaleDurationsInEffectContainers:withOptions:]
00007ffa1eb2f75a (__TEXT,__text) non-external -[MPAuthoringController(Internal) scaleDurationsInLayer:withMutableOptions:]
00007ffa1eb2f5ae (__TEXT,__text) non-external -[MPAuthoringController(Internal) scaleDurationsInLayer:withOptions:]
00007ffa1eb3316b (__TEXT,__text) non-external -[MPAuthoringController(Internal) scaleLayerToMatchAudio:withBeats:withOptions:]
00007ffa1eb31968 (__TEXT,__text) non-external -[MPAuthoringController(Internal) scaleLayerToMatchAudio:withOptions:]
00007ffa1eb28ce3 (__TEXT,__text) non-external -[MPAuthoringController(Internal) setAuthoredDocument:]
00007ffa1eb2886d (__TEXT,__text) non-external -[MPAuthoringController(Internal) setTitleTextToColor:forLayerGroup:inDocument:withOptions:]
00007ffa1eb28816 (__TEXT,__text) non-external -[MPAuthoringController(Internal) setTitleTextToColor:inDocument:withOptions:]
00007ffa1eb29272 (__TEXT,__text) non-external -[MPAuthoringController(Internal) shuffleImagesByRating:withOptions:]
00007ffa1eb36a97 (__TEXT,__text) non-external -[MPAuthoringController(Internal) slidesWithImages:andOptions:]
00007ffa1eb3b403 (__TEXT,__text) non-external -[MPAuthoringController(Internal) sortImagePaths:toAspectRatiosInEffectPresetID:withOptions:]
00007ffa1eb373af (__TEXT,__text) non-external -[MPAuthoringController(Internal) titleEffectsForImages:withOptions:]
00007ffa1eb3dc8e (__TEXT,__text) non-external -[MPAuthoringController(Internal) transitionFromOptions:firstEffectContainer:nextEffectContainer:]
00007ffa1eb419a1 (__TEXT,__text) non-external -[MPAuthoringController(Logging) finishLogging]
00007ffa1eb417d9 (__TEXT,__text) non-external -[MPAuthoringController(Logging) startLogging]
00007ffa1eb47a08 (__TEXT,__text) non-external -[MPAuthoringController(Manipulation) addStyledCaptionToSlide:inDocument:withOptions:]
00007ffa1eb495ff (__TEXT,__text) non-external -[MPAuthoringController(Manipulation) combineSlides:inDocument:withOptions:]
00007ffa1eb43842 (__TEXT,__text) non-external -[MPAuthoringController(Manipulation) insertVideoPaths:atIndex:inDocument:withOptions:]
00007ffa1eb42fd8 (__TEXT,__text) non-external -[MPAuthoringController(Manipulation) moveSlidesFromIndicies:toIndex:inDocument:withOptions:]
00007ffa1eb44faa (__TEXT,__text) non-external -[MPAuthoringController(Manipulation) removeSlidesAtIndicies:inDocument:withOptions:]
00007ffa1eb488b9 (__TEXT,__text) non-external -[MPAuthoringController(Manipulation) removeStyledCaptionFromSlide:inDocument:withOptions:]
00007ffa1eb4b791 (__TEXT,__text) non-external -[MPAuthoringController(Manipulation_Internal) _addVideoPaths:toEndOfLayer:inDocument:withOptions:]
00007ffa1eb4c076 (__TEXT,__text) non-external -[MPAuthoringController(Manipulation_Internal) _checkForEmptyLayersInDocument:]
00007ffa1eb4c2cb (__TEXT,__text) non-external -[MPAuthoringController(Manipulation_Internal) _countOfEmptyContainersInIntroOfLayer:withOptions:]
00007ffa1eb4bce5 (__TEXT,__text) non-external -[MPAuthoringController(Manipulation_Internal) _grabAndRemoveTitleEffectFromDocument:withOptions:]
00007ffa1eb4c15d (__TEXT,__text) non-external -[MPAuthoringController(Manipulation_Internal) _numberOfSlidesForOutroInLayer:withOptions:]
00007ffa1eb4bfba (__TEXT,__text) non-external -[MPAuthoringController(Manipulation_Internal) _readdTitleEffect:toDocument:withOptions:]
00007ffa1eb4a42c (__TEXT,__text) non-external -[MPAuthoringController(Manipulation_Internal) _reorderImagesInDocument:withOptions:]
00007ffa1eb49951 (__TEXT,__text) non-external -[MPAuthoringController(Manipulation_Internal) combineEffectsNearSlide:inDocument:withOptions:]
00007ffa1eb5c4db (__TEXT,__text) non-external -[MPAuthoringController(Places) recreateMapsInDocument:]
00007ffa1eb5c1e8 (__TEXT,__text) non-external -[MPAuthoringController(Places) removeAllMapsInDocument:]
00007ffa1eb4c45a (__TEXT,__text) non-external -[MPAuthoringController(PlacesInternal) _createMapsWithImages:withOptions:]
00007ffa1eb4f027 (__TEXT,__text) non-external -[MPAuthoringController(PlacesInternal) _gatherLocationInfoForMaps:]
00007ffa1eb4fd0b (__TEXT,__text) non-external -[MPAuthoringController(PlacesInternal) _mapsSortedByCity:hasCities:]
00007ffa1eb50eaa (__TEXT,__text) non-external -[MPAuthoringController(PlacesInternal) _mapsSortedByState:]
00007ffa1eb5b803 (__TEXT,__text) non-external -[MPAuthoringController(PlacesInternal) _placeEffectContainersForPhotos:options:]
00007ffa1eb51d0c (__TEXT,__text) non-external -[MPAuthoringController(PlacesInternal) _renameMapsAndPins:withOptions:]
00007ffa1eb4f820 (__TEXT,__text) non-external -[MPAuthoringController(PlacesInternal) _tryAndCollapseMaps:]
00007ffa1eb54d52 (__TEXT,__text) non-external -[MPAuthoringController(PlacesInternal) createLayersForPlacesForImages:forDocument:withOptions:]
00007ffa1eb5a7ee (__TEXT,__text) non-external -[MPAuthoringController(PlacesInternal) mapTypeForPoint0:point1:point2:map:flight:]
00007ffa1eb5a644 (__TEXT,__text) non-external -[MPAuthoringController(PlacesInternal) rect:intersectsRects:index:]
00007ffa1eb5ac34 (__TEXT,__text) non-external -[MPAuthoringController(PlacesInternal) scaleDurationsInPlacesForDocument:withOptions:]
00007ffa1eb5aba1 (__TEXT,__text) non-external -[MPAuthoringController(PlacesInternal) tileSetForMap1:map2:needsWater:]
00007ffa1eb60ed2 (__TEXT,__text) non-external -[MPCluster addSlide:]
00007ffa1eb60f1e (__TEXT,__text) non-external -[MPCluster allSlidesSortedByUser]
00007ffa1eb60f45 (__TEXT,__text) non-external -[MPCluster allSlidesSortedChronologically]
00007ffa1eb60f14 (__TEXT,__text) non-external -[MPCluster allSlides]
00007ffa1eb60f3d (__TEXT,__text) non-external -[MPCluster clusterContainsSlideAtPath:]
00007ffa1eb60e6e (__TEXT,__text) non-external -[MPCluster dealloc]
00007ffa1eb61831 (__TEXT,__text) non-external -[MPCluster description]
00007ffa1eb6160c (__TEXT,__text) non-external -[MPCluster detailedDescription]
00007ffa1eb60e1b (__TEXT,__text) non-external -[MPCluster init]
00007ffa1eb618b1 (__TEXT,__text) non-external -[MPCluster items]
00007ffa1eb618d4 (__TEXT,__text) non-external -[MPCluster name]
00007ffa1eb618f7 (__TEXT,__text) non-external -[MPCluster rating]
00007ffa1eb60ee8 (__TEXT,__text) non-external -[MPCluster removeAllSlides]
00007ffa1eb6130e (__TEXT,__text) non-external -[MPCluster resetAllUsageCounters]
00007ffa1eb618c5 (__TEXT,__text) non-external -[MPCluster setItems:]
00007ffa1eb618e8 (__TEXT,__text) non-external -[MPCluster setName:]
00007ffa1eb61902 (__TEXT,__text) non-external -[MPCluster setRating:]
00007ffa1eb60f7c (__TEXT,__text) non-external -[MPCluster setUsageCountForLayer:to:]
00007ffa1eb61921 (__TEXT,__text) non-external -[MPCluster setUsageCounterPerLayer:]
00007ffa1eb60efe (__TEXT,__text) non-external -[MPCluster slideCount]
00007ffa1eb61426 (__TEXT,__text) non-external -[MPCluster usageCountDescription]
00007ffa1eb6112e (__TEXT,__text) non-external -[MPCluster usageCountForLayer:]
00007ffa1eb6190d (__TEXT,__text) non-external -[MPCluster usageCounterPerLayer]
00007ffa1eb623b3 (__TEXT,__text) non-external -[MPClusterController addKeywords:forSlide:]
00007ffa1eb64935 (__TEXT,__text) non-external -[MPClusterController addPaths:toUserDefinedCluster:]
00007ffa1eb620bd (__TEXT,__text) non-external -[MPClusterController addSlideForPath:withIndex:]
00007ffa1eb6265a (__TEXT,__text) non-external -[MPClusterController allSlidesSortedByPaths:]
00007ffa1eb62623 (__TEXT,__text) non-external -[MPClusterController allSlidesSortedByUsage]
00007ffa1eb629f4 (__TEXT,__text) non-external -[MPClusterController allSlidesSortedChronologically]
00007ffa1eb625f7 (__TEXT,__text) non-external -[MPClusterController allSlides]
00007ffa1eb62a65 (__TEXT,__text) non-external -[MPClusterController clusterSlidesSortedByUserDefinedSortOrder:userDefinedSlideOrder:]
00007ffa1eb62a2b (__TEXT,__text) non-external -[MPClusterController clusterSlidesSortedChronologically:]
00007ffa1eb62bf3 (__TEXT,__text) non-external -[MPClusterController clustersBasedOnOrderedPaths:]
00007ffa1eb64bc1 (__TEXT,__text) non-external -[MPClusterController createLocationClustersForPaths:]
00007ffa1eb646c8 (__TEXT,__text) non-external -[MPClusterController dayOfYearClusterForAssetAtPath:]
00007ffa1eb643b3 (__TEXT,__text) non-external -[MPClusterController dayOfYearClusters]
00007ffa1eb61da6 (__TEXT,__text) non-external -[MPClusterController dealloc]
00007ffa1eb68580 (__TEXT,__text) non-external -[MPClusterController dumpClustersStatistics]
00007ffa1eb6a3de (__TEXT,__text) non-external -[MPClusterController dumpSlidesStatistics]
00007ffa1eb63656 (__TEXT,__text) non-external -[MPClusterController findBestChronologicalCluster:startingWithSlide:]
00007ffa1eb6333e (__TEXT,__text) non-external -[MPClusterController findBestCluster:]
00007ffa1eb6349d (__TEXT,__text) non-external -[MPClusterController findBestCluster:withMaxEffectSize:idealEffectSize:]
00007ffa1eb6386e (__TEXT,__text) non-external -[MPClusterController findBestClusterBasedOnUserDefinedSlideOrder:startingWithSlide:]
00007ffa1eb631ba (__TEXT,__text) non-external -[MPClusterController flushClusters]
00007ffa1eb61f2f (__TEXT,__text) non-external -[MPClusterController flush]
00007ffa1eb6473f (__TEXT,__text) non-external -[MPClusterController hourOfYearClusterForAssetAtPath:]
00007ffa1eb643e9 (__TEXT,__text) non-external -[MPClusterController hourOfYearClusters]
00007ffa1eb61c97 (__TEXT,__text) non-external -[MPClusterController init]
00007ffa1eb644c1 (__TEXT,__text) non-external -[MPClusterController keywordClusters]
00007ffa1eb644f7 (__TEXT,__text) non-external -[MPClusterController locationClusters]
00007ffa1eb647b6 (__TEXT,__text) non-external -[MPClusterController minuteOfYearClusterForAssetAtPath:]
00007ffa1eb6441f (__TEXT,__text) non-external -[MPClusterController minuteOfYearClusters]
00007ffa1eb645da (__TEXT,__text) non-external -[MPClusterController monthClusterForAssetAtPath:]
00007ffa1eb64347 (__TEXT,__text) non-external -[MPClusterController monthClusters]
00007ffa1eb64651 (__TEXT,__text) non-external -[MPClusterController monthOfYearClusterForAssetAtPath:]
00007ffa1eb6437d (__TEXT,__text) non-external -[MPClusterController monthOfYearClusters]
00007ffa1eb627d5 (__TEXT,__text) non-external -[MPClusterController nextLeastUsedSlides:forLayer:markAsUsed:]
00007ffa1eb6503c (__TEXT,__text) non-external -[MPClusterController orderedAndPrioritizedSlideClusters]
00007ffa1eb652cb (__TEXT,__text) non-external -[MPClusterController prioritizedSlideClustersDictionary]
00007ffa1eb63aa9 (__TEXT,__text) non-external -[MPClusterController removeAllSingleSlideClusters]
00007ffa1eb630a7 (__TEXT,__text) non-external -[MPClusterController resetAllUsageCounters]
00007ffa1eb648b1 (__TEXT,__text) non-external -[MPClusterController roundedFifteenMinuteOfYearClusterForAssetAtPath:]
00007ffa1eb6448b (__TEXT,__text) non-external -[MPClusterController roundedFifteenMinuteOfYearClusters]
00007ffa1eb6482d (__TEXT,__text) non-external -[MPClusterController roundedFiveMinuteOfYearClusterForAssetAtPath:]
00007ffa1eb64455 (__TEXT,__text) non-external -[MPClusterController roundedFiveMinuteOfYearClusters]
00007ffa1eb620b3 (__TEXT,__text) non-external -[MPClusterController setAuthoredDocument:]
00007ffa1eb6260d (__TEXT,__text) non-external -[MPClusterController slideForPath:]
00007ffa1eb62aa0 (__TEXT,__text) non-external -[MPClusterController sortClusterSlidesChronologically:]
00007ffa1eb642fb (__TEXT,__text) non-external -[MPClusterController updateAllSlidesClusterWithSlide:]
00007ffa1eb668de (__TEXT,__text) non-external -[MPClusterController updateClusterRatings]
00007ffa1eb63e3a (__TEXT,__text) non-external -[MPClusterController updateDayOfYearClustersWithDate:ofSlide:]
00007ffa1eb63f29 (__TEXT,__text) non-external -[MPClusterController updateHourOfYearClustersWithDate:ofSlide:]
00007ffa1eb64018 (__TEXT,__text) non-external -[MPClusterController updateMinuteOfYearClustersWithDate:ofSlide:]
00007ffa1eb63c5c (__TEXT,__text) non-external -[MPClusterController updateMonthClustersWithDate:ofSlide:]
00007ffa1eb63d4b (__TEXT,__text) non-external -[MPClusterController updateMonthOfYearClustersWithDate:ofSlide:]
00007ffa1eb6729f (__TEXT,__text) non-external -[MPClusterController updateRatingsForDayOfYearClusters]
00007ffa1eb67591 (__TEXT,__text) non-external -[MPClusterController updateRatingsForHourOfYearClusters]
00007ffa1eb68173 (__TEXT,__text) non-external -[MPClusterController updateRatingsForKeywordClusters]
00007ffa1eb6828e (__TEXT,__text) non-external -[MPClusterController updateRatingsForLocationClusters]
00007ffa1eb6789d (__TEXT,__text) non-external -[MPClusterController updateRatingsForMinuteOfYearClusters]
00007ffa1eb66cbb (__TEXT,__text) non-external -[MPClusterController updateRatingsForMonthClusters]
00007ffa1eb66fad (__TEXT,__text) non-external -[MPClusterController updateRatingsForMonthOfYearClusters]
00007ffa1eb67e81 (__TEXT,__text) non-external -[MPClusterController updateRatingsForRoundedFifteenMinuteOfYearClusters]
00007ffa1eb67b8f (__TEXT,__text) non-external -[MPClusterController updateRatingsForRoundedFiveMinuteOfYearClusters]
00007ffa1eb66981 (__TEXT,__text) non-external -[MPClusterController updateRatingsForYearClusters]
00007ffa1eb64201 (__TEXT,__text) non-external -[MPClusterController updateRoundedFifteenMinuteOfYearClustersWithDate:ofSlide:]
