00000001d71fa898 (__DATA,__data) non-external _C
000000018b52eb4c (__TEXT,__text) external _wscanf
000000018b52eba8 (__TEXT,__text) external _wscanf_l
00000001d71fc080 (__DATA,__bss) non-external _wtmp_asl.0
00000001d71fc088 (__DATA,__bss) non-external _wtmp_asl.1
00000001d71fc090 (__DATA,__bss) non-external _wtmp_asl.2
00000001d71fc098 (__DATA,__bss) non-external _wtmp_asl.5
00000001d71fc0a0 (__DATA,__bss) non-external _wtmp_asl.6
00000001d71fa890 (__DATA,__data) non-external _wtmp_file.0
00000001d71fc048 (__DATA,__bss) non-external _wtmp_file.1
00000001d71fc050 (__DATA,__bss) non-external _wtmp_file.2
00000001d71fc058 (__DATA,__bss) non-external _wtmp_file.3
00000001d71fc060 (__DATA,__bss) non-external _wtmp_file.4
00000001d71fc068 (__DATA,__bss) non-external _wtmp_file.5
00000001d71fc070 (__DATA,__bss) non-external _wtmp_file.6
00000001d71fc078 (__DATA,__bss) non-external _wtmp_file.7
00000001d71fc040 (__DATA,__bss) non-external _wtmp_func.0
00000001d9d41168 (__AUTH,__data) non-external _wtmp_func.1
00000001d9d41170 (__AUTH,__data) non-external _wtmp_func.2
00000001d9d41178 (__AUTH,__data) non-external _wtmp_func.3
000000018b4ff50c (__TEXT,__text) external _wtmpxname
000000018b504d7c (__TEXT,__text) external _xprintf
00000001d71fc0e8 (__DATA,__bss) non-external _xprintf_domain_default
000000018b5055b0 (__TEXT,__text) external _xprintf_exec
000000018b54ad64 (__TEXT,__const) non-external _year_lengths
00000001d71fbab0 (__DATA,__bss) non-external _zapchar
000000018b54aba7 (__TEXT,__const) non-external _zeroes
000000018b54ac98 (__TEXT,__const) non-external _zeroes
00000001d71fac4c (__DATA,__data) non-external _zeroes
