00000001db33d14c (__TEXT,__text) non-external +[Cube initialize]
00000001db323590 (__TEXT,__text) non-external -[MREffectDateline _updateSlideProviders:context:renderArguments:]
00000001db32572c (__TEXT,__text) non-external -[MREffectDateline _weatherStringForCondition:]
00000001db32cb98 (__TEXT,__text) non-external -[MREffectDateline beginMorphingToAspectRatio:withDuration:]
00000001db32307c (__TEXT,__text) non-external -[MREffectDateline displayTimeForSlideAtIndex:]
00000001db32323c (__TEXT,__text) non-external -[MREffectDateline displayTimeForTextAtIndex:]
00000001db32c31c (__TEXT,__text) non-external -[MREffectDateline elementHitAtPoint:withInverseMatrix:localPoint:]
00000001db32cd98 (__TEXT,__text) non-external -[MREffectDateline endMorphing]
00000001db32e440 (__TEXT,__text) non-external -[MREffectDateline getLazyDuration:lazyFactor:animationDuration:fromInterestingTime:]
00000001db32c4a0 (__TEXT,__text) non-external -[MREffectDateline getVerticesCoordinates:withMatrix:forElement:]
00000001db32de90 (__TEXT,__text) non-external -[MREffectDateline hasMoreSlidesFromTime:backwards:startTime:duration:]
00000001db321718 (__TEXT,__text) non-external -[MREffectDateline initWithEffectID:]
00000001db32e1fc (__TEXT,__text) non-external -[MREffectDateline interestingTimeForElement:]
00000001db32dfe0 (__TEXT,__text) non-external -[MREffectDateline interestingTimeForTime:]
00000001db323244 (__TEXT,__text) non-external -[MREffectDateline isLoadedForTime:]
00000001db323074 (__TEXT,__text) non-external -[MREffectDateline lowestDisplayTime]
00000001db3243a4 (__TEXT,__text) non-external -[MREffectDateline prerenderForTime:inContext:withArguments:]
00000001db326048 (__TEXT,__text) non-external -[MREffectDateline renderAtTime:inContext:withArguments:]
00000001db3234f4 (__TEXT,__text) non-external -[MREffectDateline setAttributes:]
00000001db3220cc (__TEXT,__text) non-external -[MREffectDateline setPixelSize:]
00000001db322ef8 (__TEXT,__text) non-external -[MREffectDateline showDurationForSlideAtIndex:]
00000001db322e1c (__TEXT,__text) non-external -[MREffectDateline showTimeForSlideAtIndex:]
00000001db32e64c (__TEXT,__text) non-external -[MREffectDateline supportsChapters]
00000001db32e654 (__TEXT,__text) non-external -[MREffectDateline timeForNextChapterAfterTime:]
00000001db32e6c8 (__TEXT,__text) non-external -[MREffectDateline timeForPreviousChapterBeforeTime:]
00000001db32e750 (__TEXT,__text) non-external -[MREffectDateline(MRLoadable) _loadForTime:inContext:withArguments:]
00000001db32ea80 (__TEXT,__text) non-external -[MREffectDateline(MRLoadable) _maxLinesForTextElement:]
00000001db32ea68 (__TEXT,__text) non-external -[MREffectDateline(MRLoadable) _maxSizeForTextElement:]
00000001db32ea88 (__TEXT,__text) non-external -[MREffectDateline(MRLoadable) _unload]
00000001db351484 (__TEXT,__text) non-external -[MREffectDotProgress isNative3D]
00000001db35148c (__TEXT,__text) non-external -[MREffectDotProgress prerenderForTime:inContext:withArguments:]
00000001db351494 (__TEXT,__text) non-external -[MREffectDotProgress renderAtTime:inContext:withArguments:]
00000001db3513d8 (__TEXT,__text) non-external -[MREffectDotProgress setAttributes:]
00000001db30d654 (__TEXT,__text) non-external -[MREffectFilmStrip _cleanup]
00000001db30d804 (__TEXT,__text) non-external -[MREffectFilmStrip elementHitAtPoint:withInverseMatrix:localPoint:]
00000001db30d988 (__TEXT,__text) non-external -[MREffectFilmStrip getVerticesCoordinates:withMatrix:forElement:]
00000001db30d5f0 (__TEXT,__text) non-external -[MREffectFilmStrip initWithEffectID:]
00000001db30d688 (__TEXT,__text) non-external -[MREffectFilmStrip renderAtTime:inContext:withArguments:]
00000001db30d9e8 (__TEXT,__text) non-external -[MREffectFilmStrip(MRLoadable) _unload]
00000001db2f7048 (__TEXT,__text) non-external -[MREffectFlipup _applySizeScripts:]
00000001db2f69d8 (__TEXT,__text) non-external -[MREffectFlipup _applyTimingToSlideProviders]
00000001db2f6d04 (__TEXT,__text) non-external -[MREffectFlipup _aspectRatioForSlideIndex:]
00000001db2f62a0 (__TEXT,__text) non-external -[MREffectFlipup _cleanup]
00000001db2f6590 (__TEXT,__text) non-external -[MREffectFlipup _durationForEffect:]
00000001db2f6824 (__TEXT,__text) non-external -[MREffectFlipup _isMovieForSlideAtIndex:slideInformation:]
00000001db2f76c4 (__TEXT,__text) non-external -[MREffectFlipup _iterationForTime:]
00000001db2f68d8 (__TEXT,__text) non-external -[MREffectFlipup _movieDurationForSlideAtIndex:slideInformation:]
00000001db2f6608 (__TEXT,__text) non-external -[MREffectFlipup _setupForSlideInformation:aspectRatio:]
00000001db2f7690 (__TEXT,__text) non-external -[MREffectFlipup _startTimeForIteration:]
00000001db2f6c3c (__TEXT,__text) non-external -[MREffectFlipup displayTimeForSlideAtIndex:]
00000001db2f6cdc (__TEXT,__text) non-external -[MREffectFlipup displayTimeForTextAtIndex:]
00000001db2f8bb0 (__TEXT,__text) non-external -[MREffectFlipup elementHitAtPoint:withInverseMatrix:localPoint:]
00000001db2f8d94 (__TEXT,__text) non-external -[MREffectFlipup getCurrentCenter:scale:rotation:isMain:forElement:]
00000001db2f90c8 (__TEXT,__text) non-external -[MREffectFlipup getLazyDuration:lazyFactor:animationDuration:fromInterestingTime:]
00000001db2f8d34 (__TEXT,__text) non-external -[MREffectFlipup getVerticesCoordinates:withMatrix:forElement:]
00000001db2f8e60 (__TEXT,__text) non-external -[MREffectFlipup hasMoreSlidesFromTime:backwards:startTime:duration:]
00000001db2f617c (__TEXT,__text) non-external -[MREffectFlipup initWithEffectID:]
00000001db2f904c (__TEXT,__text) non-external -[MREffectFlipup interestingTimeForElement:]
00000001db2f8fb4 (__TEXT,__text) non-external -[MREffectFlipup interestingTimeForTime:]
00000001db2f75d4 (__TEXT,__text) non-external -[MREffectFlipup isLoadedForTime:]
00000001db2f7254 (__TEXT,__text) non-external -[MREffectFlipup loadPositions]
00000001db2f6cfc (__TEXT,__text) non-external -[MREffectFlipup lowestDisplayTime]
00000001db2f6dc4 (__TEXT,__text) non-external -[MREffectFlipup prerenderForTime:inContext:withArguments:]
00000001db2f6438 (__TEXT,__text) non-external -[MREffectFlipup releaseByEffectLayer:]
00000001db2f77ac (__TEXT,__text) non-external -[MREffectFlipup renderAtTime:inContext:withArguments:]
00000001db2f6324 (__TEXT,__text) non-external -[MREffectFlipup setAttributes:]
00000001db2f698c (__TEXT,__text) non-external -[MREffectFlipup setPhaseInDuration:mainDuration:phaseOutDuration:]
00000001db2f63c0 (__TEXT,__text) non-external -[MREffectFlipup setPixelSize:]
00000001db2f6b80 (__TEXT,__text) non-external -[MREffectFlipup showDurationForSlideAtIndex:]
00000001db2f6b0c (__TEXT,__text) non-external -[MREffectFlipup showTimeForSlideAtIndex:]
00000001db2f9288 (__TEXT,__text) non-external -[MREffectFlipup(MRLoadable) _loadForTime:inContext:withArguments:]
00000001db2f9518 (__TEXT,__text) non-external -[MREffectFlipup(MRLoadable) _maxLinesForTextElement:]
00000001db2f94f4 (__TEXT,__text) non-external -[MREffectFlipup(MRLoadable) _maxSizeForTextElement:]
00000001db2f9594 (__TEXT,__text) non-external -[MREffectFlipup(MRLoadable) _unload]
00000001db23057c (__TEXT,__text) non-external -[MREffectFlipupBackground _cleanup]
00000001db2304bc (__TEXT,__text) non-external -[MREffectFlipupBackground initWithEffectID:]
00000001db230624 (__TEXT,__text) non-external -[MREffectFlipupBackground isLoadedForTime:]
00000001db230634 (__TEXT,__text) non-external -[MREffectFlipupBackground prerenderForTime:inContext:withArguments:]
00000001db2306ec (__TEXT,__text) non-external -[MREffectFlipupBackground renderAtTime:inContext:withArguments:]
00000001db2306b4 (__TEXT,__text) non-external -[MREffectFlipupBackground setAttributes:]
00000001db2305b8 (__TEXT,__text) non-external -[MREffectFlipupBackground setPixelSize:]
00000001db2307b4 (__TEXT,__text) non-external -[MREffectFlipupBackground(MRLoadable) _unload]
00000001db32fa64 (__TEXT,__text) non-external -[MREffectFloating _applySizeScript]
00000001db32fd88 (__TEXT,__text) non-external -[MREffectFloating _applyTimingToSlideProviders]
00000001db3300c8 (__TEXT,__text) non-external -[MREffectFloating _bestTimeInfoFor:time:start:end:]
00000001db32f344 (__TEXT,__text) non-external -[MREffectFloating _cleanup]
00000001db32f760 (__TEXT,__text) non-external -[MREffectFloating _mainDurationForImageCount:]
00000001db330734 (__TEXT,__text) non-external -[MREffectFloating _orderImages]
00000001db331c44 (__TEXT,__text) non-external -[MREffectFloating _rotationForRelative:directionFactor:]
00000001db331b88 (__TEXT,__text) non-external -[MREffectFloating _zTranslationForRelativeTime:]
00000001db32f9c8 (__TEXT,__text) non-external -[MREffectFloating appendSlideInformation:andTextInformation:]
00000001db3306e4 (__TEXT,__text) non-external -[MREffectFloating displayTimeForSlideAtIndex:]
00000001db33072c (__TEXT,__text) non-external -[MREffectFloating displayTimeForTextAtIndex:]
00000001db32f43c (__TEXT,__text) non-external -[MREffectFloating firstSlideIndexStillNeededAtTime:]
00000001db32f27c (__TEXT,__text) non-external -[MREffectFloating initWithEffectID:]
00000001db32f70c (__TEXT,__text) non-external -[MREffectFloating isOpaque]
00000001db3306c0 (__TEXT,__text) non-external -[MREffectFloating lowestDisplayTime]
00000001db32f9b8 (__TEXT,__text) non-external -[MREffectFloating needsMoreSlidesAtTime:]
00000001db3308fc (__TEXT,__text) non-external -[MREffectFloating prerenderForTime:inContext:withArguments:]
00000001db330a60 (__TEXT,__text) non-external -[MREffectFloating renderAtTime:inContext:withArguments:]
00000001db32f7b0 (__TEXT,__text) non-external -[MREffectFloating setMultiImageSlideRange:]
00000001db32fa2c (__TEXT,__text) non-external -[MREffectFloating setPhaseInDuration:mainDuration:phaseOutDuration:]
00000001db32f714 (__TEXT,__text) non-external -[MREffectFloating setPixelSize:]
00000001db331cbc (__TEXT,__text) non-external -[MREffectFloating setTotalImages:]
00000001db3304b8 (__TEXT,__text) non-external -[MREffectFloating showDurationForSlideAtIndex:]
00000001db3302e8 (__TEXT,__text) non-external -[MREffectFloating showTimeForSlideAtIndex:]
00000001db32f3f0 (__TEXT,__text) non-external -[MREffectFloating supportsDynamicExpansion]
00000001db331cac (__TEXT,__text) non-external -[MREffectFloating totalImages]
00000001db32f3f8 (__TEXT,__text) non-external -[MREffectFloating typicalSlideBatchSize]
00000001db331ccc (__TEXT,__text) non-external -[MREffectFloating(MRLoadable) _unload]
00000001db33aa78 (__TEXT,__text) non-external -[MREffectFramedMap _currentRect]
00000001db33aec8 (__TEXT,__text) non-external -[MREffectFramedMap _fetchMapTile:]
00000001db33aab0 (__TEXT,__text) non-external -[MREffectFramedMap _mapScale]
00000001db33aaa0 (__TEXT,__text) non-external -[MREffectFramedMap _setZoom:]
00000001db33a988 (__TEXT,__text) non-external -[MREffectFramedMap _unload]
00000001db33a8dc (__TEXT,__text) non-external -[MREffectFramedMap cleanup]
00000001db33b330 (__TEXT,__text) non-external -[MREffectFramedMap elementHitAtPoint:withInverseMatrix:localPoint:]
00000001db33b33c (__TEXT,__text) non-external -[MREffectFramedMap getVerticesCoordinates:withMatrix:forElement:]
00000001db33a834 (__TEXT,__text) non-external -[MREffectFramedMap initWithEffectID:]
00000001db33a97c (__TEXT,__text) non-external -[MREffectFramedMap isLoadedForTime:]
00000001db33aa70 (__TEXT,__text) non-external -[MREffectFramedMap isNative3D]
00000001db33a984 (__TEXT,__text) non-external -[MREffectFramedMap loadForTime:inContext:withArguments:now:]
00000001db33aadc (__TEXT,__text) non-external -[MREffectFramedMap prerenderForTime:inContext:withArguments:]
00000001db33b1a4 (__TEXT,__text) non-external -[MREffectFramedMap renderAtTime:inContext:withArguments:]
00000001db33aa14 (__TEXT,__text) non-external -[MREffectFramedMap setPixelSize:]
00000001db33b42c (__TEXT,__text) non-external -[MREffectFramedMap(GestureSupport) pzrCancel:]
00000001db33b418 (__TEXT,__text) non-external -[MREffectFramedMap(GestureSupport) pzrEnd:]
00000001db33b344 (__TEXT,__text) non-external -[MREffectFramedMap(GestureSupport) pzrStart:]
00000001db33b380 (__TEXT,__text) non-external -[MREffectFramedMap(GestureSupport) pzrUpdate:]
00000001db31e390 (__TEXT,__text) non-external -[MREffectFramedSlide _cleanup]
00000001db31ed10 (__TEXT,__text) non-external -[MREffectFramedSlide _renderImage:withFrame:atTime:inContext:withArguments:]
00000001db31effc (__TEXT,__text) non-external -[MREffectFramedSlide elementHitAtPoint:withInverseMatrix:localPoint:]
00000001db31f030 (__TEXT,__text) non-external -[MREffectFramedSlide getVerticesCoordinates:withMatrix:forElement:]
00000001db31e32c (__TEXT,__text) non-external -[MREffectFramedSlide init]
00000001db31e908 (__TEXT,__text) non-external -[MREffectFramedSlide isNative3D]
00000001db31e910 (__TEXT,__text) non-external -[MREffectFramedSlide isOpaque]
00000001db31e918 (__TEXT,__text) non-external -[MREffectFramedSlide prerenderForTime:inContext:withArguments:]
00000001db31ea7c (__TEXT,__text) non-external -[MREffectFramedSlide renderAtTime:inContext:withArguments:]
00000001db31e3c4 (__TEXT,__text) non-external -[MREffectFramedSlide setAttributes:]
00000001db31e884 (__TEXT,__text) non-external -[MREffectFramedSlide setLiveAttributes:]
00000001db31f1e4 (__TEXT,__text) non-external -[MREffectFramedText _cleanup]
00000001db320434 (__TEXT,__text) non-external -[MREffectFramedText elementHitAtPoint:withInverseMatrix:localPoint:]
00000001db320468 (__TEXT,__text) non-external -[MREffectFramedText getVerticesCoordinates:withMatrix:forElement:]
00000001db31f17c (__TEXT,__text) non-external -[MREffectFramedText init]
00000001db31f61c (__TEXT,__text) non-external -[MREffectFramedText isLoadedForTime:]
00000001db31f690 (__TEXT,__text) non-external -[MREffectFramedText isNative3D]
00000001db31f698 (__TEXT,__text) non-external -[MREffectFramedText isOpaque]
00000001db31f6a0 (__TEXT,__text) non-external -[MREffectFramedText prerenderForTime:inContext:withArguments:]
00000001db31f73c (__TEXT,__text) non-external -[MREffectFramedText renderAtTime:inContext:withArguments:]
00000001db31f254 (__TEXT,__text) non-external -[MREffectFramedText setAttributes:]
00000001db320a24 (__TEXT,__text) non-external -[MREffectFramedText(GestureSupport) pzrCancel:]
00000001db320a10 (__TEXT,__text) non-external -[MREffectFramedText(GestureSupport) pzrEnd:]
00000001db3209b8 (__TEXT,__text) non-external -[MREffectFramedText(GestureSupport) pzrStart:]
00000001db3209dc (__TEXT,__text) non-external -[MREffectFramedText(GestureSupport) pzrUpdate:]
00000001db3204e0 (__TEXT,__text) non-external -[MREffectFramedText(MRLoadable) _loadForTime:inContext:withArguments:]
00000001db320880 (__TEXT,__text) non-external -[MREffectFramedText(MRLoadable) _maxLinesForTextElement:]
00000001db3207d4 (__TEXT,__text) non-external -[MREffectFramedText(MRLoadable) _maxSizeForTextElement:]
00000001db320900 (__TEXT,__text) non-external -[MREffectFramedText(MRLoadable) _unload]
00000001db3208fc (__TEXT,__text) non-external -[MREffectFramedText(MRLoadable) beginMorphingToAspectRatio:withDuration:]
00000001db1df7bc (__TEXT,__text) non-external -[MREffectGlobe _cleanup]
00000001db1df510 (__TEXT,__text) non-external -[MREffectGlobe initWithEffectID:]
00000001db1df968 (__TEXT,__text) non-external -[MREffectGlobe isLoadedForTime:]
00000001db1dfa18 (__TEXT,__text) non-external -[MREffectGlobe prerenderForTime:inContext:withArguments:]
00000001db1dfe78 (__TEXT,__text) non-external -[MREffectGlobe renderAtTime:inContext:withArguments:]
00000001db1dfb24 (__TEXT,__text) non-external -[MREffectGlobe setAttributes:]
00000001db1df884 (__TEXT,__text) non-external -[MREffectGlobe setPixelSize:]
00000001db1e06d4 (__TEXT,__text) non-external -[MREffectGlobe(MRLoadable) _unload]
00000001db1e07c0 (__TEXT,__text) non-external -[MREffectGradient renderAtTime:inContext:withArguments:]
00000001db1e0e98 (__TEXT,__text) non-external -[MREffectHangingPictures _applyTimingToSlideProviders]
00000001db1e10a4 (__TEXT,__text) non-external -[MREffectHangingPictures _buildScenarioWithCountOfSlides:aspectRatios:]
00000001db1e0c34 (__TEXT,__text) non-external -[MREffectHangingPictures _cleanup]
00000001db1e151c (__TEXT,__text) non-external -[MREffectHangingPictures _updateSlideTimings]
00000001db1e0e6c (__TEXT,__text) non-external -[MREffectHangingPictures displayTimeForSlideAtIndex:]
00000001db1e0e88 (__TEXT,__text) non-external -[MREffectHangingPictures displayTimeForTextAtIndex:]
00000001db1e5550 (__TEXT,__text) non-external -[MREffectHangingPictures elementHitAtPoint:withInverseMatrix:localPoint:]
00000001db1e5738 (__TEXT,__text) non-external -[MREffectHangingPictures getVerticesCoordinates:withMatrix:forElement:]
00000001db1e09e0 (__TEXT,__text) non-external -[MREffectHangingPictures initWithEffectID:]
00000001db1e18e8 (__TEXT,__text) non-external -[MREffectHangingPictures isLoadedForTime:]
00000001db1e0e90 (__TEXT,__text) non-external -[MREffectHangingPictures lowestDisplayTime]
00000001db1e19bc (__TEXT,__text) non-external -[MREffectHangingPictures prerenderForTime:inContext:withArguments:]
00000001db1e4690 (__TEXT,__text) non-external -[MREffectHangingPictures renderAtTime:inContext:withArguments:]
00000001db1e0f44 (__TEXT,__text) non-external -[MREffectHangingPictures setPhaseInDuration:mainDuration:phaseOutDuration:]
00000001db1e0fa8 (__TEXT,__text) non-external -[MREffectHangingPictures setPixelSize:]
00000001db1e0e48 (__TEXT,__text) non-external -[MREffectHangingPictures showDurationForSlideAtIndex:]
00000001db1e0e2c (__TEXT,__text) non-external -[MREffectHangingPictures showTimeForSlideAtIndex:]
