00000001dab1e14c (__TEXT,__text) non-external +[Cube initialize]
00000001daa400a0 (__TEXT,__text) non-external -[MRRenderer(ThermalPressureManagement) _startMonitoringThermalPressureLevelChanges]
00000001daa40248 (__TEXT,__text) non-external -[MRRenderer(ThermalPressureManagement) _stopMonitoringThermalPressureLevelChanges]
00000001dab12e34 (__TEXT,__text) non-external -[MRScrapbookLayout backgroundPaper]
00000001dab12d90 (__TEXT,__text) non-external -[MRScrapbookLayout dealloc]
00000001dab12e14 (__TEXT,__text) non-external -[MRScrapbookLayout frame]
00000001dab12e04 (__TEXT,__text) non-external -[MRScrapbookLayout mask]
00000001dab12e3c (__TEXT,__text) non-external -[MRScrapbookLayout setBackgroundPaper:]
00000001dab12e1c (__TEXT,__text) non-external -[MRScrapbookLayout setFrame:]
00000001dab12e0c (__TEXT,__text) non-external -[MRScrapbookLayout setMask:]
00000001dab12e2c (__TEXT,__text) non-external -[MRScrapbookLayout setSubtract:]
00000001dab12e24 (__TEXT,__text) non-external -[MRScrapbookLayout subtract]
00000001daa424b0 (__TEXT,__text) non-external -[MRShader _locationForUniform:]
00000001daa42390 (__TEXT,__text) non-external -[MRShader caresAboutForeColor]
00000001daa42184 (__TEXT,__text) non-external -[MRShader caresAboutNormal]
00000001daa41f8c (__TEXT,__text) non-external -[MRShader dealloc]
00000001daa41c9c (__TEXT,__text) non-external -[MRShader initWithShaderID:shaderKey:description:vertexShader:andFragmentShader:inContext:]
00000001daa42e60 (__TEXT,__text) non-external -[MRShader locationForAttribute:]
00000001daa42f2c (__TEXT,__text) non-external -[MRShader program]
00000001daa423ec (__TEXT,__text) non-external -[MRShader setForeColor:]
00000001daa420bc (__TEXT,__text) non-external -[MRShader setModelViewProjectionMatrix:]
00000001daa421e0 (__TEXT,__text) non-external -[MRShader setNormal:::]
00000001daa422a4 (__TEXT,__text) non-external -[MRShader setTextureMatrix:onTextureUnit:]
00000001daa42f40 (__TEXT,__text) non-external -[MRShader setTextureUnitsAreBound:]
00000001daa42c3c (__TEXT,__text) non-external -[MRShader setUniform:forKey:]
00000001daa42650 (__TEXT,__text) non-external -[MRShader setUniformFloat:forKey:]
00000001daa4256c (__TEXT,__text) non-external -[MRShader setUniformInt:forKey:]
00000001daa42ac4 (__TEXT,__text) non-external -[MRShader setUniformMat3:forKey:]
00000001daa42b80 (__TEXT,__text) non-external -[MRShader setUniformMat4:forKey:]
00000001daa42740 (__TEXT,__text) non-external -[MRShader setUniformVec2::forKey:]
00000001daa4284c (__TEXT,__text) non-external -[MRShader setUniformVec3:::forKey:]
00000001daa4297c (__TEXT,__text) non-external -[MRShader setUniformVec4::::forKey:]
00000001daa42084 (__TEXT,__text) non-external -[MRShader setUseContext:]
00000001daa42f1c (__TEXT,__text) non-external -[MRShader shaderID]
00000001daa42f24 (__TEXT,__text) non-external -[MRShader shaderKey]
00000001daa42f34 (__TEXT,__text) non-external -[MRShader textureUnitsAreBound]
00000001daa4207c (__TEXT,__text) non-external -[MRShader useContext]
00000001da9baba0 (__TEXT,__text) non-external -[MRShaderArguments dealloc]
00000001da9bac14 (__TEXT,__text) non-external -[MRShaderArguments filter0]
00000001da9bac28 (__TEXT,__text) non-external -[MRShaderArguments filter1]
00000001da9bac3c (__TEXT,__text) non-external -[MRShaderArguments filter2]
00000001da9bac50 (__TEXT,__text) non-external -[MRShaderArguments filter3]
00000001da9bac20 (__TEXT,__text) non-external -[MRShaderArguments setFilter0:]
00000001da9bac34 (__TEXT,__text) non-external -[MRShaderArguments setFilter1:]
00000001da9bac48 (__TEXT,__text) non-external -[MRShaderArguments setFilter2:]
00000001da9bac5c (__TEXT,__text) non-external -[MRShaderArguments setFilter3:]
00000001da9bac6c (__TEXT,__text) non-external -[MRShaderArguments setTexture0ClampsToBorder:]
00000001da9bac7c (__TEXT,__text) non-external -[MRShaderArguments setTexture1ClampsToBorder:]
00000001da9bac64 (__TEXT,__text) non-external -[MRShaderArguments texture0ClampsToBorder]
00000001da9bac74 (__TEXT,__text) non-external -[MRShaderArguments texture1ClampsToBorder]
00000001daa414ac (__TEXT,__text) non-external -[MRShaderManager _glShaderForID:inBaseContext:isFragmentShader:withArguments:]
00000001daa4118c (__TEXT,__text) non-external -[MRShaderManager cleanup]
00000001daa41144 (__TEXT,__text) non-external -[MRShaderManager dealloc]
00000001daa412dc (__TEXT,__text) non-external -[MRShaderManager forgetContext:]
00000001daa409d0 (__TEXT,__text) non-external -[MRShaderManager init]
00000001daa41bf8 (__TEXT,__text) non-external -[MRShaderManager registerShaderWithFragmentShaderSource:andVertexShaderName:forShaderID:]
00000001daa41b64 (__TEXT,__text) non-external -[MRShaderManager registerVertexShaderWithVertexShaderSource:forShaderID:]
00000001daa411d4 (__TEXT,__text) non-external -[MRShaderManager releaseResources]
00000001daa4184c (__TEXT,__text) non-external -[MRShaderManager shaderForShaderID:inContext:withArguments:]
00000001daadeeb8 (__TEXT,__text) non-external -[MRShiftingTilesIteration description]
00000001daadee04 (__TEXT,__text) non-external -[MRShiftingTilesRenderable dealloc]
00000001daadee60 (__TEXT,__text) non-external -[MRShiftingTilesRenderable setSlide:]
00000001daadeeb0 (__TEXT,__text) non-external -[MRShiftingTilesRenderable setSprite:]
00000001daadeea0 (__TEXT,__text) non-external -[MRShiftingTilesRenderable slide]
00000001daadeea8 (__TEXT,__text) non-external -[MRShiftingTilesRenderable sprite]
00000001daadefdc (__TEXT,__text) non-external -[MRShiftingTilesTimingInfo additionalTimingInfo]
00000001daadeefc (__TEXT,__text) non-external -[MRShiftingTilesTimingInfo dealloc]
00000001daadef64 (__TEXT,__text) non-external -[MRShiftingTilesTimingInfo description]
00000001daadefbc (__TEXT,__text) non-external -[MRShiftingTilesTimingInfo layouts]
00000001daadefcc (__TEXT,__text) non-external -[MRShiftingTilesTimingInfo remove]
00000001daadefe4 (__TEXT,__text) non-external -[MRShiftingTilesTimingInfo setAdditionalTimingInfo:]
00000001daadefc4 (__TEXT,__text) non-external -[MRShiftingTilesTimingInfo setLayouts:]
00000001daadefd4 (__TEXT,__text) non-external -[MRShiftingTilesTimingInfo setRemove:]
00000001daa1a928 (__TEXT,__text) non-external -[MRSlideFocusState action]
00000001daa1a998 (__TEXT,__text) non-external -[MRSlideFocusState currentFocuserIndex]
00000001daa1a874 (__TEXT,__text) non-external -[MRSlideFocusState dealloc]
00000001daa1a9c8 (__TEXT,__text) non-external -[MRSlideFocusState delegateIsTransitioningToo]
00000001daa1a918 (__TEXT,__text) non-external -[MRSlideFocusState delegate]
00000001daa1a9b8 (__TEXT,__text) non-external -[MRSlideFocusState isGoingToNext]
00000001daa1a9d8 (__TEXT,__text) non-external -[MRSlideFocusState isInZoomMode]
00000001daa1a9a8 (__TEXT,__text) non-external -[MRSlideFocusState isTransitioning]
00000001daa1a988 (__TEXT,__text) non-external -[MRSlideFocusState nextSlideID]
00000001daa1a978 (__TEXT,__text) non-external -[MRSlideFocusState nextSlideInfo]
00000001daa1a968 (__TEXT,__text) non-external -[MRSlideFocusState previousSlideID]
00000001daa1a958 (__TEXT,__text) non-external -[MRSlideFocusState previousSlideInfo]
00000001daa1a930 (__TEXT,__text) non-external -[MRSlideFocusState setAction:]
00000001daa1a9a0 (__TEXT,__text) non-external -[MRSlideFocusState setCurrentFocuserIndex:]
00000001daa1a920 (__TEXT,__text) non-external -[MRSlideFocusState setDelegate:]
00000001daa1a9d0 (__TEXT,__text) non-external -[MRSlideFocusState setDelegateIsTransitioningToo:]
00000001daa1a9c0 (__TEXT,__text) non-external -[MRSlideFocusState setIsGoingToNext:]
00000001daa1a9e0 (__TEXT,__text) non-external -[MRSlideFocusState setIsInZoomMode:]
00000001daa1a9b0 (__TEXT,__text) non-external -[MRSlideFocusState setIsTransitioning:]
00000001daa1a990 (__TEXT,__text) non-external -[MRSlideFocusState setNextSlideID:]
00000001daa1a980 (__TEXT,__text) non-external -[MRSlideFocusState setNextSlideInfo:]
00000001daa1a970 (__TEXT,__text) non-external -[MRSlideFocusState setPreviousSlideID:]
00000001daa1a960 (__TEXT,__text) non-external -[MRSlideFocusState setPreviousSlideInfo:]
00000001daa1a950 (__TEXT,__text) non-external -[MRSlideFocusState setSlideID:]
00000001daa1a940 (__TEXT,__text) non-external -[MRSlideFocusState setSlideInfo:]
00000001daa1a948 (__TEXT,__text) non-external -[MRSlideFocusState slideID]
00000001daa1a938 (__TEXT,__text) non-external -[MRSlideFocusState slideInfo]
00000001daa1f264 (__TEXT,__text) non-external -[MRSlideInfo aspectRatio]
00000001daa1f244 (__TEXT,__text) non-external -[MRSlideInfo assetPath]
00000001daa1f284 (__TEXT,__text) non-external -[MRSlideInfo center]
00000001daa1f194 (__TEXT,__text) non-external -[MRSlideInfo dealloc]
00000001daa1f1e4 (__TEXT,__text) non-external -[MRSlideInfo description]
00000001daa1f254 (__TEXT,__text) non-external -[MRSlideInfo index]
00000001daa1f2c4 (__TEXT,__text) non-external -[MRSlideInfo isMain]
00000001daa1f2b4 (__TEXT,__text) non-external -[MRSlideInfo player]
00000001daa1f2a4 (__TEXT,__text) non-external -[MRSlideInfo rotation]
00000001daa1f294 (__TEXT,__text) non-external -[MRSlideInfo scale]
00000001daa1f26c (__TEXT,__text) non-external -[MRSlideInfo setAspectRatio:]
00000001daa1f24c (__TEXT,__text) non-external -[MRSlideInfo setAssetPath:]
00000001daa1f28c (__TEXT,__text) non-external -[MRSlideInfo setCenter:]
00000001daa1f25c (__TEXT,__text) non-external -[MRSlideInfo setIndex:]
00000001daa1f2cc (__TEXT,__text) non-external -[MRSlideInfo setIsMain:]
00000001daa1f2bc (__TEXT,__text) non-external -[MRSlideInfo setPlayer:]
00000001daa1f2ac (__TEXT,__text) non-external -[MRSlideInfo setRotation:]
00000001daa1f29c (__TEXT,__text) non-external -[MRSlideInfo setScale:]
00000001daa1f27c (__TEXT,__text) non-external -[MRSlideInfo setTime:]
00000001daa1f274 (__TEXT,__text) non-external -[MRSlideInfo time]
00000001daa4512c (__TEXT,__text) non-external -[MRSlideProvider _computeImageSizeInContext:withArguments:]
00000001daa446c4 (__TEXT,__text) non-external -[MRSlideProvider _unloadIfNotUpdatingLive]
00000001daa46630 (__TEXT,__text) non-external -[MRSlideProvider assetPath]
00000001daa44674 (__TEXT,__text) non-external -[MRSlideProvider beginLiveUpdate]
00000001daa4382c (__TEXT,__text) non-external -[MRSlideProvider canPlay]
00000001daa4507c (__TEXT,__text) non-external -[MRSlideProvider cancelLoading]
00000001daa46650 (__TEXT,__text) non-external -[MRSlideProvider centerAnimationPath]
00000001daa46638 (__TEXT,__text) non-external -[MRSlideProvider center]
00000001daa433ec (__TEXT,__text) non-external -[MRSlideProvider cleanup]
00000001daa44774 (__TEXT,__text) non-external -[MRSlideProvider currentSlideInfo]
00000001daa43398 (__TEXT,__text) non-external -[MRSlideProvider dealloc]
00000001daa46600 (__TEXT,__text) non-external -[MRSlideProvider defaultKenBurnsType]
00000001daa4655c (__TEXT,__text) non-external -[MRSlideProvider defaultSize]
00000001daa4657c (__TEXT,__text) non-external -[MRSlideProvider effectAttributes]
00000001daa44688 (__TEXT,__text) non-external -[MRSlideProvider endLiveUpdate]
00000001daa46668 (__TEXT,__text) non-external -[MRSlideProvider filterID]
00000001daa46610 (__TEXT,__text) non-external -[MRSlideProvider frame]
00000001daa438bc (__TEXT,__text) non-external -[MRSlideProvider framedImageSizeAtIndex:aspectRatio:]
00000001daa438ac (__TEXT,__text) non-external -[MRSlideProvider hasFilters]
00000001daa46618 (__TEXT,__text) non-external -[MRSlideProvider imageAspectRatio]
00000001daa46504 (__TEXT,__text) non-external -[MRSlideProvider imageIsAvailableFromAssetPlayer:]
00000001daa46574 (__TEXT,__text) non-external -[MRSlideProvider imageSizeScript]
00000001daa432d8 (__TEXT,__text) non-external -[MRSlideProvider initWithEffectLayer:]
00000001daa4511c (__TEXT,__text) non-external -[MRSlideProvider isAlphaFriendly]
00000001daa45124 (__TEXT,__text) non-external -[MRSlideProvider isInfinite]
00000001daa44888 (__TEXT,__text) non-external -[MRSlideProvider isLoadedForTime:]
00000001daa43854 (__TEXT,__text) non-external -[MRSlideProvider isLoaded]
00000001daa437a4 (__TEXT,__text) non-external -[MRSlideProvider isMuted]
00000001daa450dc (__TEXT,__text) non-external -[MRSlideProvider isNative3D]
00000001daa450e4 (__TEXT,__text) non-external -[MRSlideProvider isOpaque]
00000001daa43848 (__TEXT,__text) non-external -[MRSlideProvider isPlaying]
00000001daa43738 (__TEXT,__text) non-external -[MRSlideProvider isStill]
00000001daa44894 (__TEXT,__text) non-external -[MRSlideProvider loadForTime:inContext:withArguments:now:]
00000001daa44e00 (__TEXT,__text) non-external -[MRSlideProvider loadWithArguments:]
00000001daa43860 (__TEXT,__text) non-external -[MRSlideProvider needsToUpdateLayout]
00000001daa43480 (__TEXT,__text) non-external -[MRSlideProvider observeValueForKeyPath:ofObject:change:context:]
00000001daa46428 (__TEXT,__text) non-external -[MRSlideProvider patchworkAtTime:inContext:withArguments:]
00000001daa46678 (__TEXT,__text) non-external -[MRSlideProvider playerHint]
00000001daa45854 (__TEXT,__text) non-external -[MRSlideProvider prerenderForTime:inContext:withArguments:]
00000001daa45ec0 (__TEXT,__text) non-external -[MRSlideProvider renderAtTime:inContext:withArguments:]
00000001daa465ac (__TEXT,__text) non-external -[MRSlideProvider requestedSize]
00000001daa45ee0 (__TEXT,__text) non-external -[MRSlideProvider retainedByUserRenderedImageAtTime:inContext:withArguments:]
00000001daa46660 (__TEXT,__text) non-external -[MRSlideProvider rotationAnimationPath]
00000001daa46648 (__TEXT,__text) non-external -[MRSlideProvider rotation]
00000001daa46658 (__TEXT,__text) non-external -[MRSlideProvider scaleAnimationPath]
00000001daa46640 (__TEXT,__text) non-external -[MRSlideProvider scale]
00000001daa44314 (__TEXT,__text) non-external -[MRSlideProvider setAssetPath:]
00000001daa44378 (__TEXT,__text) non-external -[MRSlideProvider setCenter:]
00000001daa44444 (__TEXT,__text) non-external -[MRSlideProvider setCenterAnimationPath:]
00000001daa46608 (__TEXT,__text) non-external -[MRSlideProvider setDefaultKenBurnsType:]
00000001daa435cc (__TEXT,__text) non-external -[MRSlideProvider setDefaultSize:]
00000001daa436d8 (__TEXT,__text) non-external -[MRSlideProvider setEffectAttributes:]
00000001daa46670 (__TEXT,__text) non-external -[MRSlideProvider setFilterID:]
00000001daa43668 (__TEXT,__text) non-external -[MRSlideProvider setImageSizeScript:]
00000001daa437b0 (__TEXT,__text) non-external -[MRSlideProvider setIsMuted:]
00000001daa4451c (__TEXT,__text) non-external -[MRSlideProvider setIsPlaying:]
00000001daa43744 (__TEXT,__text) non-external -[MRSlideProvider setIsStill:]
00000001daa43868 (__TEXT,__text) non-external -[MRSlideProvider setNeedsToUpdateLayout:]
00000001daa46680 (__TEXT,__text) non-external -[MRSlideProvider setPlayerHint:]
00000001daa44400 (__TEXT,__text) non-external -[MRSlideProvider setRotation:]
00000001daa444d4 (__TEXT,__text) non-external -[MRSlideProvider setRotationAnimationPath:]
00000001daa443bc (__TEXT,__text) non-external -[MRSlideProvider setScale:]
00000001daa4448c (__TEXT,__text) non-external -[MRSlideProvider setScaleAnimationPath:]
00000001daa43d48 (__TEXT,__text) non-external -[MRSlideProvider setShowDuration:]
00000001daa4659c (__TEXT,__text) non-external -[MRSlideProvider setShowTime:]
00000001daa4658c (__TEXT,__text) non-external -[MRSlideProvider setShowTimeScript:]
00000001daa465f0 (__TEXT,__text) non-external -[MRSlideProvider setSizeFactor:]
00000001daa4400c (__TEXT,__text) non-external -[MRSlideProvider setSlide:]
00000001daa43784 (__TEXT,__text) non-external -[MRSlideProvider setSlideIsReadonly:]
00000001daa4656c (__TEXT,__text) non-external -[MRSlideProvider setStillTime:]
00000001daa445f0 (__TEXT,__text) non-external -[MRSlideProvider setTime:]
00000001daa43634 (__TEXT,__text) non-external -[MRSlideProvider setWantsMipmap:]
00000001daa435f4 (__TEXT,__text) non-external -[MRSlideProvider setWantsMonochromatic:]
00000001daa465a4 (__TEXT,__text) non-external -[MRSlideProvider showDuration]
00000001daa46584 (__TEXT,__text) non-external -[MRSlideProvider showTimeScript]
00000001daa46594 (__TEXT,__text) non-external -[MRSlideProvider showTime]
00000001daa465e8 (__TEXT,__text) non-external -[MRSlideProvider sizeFactor]
00000001daa46628 (__TEXT,__text) non-external -[MRSlideProvider slideDuration]
00000001daa43778 (__TEXT,__text) non-external -[MRSlideProvider slideIsReadonly]
00000001daa46620 (__TEXT,__text) non-external -[MRSlideProvider slideStartTime]
00000001daa465f8 (__TEXT,__text) non-external -[MRSlideProvider slide]
00000001daa46564 (__TEXT,__text) non-external -[MRSlideProvider stillTime]
00000001daa445e8 (__TEXT,__text) non-external -[MRSlideProvider time]
00000001daa43afc (__TEXT,__text) non-external -[MRSlideProvider unframedImageSizeForAspectRatio:frameID:andFrameAttributes:atIndex:framedImageSize:]
00000001daa44f1c (__TEXT,__text) non-external -[MRSlideProvider unload]
00000001daa43d5c (__TEXT,__text) non-external -[MRSlideProvider updateShowTimeAndDurationWithPlugTiming:andAttributes:]
00000001daa45404 (__TEXT,__text) non-external -[MRSlideProvider updateStuffWithAssetManager:]
00000001daa43628 (__TEXT,__text) non-external -[MRSlideProvider wantsMipmap]
00000001daa435e8 (__TEXT,__text) non-external -[MRSlideProvider wantsMonochromatic]
00000001daa46688 (__TEXT,__text) non-external -[MRSlideProvider(Private) applyKenBurnsAtTime:withTargetSize:kenBurnsType:translation:scale:rotation:]
00000001daa46cb8 (__TEXT,__text) non-external -[MRSlideProvider(Private) printFlags]
00000001daadadbc (__TEXT,__text) non-external -[MRSnapshotter CGImageSnapshotAtState:]
00000001daadad80 (__TEXT,__text) non-external -[MRSnapshotter CGImageSnapshotAtTime:]
00000001daadac14 (__TEXT,__text) non-external -[MRSnapshotter _CGImageSnapshot]
00000001daadaac8 (__TEXT,__text) non-external -[MRSnapshotter _snapshotToBuffer:withBytesPerRow:]
00000001daadaa68 (__TEXT,__text) non-external -[MRSnapshotter colorSpace]
00000001daada854 (__TEXT,__text) non-external -[MRSnapshotter dealloc]
00000001daadaaa8 (__TEXT,__text) non-external -[MRSnapshotter fadeOutDuration]
00000001daadaab8 (__TEXT,__text) non-external -[MRSnapshotter fadeOutStartTime]
00000001daadae00 (__TEXT,__text) non-external -[MRSnapshotter ignoresFadeInAndOut]
